;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
245;LJQQ3;ON NM;QUERO-QUERO ON NM;Comércio;5,48;24/08/2023;3,18;7,07;21.170.700;1.026.350.000;1.204.160.000;30/06/2023;187290000;-0.36;-31.78;-0.17;2.00;2.74;25.54;33.1;0.44;1.7;0.36;-1.4;1.38;1.4;-1.99;1.7;0.0;-6.3;7.60;1.71;29.97;11.3;2.823.570.000;206.428.000;1.795.980.000;384.238.000;177.810.000;512.756.000;-32.300.000;-5.872.000
246;LOGG3;ON NM;LOG COM PROP ON NM;Exploração de Imóveis;19,33;24/08/2023;13,78;25,97;6.871.990;1.974.730.000;3.563.340.000;30/06/2023;102159000;-1.73;8.77;2.20;0.54;35.67;10.43;98.6;8.01;76.8;0.32;93.1;3.47;3.0;-1.24;3.3;4.7;6.2;18.54;2.36;18.82;19.1;6.228.710.000;464.267.000;986.844.000;2.052.870.000;1.588.600.000;3.644.110.000;225.071.000;42.749.000
247;LOGN3;ON NM;Log-In ON NM;Transporte;46,00;24/08/2023;27,88;53,00;4.514.300;4.924.710.000;5.830.320.000;30/06/2023;107059000;-1.96;12.96;3.55;5.24;8.78;15.38;23.7;2.26;14.7;1.45;17.4;13.48;9.4;-3.37;11.4;0.0;40.4;10.96;1.58;18.21;22.2;3.392.600.000;504.182.000;992.961.000;1.409.800.000;905.617.000;939.942.000;379.882.000;17.036.000
248;LPSB3;ON NM;LOPES BRASIL ON NM;Exploração de Imóveis;2,90;24/08/2023;1,47;3,54;335.335;427.908.000;377.500.000;30/06/2023;147555000;-0.68;76.93;0.04;2.13;1.36;12.83;82.2;2.24;17.5;1.11;9.7;11.73;8.7;-4.55;10.1;0.7;2.8;7.56;1.63;11.32;12.7;384.923.000;50.408.000;94.241.000;0;-50.408.000;200.946.000;5.562.000;4.639.000
249;LREN3;ON;RENNER ON;Comércio;16,89;24/08/2023;14,46;30,54;451.889.000;16.268.900.000;15.694.000.000;30/06/2023;963227000;-2.99;16.01;1.05;1.68;10.08;5.91;60.0;1.22;20.7;0.82;7.6;3.25;13.8;10.18;17.5;4.4;10.5;4.11;1.73;5.70;13.3;19.953.700.000;2.901.440.000;11.838.600.000;2.326.580.000;-574.857.000;9.712.480.000;1.016.150.000;229.700.000
250;LUPA3;ON NM;LUPATECH ON NM;Petróleo, Gás e Biocombustíveis;2,72;24/08/2023;2,63;7,54;1.312.810;93.606.100;241.165.000;30/06/2023;34414000;-1.81;2.40;1.13;0.60;4.56;-5.38;22.0;0.98;-18.2;0.19;40.7;2.52;-3.5;-0.50;-3.7;0.0;24.9;-35.07;1.33;-13.85;08.2;494.157.000;3.493.000;148.963.000;151.052.000;147.559.000;156.906.000;39.013.000;-14.511.000
251;LUXM4;PN;TREVISA INVESTIMENTOS SA PN;Transporte;18,93;07/08/2023;18,44;22,50;2.437;393.441.000;389.974.000;30/06/2023;20784000;0.00;26.85;0.70;3.39;5.59;16.75;30.1;2.92;17.4;2.43;10.9;-482.16;14.5;-16.30;15.9;0.8;12.6;10.37;0.96;16.60;3.2;161.734.000;8.900.000;21.383.000;5.433.000;-3.467.000;116.220.000;14.651.000;5.622.000
252;LVTC3;ON NM;WDC NETWORKS ON NM;Programas e Serviços;4,75;24/08/2023;4,62;8,91;287.826;307.150.000;234.893.000;30/06/2023;64663100;-4.23;22.22;0.21;0.48;9.95;1.43;21.8;0.30;21.3;0.22;1.4;0.73;15.4;-2.94;17.3;0.3;2.1;0.59;2.88;1.09;07.4;1.392.460.000;72.257.000;644.877.000;0;-72.257.000;643.079.000;13.825.000;3.511.000
253;LWSA3;ON NM;LOCAWEB ON NM;Programas e Serviços;7,18;24/08/2023;4,43;11,09;52.126.200;4.277.590.000;3.290.840.000;30/06/2023;595764000;-2.97;-223.91;-0.03;1.47;4.89;63.38;46.0;3.50;5.5;0.97;-1.6;7.23;1.5;13.03;2.0;0.7;-0.7;18.34;1.48;48.76;43.7;4.417.080.000;1.060.060.000;1.831.570.000;73.312.000;-986.749.000;2.913.770.000;-19.104.000;-38.832.000
254;MAPT4;PN;CIA MARCOPOLO PN;Outros;11,00;04/08/2023;6,82;13,00;61;10.109.000;10.109.000;30/06/2023;919000;0.00;-63.98;-0.17;-1.63;-6.75;-73.25;0;0;0;13.08;0.0;-2021.80;-17.9;-1.45;-18.0;0.0;2.5;-73.25;0;-73.25;0;773.000;0;0;0;0;-6.207.000;-158.000;-36.000
