Date;Close;High;Low;Open;Volume;ret;tret;Returns;Target;Vol;MM20;Detrend
2024-04-16;11.879940032958984;12.212505023393069;11.639755283305872;11.759847217634995;2603400;;;;0.010108757953346759;;;
2024-04-17;12.000031471252441;12.295644860048757;11.870701439586647;11.870701439586647;1093300;1.01;1.01;0.010108757953346759;0.0038491783918630507;;;
2024-04-18;12.046221733093262;12.28640734788835;11.95384237940444;11.95384237940444;1194700;0.38;1.3900000000000001;0.0038491783918630507;0.013803718501360862;;;
2024-04-19;12.212504386901855;12.471165347429245;12.02774655795372;12.073935354444638;1612600;1.38;2.77;0.013803718501360862;0.021179956892765084;;;
2024-04-22;12.47116470336914;12.47116470336914;12.06469750067481;12.203265644981002;1823900;2.12;4.890000000000001;0.021179956892765084;-0.0014814600697837799;;;
2024-04-23;12.452689170837402;12.554306637886897;12.249455998728061;12.369548808244394;1332100;-0.15;4.74;-0.0014814600697837799;-0.010385682933398699;;;
2024-04-24;12.323359489440918;12.545068891468093;12.221742019432325;12.42497607845466;719300;-1.04;3.7;-0.010385682933398699;-0.0014993833374903343;;;
2024-04-25;12.304882049560547;12.341833612913785;11.870701400408677;12.341833612913785;924500;-0.15;3.5500000000000003;-0.0014993833374903343;0.011261370185429165;;;
2024-04-26;12.443451881408691;12.572781921051014;12.397262203967225;12.443451881408691;909700;1.13;4.68;0.011261370185429165;-0.001484759430728566;;;
2024-04-29;12.424976348876953;12.52659382109719;12.267931965441013;12.424976348876953;914800;-0.15;4.529999999999999;-0.001484759430728566;-0.013382858483212079;;;
2024-04-30;12.258694648742676;12.47116594191254;12.21250496905514;12.46192782977606;1031100;-1.34;3.1899999999999995;-0.013382858483212079;0.04069324413169162;;;
2024-05-02;12.757540702819824;12.84068106548992;12.34183448449522;12.34183448449522;1529700;4.07;7.26;0.04069324413169162;0.004101141557409704;;;
2024-05-03;12.809861183166504;13.031677636601255;12.708195933012428;12.819103719021438;1296400;0.41;7.67;0.004101141557409704;-0.004329028500579146;;;
2024-05-06;12.754406929016113;12.92076815686233;12.689710063515722;12.80061872396877;621600;-0.43;7.24;-0.004329028500579146;0.0014492336416314089;;;
2024-05-07;12.7728910446167;12.865314633989954;12.551075487820897;12.745164320371392;651700;0.14;7.38;0.0014492336416314089;0.006512337804732482;;;
2024-05-08;12.856072425842285;12.9300109466553;12.661983588353952;12.689710313304657;775200;0.65;8.03;0.006512337804732482;-0.055355897811138366;;;
2024-05-09;12.144412994384766;12.754406184170081;12.042746875142797;12.661982599662222;3678000;-5.54;2.4899999999999993;-0.055355897811138366;-0.006849353794542989;;;
