Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
17/03/2025;0,0075;DIVIDENDO;18/12/2025							  ;1;DXCO3
18/12/2024;0,0462;JRS CAP PROPRIO;18/12/2025							  ;1;DXCO3
12/03/2024;0,0714;DIVIDENDO;18/12/2024							  ;1;DXCO3
19/12/2023;0,2153;JRS CAP PROPRIO;18/12/2024							  ;1;DXCO3
14/12/2022;0,3390;JRS CAP PROPRIO;20/06/2023							  ;1;DXCO3
14/12/2021;1,0341;JRS CAP PROPRIO;23/12/2021							  ;1;DXCO3
14/12/2021;0,2465;DIVIDENDO;23/12/2021							  ;1;DXCO3
17/02/2021;0,4344;DIVIDENDO;26/02/2021							  ;1;DXCO3
11/12/2020;0,3144;JRS CAP PROPRIO;26/02/2021							  ;1;DXCO3
16/12/2019;0,3734;JRS CAP PROPRIO;30/04/2020							  ;1;DXCO3
18/12/2018;0,4154;JRS CAP PROPRIO;30/04/2019							  ;1;DXCO3
18/12/2018;0,3771;DIVIDENDO;31/12/2019							  ;1;DXCO3
14/12/2017;0,0883;JRS CAP PROPRIO;-							  ;1;DXCO3
14/02/2017;0,0088;DIVIDENDO;-							  ;1;DXCO3
17/12/2015;0,2668;JUROS;-							  ;1;DXCO3
28/07/2015;0,0515;JUROS;-							  ;1;DXCO3
05/02/2015;0,0651;Juros;-							  ;1;DXCO3
16/12/2014;0,0857;JRS CAP PROPRIO;-							  ;1;DXCO3
30/07/2014;0,1097;JRS CAP PROPRIO;-							  ;1;DXCO3
17/02/2014;0,1046;JRS CAP PRÓPRIO;-							  ;1;DXCO3
16/12/2013;0,1223;JRS CAP PRÓPRIO;-							  ;1;DXCO3
22/07/2013;0,1576;JRS CAP PRÓPRIO;-							  ;1;DXCO3
19/02/2013;0,0118;JRS CAP PRÓPRIO;-							  ;1;DXCO3
30/11/2012;0,1639;JRS CAP PRÓPRIO;-							  ;1;DXCO3
26/07/2012;0,1132;JRS CAP PRÓPRIO;-							  ;1;DXCO3
16/02/2012;0,0083;JRS CAP PRÓPRIO;-							  ;1;DXCO3
09/12/2011;0,1180;JRS CAP PRÓPRIO;-							  ;1;DXCO3
29/07/2011;0,1087;JRS CAP PRÓPRIO;-							  ;1;DXCO3
14/02/2011;0,0588;JRS CAP PRÓPRIO;-							  ;1;DXCO3
17/12/2010;0,1446;JRS CAP PRÓPRIO;-							  ;1;DXCO3
04/08/2010;0,1433;JRS CAP PRÓPRIO;-							  ;1;DXCO3
23/02/2010;0,0023;JRS CAP PRÓPRIO;-							  ;1;DXCO3
18/12/2009;0,0764;JRS CAP PRÓPRIO;-							  ;1;DXCO3
17/12/2008;0,0897;JRS CAP PRÓPRIO;-							  ;1;DXCO3
29/07/2008;0,1333;JRS CAP PRÓPRIO;-							  ;1;DXCO3
20/12/2007;0,0456;DIVIDENDO;-							  ;1;DXCO3
;;;;;DXCO3
2025;0,007;;;;DXCO3
2024;0,118;;;;DXCO3
2023;0,215;;;;DXCO3
2022;0,339;;;;DXCO3
2021;1,715;;;;DXCO3
2020;0,314;;;;DXCO3
2019;0,373;;;;DXCO3
2018;0,792;;;;DXCO3
2017;0,097;;;;DXCO3
2015;0,383;;;;DXCO3
2014;0,300;;;;DXCO3
2013;0,292;;;;DXCO3
2012;0,285;;;;DXCO3
2011;0,285;;;;DXCO3
2010;0,290;;;;DXCO3
