Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
08/01/2026;0,0323;JRS CAP PROPRIO;11/05/2026							  ;1;VITT3
23/12/2025;0,0451;JRS CAP PROPRIO;11/05/2026							  ;1;VITT3
03/11/2025;0,0647;JRS CAP PROPRIO;11/05/2026							  ;1;VITT3
18/07/2025;0,1404;JRS CAP PROPRIO;06/01/2026							  ;1;VITT3
03/01/2025;0,0163;JRS CAP PROPRIO;16/05/2025							  ;1;VITT3
23/10/2024;0,1484;JRS CAP PROPRIO;06/01/2025							  ;1;VITT3
27/12/2023;0,0239;JRS CAP PROPRIO;10/05/2024							  ;1;VITT3
28/11/2023;0,2747;JRS CAP PROPRIO;10/05/2024							  ;1;VITT3
05/05/2023;0,0944;DIVIDENDO;09/06/2023							  ;1;VITT3
16/12/2022;0,1405;JRS CAP PROPRIO;04/01/2023							  ;1;VITT3
16/12/2022;0,0945;JRS CAP PROPRIO;31/12/2023							  ;1;VITT3
04/05/2022;0,1302;DIVIDENDO;03/06/2022							  ;1;VITT3
29/11/2021;0,0975;JRS CAP PROPRIO;30/12/2021							  ;1;VITT3
;;;;;VITT3
2026;0,032;;;;VITT3
2025;0,267;;;;VITT3
2024;0,148;;;;VITT3
2023;0,393;;;;VITT3
2022;0,365;;;;VITT3
2021;0,098;;;;VITT3
