;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
42;03/05/2023;0,1804;DIVIDENDO;22/05/2023							  ;1;BEES4
43;28/04/2023;0,0222;JRS CAP PROPRIO;01/06/2023							  ;1;BEES4
44;31/03/2023;0,0222;JRS CAP PROPRIO;02/05/2023							  ;1;BEES4
45;28/02/2023;0,0222;JRS CAP PROPRIO;03/04/2023							  ;1;BEES4
46;31/01/2023;0,0222;JRS CAP PROPRIO;01/03/2023							  ;1;BEES4
47;29/12/2022;0,0206;JRS CAP PROPRIO;01/02/2023							  ;1;BEES4
48;15/12/2022;0,0833;JRS CAP PROPRIO;29/12/2022							  ;1;BEES4
49;30/11/2022;0,0206;JRS CAP PROPRIO;02/01/2023							  ;1;BEES4
50;31/10/2022;0,0206;JRS CAP PROPRIO;01/12/2022							  ;1;BEES4
51;30/09/2022;0,0206;JRS CAP PROPRIO;01/11/2022							  ;1;BEES4
52;31/08/2022;0,0206;JRS CAP PROPRIO;03/10/2022							  ;1;BEES4
53;29/07/2022;0,0206;JRS CAP PROPRIO;01/09/2022							  ;1;BEES4
54;30/06/2022;0,0748;JRS CAP PROPRIO;15/07/2022							  ;1;BEES4
55;30/06/2022;0,0206;JRS CAP PROPRIO;01/08/2022							  ;1;BEES4
56;31/05/2022;0,0206;JRS CAP PROPRIO;01/07/2022							  ;1;BEES4
57;04/05/2022;0,1815;DIVIDENDO;20/05/2022							  ;1;BEES4
58;29/04/2022;0,0206;JRS CAP PROPRIO;01/06/2022							  ;1;BEES4
59;31/03/2022;0,0206;JRS CAP PROPRIO;02/05/2022							  ;1;BEES4
60;25/02/2022;0,0206;JRS CAP PROPRIO;01/04/2022							  ;1;BEES4
61;31/01/2022;0,0206;JRS CAP PROPRIO;02/03/2022							  ;1;BEES4
62;30/12/2021;0,0190;JRS CAP PROPRIO;01/02/2022							  ;1;BEES4
63;16/12/2021;0,0373;JRS CAP PROPRIO;30/12/2021							  ;1;BEES4
64;30/11/2021;0,0190;JRS CAP PROPRIO;03/01/2022							  ;1;BEES4
65;29/10/2021;0,0190;JRS CAP PROPRIO;01/12/2021							  ;1;BEES4
66;30/09/2021;0,0190;JRS CAP PROPRIO;01/11/2021							  ;1;BEES4
67;31/08/2021;0,0190;JRS CAP PROPRIO;01/10/2021							  ;1;BEES4
68;30/07/2021;0,0190;JRS CAP PROPRIO;01/09/2021							  ;1;BEES4
69;30/06/2021;0,0190;JRS CAP PROPRIO;02/08/2021							  ;1;BEES4
70;31/05/2021;0,0190;JRS CAP PROPRIO;01/07/2021							  ;1;BEES4
71;06/05/2021;0,0769;JRS CAP PROPRIO;20/05/2021							  ;1;BEES4
72;30/04/2021;0,0190;JRS CAP PROPRIO;01/06/2021							  ;1;BEES4
73;31/03/2021;0,0190;JRS CAP PROPRIO;03/05/2021							  ;1;BEES4
74;26/02/2021;0,0190;JRS CAP PROPRIO;01/04/2021							  ;1;BEES4
75;29/01/2021;0,0190;JRS CAP PROPRIO;01/03/2021							  ;1;BEES4
76;30/12/2020;0,0095;JRS CAP PROPRIO;01/02/2021							  ;1;BEES4
77;30/11/2020;0,0095;JRS CAP PROPRIO;04/01/2021							  ;1;BEES4
