Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
29/02/2024;0,0235;JRS CAP PROPRIO;01/04/2024							  ;1;ITSA4
22/02/2024;0,3005;DIVIDENDO;08/03/2024							  ;1;ITSA4
18/12/2023;0,0794;JRS CAP PROPRIO;08/03/2024							  ;1;ITSA4
30/11/2023;0,0235;JRS CAP PROPRIO;02/01/2024							  ;1;ITSA4
19/10/2023;0,0515;JRS CAP PROPRIO;08/03/2024							  ;1;ITSA4
21/09/2023;0,1165;JRS CAP PROPRIO;08/03/2024							  ;1;ITSA4
17/08/2023;0,0235;JRS CAP PROPRIO;02/10/2023							  ;1;ITSA4
25/07/2023;0,0515;JRS CAP PROPRIO;08/03/2024							  ;1;ITSA4
22/06/2023;0,1144;JRS CAP PROPRIO;25/08/2023							  ;1;ITSA4
31/05/2023;0,0235;JRS CAP PROPRIO;03/07/2023							  ;1;ITSA4
23/03/2023;0,0773;JRS CAP PROPRIO;25/08/2023							  ;1;ITSA4
28/02/2023;0,0235;JRS CAP PROPRIO;03/04/2023							  ;1;ITSA4
08/12/2022;0,1410;JRS CAP PROPRIO;28/04/2023							  ;1;ITSA4
08/12/2022;0,0445;JRS CAP PROPRIO;29/12/2023							  ;1;ITSA4
30/11/2022;0,0235;JRS CAP PROPRIO;02/01/2023							  ;1;ITSA4
18/11/2022;0,0515;JRS CAP PROPRIO;02/10/2023							  ;1;ITSA4
31/08/2022;0,0235;JRS CAP PROPRIO;03/10/2022							  ;1;ITSA4
18/08/2022;0,0494;JRS CAP PROPRIO;29/12/2023							  ;1;ITSA4
18/08/2022;0,0103;JRS CAP PROPRIO;30/08/2022							  ;1;ITSA4
31/05/2022;0,0235;JRS CAP PROPRIO;01/07/2022							  ;1;ITSA4
24/03/2022;0,1134;JRS CAP PROPRIO;30/08/2022							  ;1;ITSA4
14/01/2022;0,1333;JRS CAP PROPRIO;11/03/2022							  ;1;ITSA4
13/12/2021;0,0235;JRS CAP PROPRIO;01/04/2022							  ;1;ITSA4
30/11/2021;0,0235;JRS CAP PROPRIO;03/01/2022							  ;1;ITSA4
23/11/2021;0,1547;JRS CAP PROPRIO;11/03/2022							  ;1;ITSA4
31/08/2021;0,0200;DIVIDENDO;01/10/2021							  ;1;ITSA4
