Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
17/03/2009;0,2313;DIVIDENDO;-							  ;1;LOGN3
04/03/2008;0,1147;JRS CAP PRÓPRIO;-							  ;1;LOGN3
04/03/2008;0,0674;DIVIDENDO;-							  ;1;LOGN3
;;;;;LOGN3
