Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
19/12/2025;0,6977;DIVIDENDO;30/12/2025							  ;1;VIVA3
22/04/2025;0,6602;DIVIDENDO;22/05/2025							  ;1;VIVA3
29/04/2024;0,3729;DIVIDENDO;28/05/2024							  ;1;VIVA3
27/04/2023;0,3642;DIVIDENDO;26/05/2023							  ;1;VIVA3
29/04/2022;0,0539;DIVIDENDO;13/05/2022							  ;1;VIVA3
27/12/2021;0,2752;JRS CAP PROPRIO;14/05/2022							  ;1;VIVA3
30/04/2021;0,0528;DIVIDENDO;14/05/2021							  ;1;VIVA3
29/12/2020;0,1058;JRS CAP PROPRIO;14/05/2021							  ;1;VIVA3
27/12/2019;0,1694;JRS CAP PROPRIO;-							  ;1;VIVA3
;;;;;VIVA3
2025;1,358;;;;VIVA3
2024;0,373;;;;VIVA3
2023;0,364;;;;VIVA3
2022;0,054;;;;VIVA3
2021;0,328;;;;VIVA3
2020;0,106;;;;VIVA3
2019;0,169;;;;VIVA3
