Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
18/12/2020;0,0369;JRS CAP PROPRIO;10/03/2021							  ;1;WEGE3
25/09/2020;0,0345;JRS CAP PROPRIO;10/03/2021							  ;1;WEGE3
24/07/2020;0,1268;DIVIDENDO;12/08/2020							  ;1;WEGE3
26/06/2020;0,0382;JRS CAP PROPRIO;12/08/2020							  ;1;WEGE3
20/03/2020;0,0302;JRS CAP PROPRIO;12/08/2020							  ;1;WEGE3
21/02/2020;0,1678;DIVIDENDO;11/03/2020							  ;1;WEGE3
20/12/2019;0,0382;JRS CAP PROPRIO;11/03/2020							  ;1;WEGE3
20/09/2019;0,0409;JRS CAP PROPRIO;11/03/2020							  ;1;WEGE3
26/07/2019;0,0891;DIVIDENDO;14/08/2019							  ;1;WEGE3
28/06/2019;0,0429;JRS CAP PROPRIO;14/08/2019							  ;1;WEGE3
22/03/2019;0,0464;JRS CAP PROPRIO;14/08/2019							  ;1;WEGE3
22/02/2019;0,0829;DIVIDENDO;13/03/2019							  ;1;WEGE3
21/12/2018;0,0514;JRS CAP PROPRIO;13/03/2019							  ;1;WEGE3
21/09/2018;0,0393;JRS CAP PROPRIO;13/03/2019							  ;1;WEGE3
20/07/2018;0,0824;DIVIDENDO;15/08/2018							  ;1;WEGE3
29/06/2018;0,0392;JRS CAP PROPRIO;15/08/2018							  ;1;WEGE3
23/03/2018;0,0525;JRS CAP PROPRIO;15/08/2018							  ;1;WEGE3
02/03/2018;0,0821;DIVIDENDO;14/03/2018							  ;1;WEGE3
15/12/2017;0,0571;JRS CAP PROPRIO;-							  ;1;WEGE3
29/09/2017;0,0581;JRS CAP PROPRIO;-							  ;1;WEGE3
21/07/2017;0,0530;DIVIDENDO;-							  ;1;WEGE3
30/06/2017;0,0606;JRS CAP PROPRIO;-							  ;1;WEGE3
24/03/2017;0,0653;JRS CAP PROPRIO;-							  ;1;WEGE3
24/02/2017;0,0637;DIVIDENDO;-							  ;1;WEGE3
16/12/2016;0,0787;JRS CAP PROPRIO;-							  ;1;WEGE3
23/09/2016;0,0581;JRS CAP PROPRIO;-							  ;1;WEGE3
29/07/2016;0,0363;DIVIDENDO;-							  ;1;WEGE3
28/06/2016;0,0667;JRS CAP PROPRIO;-							  ;1;WEGE3
22/03/2016;0,0553;JUROS;-							  ;1;WEGE3
23/02/2016;0,0809;DIVIDENDO;-							  ;1;WEGE3
15/12/2015;0,0588;JUROS;-							  ;1;WEGE3
22/09/2015;0,0541;JUROS;-							  ;1;WEGE3
28/07/2015;0,0830;DIVIDENDO;-							  ;1;WEGE3
23/06/2015;0,0488;JUROS;-							  ;1;WEGE3
24/03/2015;0,0835;Juros;-							  ;1;WEGE3
24/02/2015;0,2076;Dividendo;-							  ;1;WEGE3
16/12/2014;0,0765;JRS CAP PROPRIO;-							  ;1;WEGE3
23/09/2014;0,0718;JRS CAP PROPRIO;-							  ;1;WEGE3
22/07/2014;0,1554;DIVIDENDO;-							  ;1;WEGE3
24/06/2014;0,0706;JRS CAP PROPRIO;-							  ;1;WEGE3
25/03/2014;0,0835;JRS CAP PROPRIO;-							  ;1;WEGE3
25/02/2014;0,2630;DIVIDENDO;-							  ;1;WEGE3
17/12/2013;0,0847;JRS CAP PRÓPRIO;-							  ;1;WEGE3
24/09/2013;0,0765;JRS CAP PRÓPRIO;-							  ;1;WEGE3
30/07/2013;0,1850;DIVIDENDO;-							  ;1;WEGE3
25/06/2013;0,0706;JRS CAP PRÓPRIO;-							  ;1;WEGE3
26/03/2013;0,0647;JRS CAP PRÓPRIO;-							  ;1;WEGE3
26/02/2013;0,2060;DIVIDENDO;-							  ;1;WEGE3
18/12/2012;0,0694;JRS CAP PRÓPRIO;-							  ;1;WEGE3
25/09/2012;0,0765;JRS CAP PRÓPRIO;-							  ;1;WEGE3
24/07/2012;0,1000;DIVIDENDO;-							  ;1;WEGE3
26/06/2012;0,0765;JRS CAP PRÓPRIO;-							  ;1;WEGE3
20/03/2012;0,0765;JRS CAP PRÓPRIO;-							  ;1;WEGE3
14/02/2012;0,1400;DIVIDENDO;-							  ;1;WEGE3
20/12/2011;0,0824;JRS CAP PRÓPRIO;-							  ;1;WEGE3
20/09/2011;0,0824;JRS CAP PRÓPRIO;-							  ;1;WEGE3
21/07/2011;0,0970;DIVIDENDO;-							  ;1;WEGE3
21/06/2011;0,0765;JRS CAP PRÓPRIO;-							  ;1;WEGE3
22/03/2011;0,0682;JRS CAP PRÓPRIO;-							  ;1;WEGE3
22/02/2011;0,1630;DIVIDENDO;-							  ;1;WEGE3
21/12/2010;0,0588;JRS CAP PRÓPRIO;-							  ;1;WEGE3
21/09/2010;0,0553;JRS CAP PRÓPRIO;-							  ;1;WEGE3
27/07/2010;0,1070;DIVIDENDO;-							  ;1;WEGE3
29/06/2010;0,0588;JRS CAP PRÓPRIO;-							  ;1;WEGE3
23/03/2010;0,0506;JRS CAP PRÓPRIO;-							  ;1;WEGE3
23/02/2010;0,2050;DIVIDENDO;-							  ;1;WEGE3
14/12/2009;0,0176;JRS CAP PRÓPRIO;-							  ;1;WEGE3
17/09/2009;0,0471;JRS CAP PRÓPRIO;-							  ;1;WEGE3
23/07/2009;0,1150;DIVIDENDO;-							  ;1;WEGE3
16/06/2009;0,0471;JRS CAP PRÓPRIO;-							  ;1;WEGE3
23/03/2009;0,0529;JRS CAP PRÓPRIO;-							  ;1;WEGE3
16/02/2009;0,1410;DIVIDENDO;-							  ;1;WEGE3
16/12/2008;0,0471;JRS CAP PRÓPRIO;-							  ;1;WEGE3
18/09/2008;0,0459;JRS CAP PRÓPRIO;-							  ;1;WEGE3
21/07/2008;0,1630;DIVIDENDO;-							  ;1;WEGE3
17/06/2008;0,0459;JRS CAP PRÓPRIO;-							  ;1;WEGE3
18/03/2008;0,0447;JRS CAP PRÓPRIO;-							  ;1;WEGE3
19/02/2008;0,1290;DIVIDENDO;-							  ;1;WEGE3
13/12/2007;0,1176;JRS CAP PRÓPRIO;-							  ;1;WEGE3
14/09/2007;0,0129;JRS CAP PRÓPRIO;-							  ;1;WEGE3
19/07/2007;0,1960;DIVIDENDO;-							  ;1;WEGE3
18/06/2007;0,0141;JRS CAP PRÓPRIO;-							  ;1;WEGE3
15/03/2007;0,0141;JRS CAP PRÓPRIO;-							  ;1;WEGE3
13/02/2007;0,1650;DIVIDENDO;-							  ;1;WEGE3
14/12/2006;0,0118;JRS CAP PRÓPRIO;-							  ;1;WEGE3
14/09/2006;0,0294;JRS CAP PRÓPRIO;-							  ;1;WEGE3
28/07/2006;0,1360;DIVIDENDO;-							  ;1;WEGE3
20/06/2006;0,0141;JRS CAP PRÓPRIO;-							  ;1;WEGE3
16/03/2006;0,0141;JRS CAP PRÓPRIO;-							  ;1;WEGE3
16/02/2006;0,1190;DIVIDENDO;-							  ;1;WEGE3
15/12/2005;0,0118;JRS CAP PRÓPRIO;-							  ;1;WEGE3
15/09/2005;0,0129;JRS CAP PRÓPRIO;-							  ;1;WEGE3
21/07/2005;0,0960;DIVIDENDO;-							  ;1;WEGE3
21/06/2005;0,0165;JRS CAP PRÓPRIO;-							  ;1;WEGE3
17/03/2005;0,0118;JRS CAP PRÓPRIO;-							  ;1;WEGE3
17/02/2005;0,1290;DIVIDENDO;-							  ;1;WEGE3
17/12/2004;0,0129;JRS CAP PRÓPRIO;-							  ;1;WEGE3
23/07/2004;0,1400;DIVIDENDO;-							  ;1;WEGE3
12/02/2004;0,1140;DIVIDENDO;-							  ;1;WEGE3
11/12/2003;0,0082;JRS CAP PRÓPRIO;-							  ;1;WEGE3
17/07/2003;0,0725;DIVIDENDO;-							  ;1;WEGE3
17/07/2003;0,0088;JRS CAP PRÓPRIO;-							  ;1;WEGE3
13/02/2003;0,0950;DIVIDENDO;-							  ;1;WEGE3
18/07/2002;0,0500;DIVIDENDO;-							  ;1;WEGE3
14/12/2001;0,0376;JRS CAP PRÓPRIO;-							  ;1;WEGE3
14/12/2001;0,0280;DIVIDENDO;-							  ;1;WEGE3
13/06/2001;0,0318;JRS CAP PRÓPRIO;-							  ;1;WEGE3
13/06/2001;0,0130;DIVIDENDO;-							  ;1;WEGE3
15/02/2001;0,0100;DIVIDENDO;-							  ;1;WEGE3
15/12/2000;0,0318;JRS CAP PRÓPRIO;-							  ;1;WEGE3
13/07/2000;0,0329;JRS CAP PRÓPRIO;-							  ;1;WEGE3
17/12/1999;0,0218;JRS CAP PRÓPRIO;-							  ;1;WEGE3
21/07/1999;0,0229;JRS CAP PRÓPRIO;-							  ;1;WEGE3
18/12/1998;0,0324;JRS CAP PRÓPRIO;-							  ;1;WEGE3
18/12/1998;0,0025;DIVIDENDO;-							  ;1;WEGE3
20/07/1998;0,0176;JRS CAP PRÓPRIO;-							  ;1;WEGE3
23/12/1997;0,0130;JRS CAP PRÓPRIO;-							  ;1;WEGE3
23/12/1997;0,0120;JRS CAP PRÓPRIO;-							  ;1;WEGE3
30/07/1997;10,0000;DIVIDENDO;-							  ;1000;WEGE3
12/02/1997;13,3100;DIVIDENDO;-							  ;1000;WEGE3
05/08/1996;4,6700;DIVIDENDO;-							  ;1000;WEGE3
26/02/1996;2,7700;DIVIDENDO;-							  ;1000;WEGE3
26/02/1996;1,4100;DIVIDENDO;-							  ;1000;WEGE3
;;;;;WEGE3
2026;0,205;;;;WEGE3
2025;2,451;;;;WEGE3
2024;0,756;;;;WEGE3
2023;0,615;;;;WEGE3
2022;0,516;;;;WEGE3
2021;0,615;;;;WEGE3
2020;0,434;;;;WEGE3
2019;0,340;;;;WEGE3
2018;0,347;;;;WEGE3
2017;0,358;;;;WEGE3
2016;0,376;;;;WEGE3
2015;0,536;;;;WEGE3
2014;0,721;;;;WEGE3
2013;0,687;;;;WEGE3
2012;0,539;;;;WEGE3
2011;0,569;;;;WEGE3
2010;0,536;;;;WEGE3
