Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
30/04/2015;0,0724;Dividendo;-							  ;1;CTAX3
05/12/2014;0,2262;DIVIDENDO;-							  ;1;CTAX3
30/04/2014;0,0743;DIVIDENDO;-							  ;1;CTAX3
29/04/2013;0,8052;DIVIDENDO;-							  ;1;CTAX3
12/04/2012;1,5544;DIVIDENDO;-							  ;1;CTAX3
11/07/2011;1,5459;DIVIDENDO;-							  ;1;CTAX3
17/06/2010;1,5058;DIVIDENDO;-							  ;1;CTAX3
07/04/2009;3,3522;DIVIDENDO;-							  ;1;CTAX3
04/04/2008;0,9972;DIVIDENDO;-							  ;1;CTAX3
16/04/2007;0,0042;DIVIDENDO;-							  ;1;CTAX3
18/04/2006;0,0352;DIVIDENDO;-							  ;1;CTAX3
;;;;;CTAX3
2015;0,072;;;;CTAX3
2014;0,301;;;;CTAX3
2013;0,805;;;;CTAX3
2012;1,554;;;;CTAX3
2011;1,546;;;;CTAX3
2010;1,506;;;;CTAX3
