Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
28/04/2026;0,3126;DIVIDENDO;31/12/2026							  ;1;WIZC3
26/12/2025;0,3161;DIVIDENDO;31/07/2026							  ;1;WIZC3
25/04/2025;0,2503;DIVIDENDO;29/08/2025							  ;1;WIZC3
29/04/2024;0,1660;JRS CAP PROPRIO;12/12/2024							  ;1;WIZC3
29/04/2024;0,0803;DIVIDENDO;12/12/2024							  ;1;WIZC3
28/04/2023;0,2421;DIVIDENDO;12/12/2023							  ;1;WIZC3
28/04/2023;0,1364;JRS CAP PROPRIO;12/12/2023							  ;1;WIZC3
28/04/2023;0,0427;DIVIDENDO;15/06/2023							  ;1;WIZC3
28/04/2023;0,0241;JRS CAP PROPRIO;15/06/2023							  ;1;WIZC3
19/04/2022;0,4998;DIVIDENDO;25/11/2022							  ;1;WIZC3
19/04/2022;0,0882;DIVIDENDO;29/04/2022							  ;1;WIZC3
15/04/2021;0,5175;DIVIDENDO;25/11/2021							  ;1;WIZC3
15/04/2021;0,0913;DIVIDENDO;25/05/2021							  ;1;WIZC3
23/03/2020;0,3344;DIVIDENDO;25/11/2020							  ;1;WIZC3
23/03/2020;0,3344;DIVIDENDO;25/05/2020							  ;1;WIZC3
24/04/2019;0,7780;DIVIDENDO;25/11/2019							  ;1;WIZC3
24/04/2019;0,3334;DIVIDENDO;22/05/2019							  ;1;WIZC3
19/04/2018;0,2559;DIVIDENDO;19/09/2018							  ;1;WIZC3
19/04/2018;0,2559;DIVIDENDO;18/05/2018							  ;1;WIZC3
13/09/2017;0,2760;DIVIDENDO;-							  ;1;WIZC3
25/05/2017;0,2092;DIVIDENDO;-							  ;1;WIZC3
02/06/2016;0,2092;DIVIDENDO;-							  ;1;WIZC3
04/04/2016;0,1916;DIVIDENDO;-							  ;1;WIZC3
19/11/2015;0,1983;DIVIDENDO;-							  ;1;WIZC3
03/09/2015;0,0328;DIVIDENDO;-							  ;1;WIZC3
;;;;;WIZC3
2026;0,313;;;;WIZC3
2025;0,566;;;;WIZC3
2024;0,246;;;;WIZC3
2023;0,445;;;;WIZC3
2022;0,588;;;;WIZC3
2021;0,609;;;;WIZC3
2020;0,669;;;;WIZC3
2019;1,111;;;;WIZC3
2018;0,512;;;;WIZC3
2017;0,485;;;;WIZC3
2016;0,401;;;;WIZC3
2015;0,231;;;;WIZC3
