;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;29/04/2025;0,0516;DIVIDENDO;09/05/2025							  ;1;PRNR3
1;02/05/2024;0,0724;DIVIDENDO;14/05/2024							  ;1;PRNR3
2;14/12/2022;0,2583;JRS CAP PROPRIO;23/12/2022							  ;1;PRNR3
3;04/05/2022;0,0395;DIVIDENDO;13/05/2022							  ;1;PRNR3
4;29/12/2021;0,0542;JRS CAP PROPRIO;11/01/2022							  ;1;PRNR3
5;18/04/2019;0,0069;DIVIDENDO;31/12/2019							  ;1;PRNR3
6;02/01/2018;0,0427;JRS CAP PROPRIO;-							  ;1;PRNR3
7;;;;;;PRNR3
8;2025;0,052;;;;PRNR3
9;2024;0,072;;;;PRNR3
10;2022;0,298;;;;PRNR3
11;2021;0,054;;;;PRNR3
12;2019;0,007;;;;PRNR3
13;2018;0,043;;;;PRNR3
