Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
06/03/2026;0,5294;DIVIDENDO;18/03/2026							  ;1;MERC4
07/02/2025;0,5294;DIVIDENDO;19/02/2025							  ;1;MERC4
30/01/2024;0,4822;DIVIDENDO;07/02/2024							  ;1;MERC4
30/01/2024;0,0472;JRS CAP PROPRIO;07/02/2024							  ;1;MERC4
22/05/2023;0,4500;DIVIDENDO;29/05/2023							  ;1;MERC4
04/03/2022;0,3704;JRS CAP PROPRIO;15/03/2022							  ;1;MERC4
04/03/2022;0,0858;DIVIDENDO;15/03/2022							  ;1;MERC4
17/08/2021;0,0229;JRS CAP PROPRIO;31/08/2021							  ;1;MERC4
03/03/2021;0,4941;JRS CAP PROPRIO;17/03/2021							  ;1;MERC4
03/03/2020;0,4941;JRS CAP PROPRIO;24/03/2020							  ;1;MERC4
06/03/2019;0,4941;JRS CAP PROPRIO;02/04/2019							  ;1;MERC4
05/03/2018;0,5412;JRS CAP PROPRIO;27/03/2018							  ;1;MERC4
03/03/2017;0,4941;JRS CAP PROPRIO;-							  ;1;MERC4
17/03/2016;0,4941;JUROS;-							  ;1;MERC4
25/02/2015;0,2480;Juros;-							  ;1;MERC4
18/08/2014;0,2480;JRS CAP PROPRIO;-							  ;1;MERC4
25/02/2014;0,1650;JRS CAP PRÓPRIO;-							  ;1;MERC4
21/08/2013;0,4180;JRS CAP PRÓPRIO;-							  ;1;MERC4
21/02/2013;0,2970;JRS CAP PRÓPRIO;-							  ;1;MERC4
17/08/2012;0,2260;JRS CAP PRÓPRIO;-							  ;1;MERC4
16/02/2012;0,2260;JRS CAP PRÓPRIO;-							  ;1;MERC4
11/08/2011;0,2260;JRS CAP PRÓPRIO;-							  ;1;MERC4
21/02/2011;0,5456;JRS CAP PRÓPRIO;-							  ;1;MERC4
12/08/2010;0,1908;JRS CAP PRÓPRIO;-							  ;1;MERC4
09/03/2010;0,1762;JRS CAP PRÓPRIO;-							  ;1;MERC4
23/07/2009;0,1620;JRS CAP PRÓPRIO;-							  ;1;MERC4
20/01/2009;0,1620;JRS CAP PRÓPRIO;-							  ;1;MERC4
21/08/2008;0,1620;JRS CAP PRÓPRIO;-							  ;1;MERC4
29/01/2008;0,1520;JRS CAP PRÓPRIO;-							  ;1;MERC4
21/08/2007;16,0000;JRS CAP PRÓPRIO;-							  ;1000;MERC4
16/01/2007;15,0000;JRS CAP PRÓPRIO;-							  ;1000;MERC4
21/08/2006;16,6000;JRS CAP PRÓPRIO;-							  ;1000;MERC4
20/01/2006;21,0000;JRS CAP PRÓPRIO;-							  ;1000;MERC4
01/09/2005;19,2000;JRS CAP PRÓPRIO;-							  ;1000;MERC4
12/01/2005;21,0000;JRS CAP PRÓPRIO;-							  ;1000;MERC4
17/08/2004;19,0000;JRS CAP PRÓPRIO;-							  ;1000;MERC4
09/01/2004;16,8300;JRS CAP PRÓPRIO;-							  ;1000;MERC4
21/08/2003;15,6200;JRS CAP PRÓPRIO;-							  ;1000;MERC4
03/01/2003;7,4000;JRS CAP PRÓPRIO;-							  ;1000;MERC4
16/08/2002;11,8000;JRS CAP PRÓPRIO;-							  ;1000;MERC4
28/12/2001;11,9200;JRS CAP PRÓPRIO;-							  ;1000;MERC4
10/07/2001;11,9200;JRS CAP PRÓPRIO;-							  ;1000;MERC4
28/12/2000;7,1100;JRS CAP PRÓPRIO;-							  ;1000;MERC4
09/08/2000;9,9000;JRS CAP PRÓPRIO;-							  ;1000;MERC4
29/12/1999;11,3300;JRS CAP PRÓPRIO;-							  ;1000;MERC4
16/08/1999;5,7000;DIVIDENDO;-							  ;1000;MERC4
02/03/1999;6,4000;DIVIDENDO;-							  ;1000;MERC4
24/08/1998;5,7200;DIVIDENDO;-							  ;1000;MERC4
14/01/1998;10,3529;JRS CAP PRÓPRIO;-							  ;1000;MERC4
13/08/1997;6,6000;DIVIDENDO;-							  ;1000;MERC4
24/02/1997;7,1000;DIVIDENDO;-							  ;1000;MERC4
27/08/1996;6,2000;DIVIDENDO;-							  ;1000;MERC4
12/02/1996;2,7000;DIVIDENDO;-							  ;1000;MERC4
;;;;;MERC4
2026;0,529;;;;MERC4
2025;0,529;;;;MERC4
2024;0,529;;;;MERC4
2023;0,450;;;;MERC4
2022;0,456;;;;MERC4
2021;0,517;;;;MERC4
2020;0,494;;;;MERC4
2019;0,494;;;;MERC4
2018;0,541;;;;MERC4
2017;0,494;;;;MERC4
2016;0,494;;;;MERC4
2015;0,248;;;;MERC4
2014;0,413;;;;MERC4
2013;0,715;;;;MERC4
2012;0,452;;;;MERC4
2011;0,772;;;;MERC4
2010;0,367;;;;MERC4
