;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;09/12/2025;0,7754;DIVIDENDO;19/12/2025							  ;1;ITSA3
1;09/12/2025;0,0182;JRS CAP PROPRIO;06/03/2026							  ;1;ITSA3
2;28/11/2025;0,0235;JRS CAP PROPRIO;02/01/2026							  ;1;ITSA3
3;29/08/2025;0,0235;JRS CAP PROPRIO;01/10/2025							  ;1;ITSA3
4;18/08/2025;0,1859;JRS CAP PROPRIO;29/08/2025							  ;1;ITSA3
5;20/06/2025;0,0591;JRS CAP PROPRIO;29/08/2025							  ;1;ITSA3
6;30/05/2025;0,0235;JRS CAP PROPRIO;01/07/2025							  ;1;ITSA3
7;28/02/2025;0,0235;JRS CAP PROPRIO;01/04/2025							  ;1;ITSA3
8;17/02/2025;0,4082;DIVIDENDO;07/03/2025							  ;1;ITSA3
9;17/02/2025;0,1011;JRS CAP PROPRIO;07/03/2025							  ;1;ITSA3
10;17/02/2025;0,0922;DIVIDENDO;22/04/2025							  ;1;ITSA3
11;11/12/2024;0,0581;JRS CAP PROPRIO;07/03/2025							  ;1;ITSA3
12;29/11/2024;0,0235;JRS CAP PROPRIO;02/01/2025							  ;1;ITSA3
13;19/09/2024;0,0484;JRS CAP PROPRIO;07/03/2025							  ;1;ITSA3
14;30/08/2024;0,0235;JRS CAP PROPRIO;01/10/2024							  ;1;ITSA3
15;20/06/2024;0,0946;JRS CAP PROPRIO;30/08/2024							  ;1;ITSA3
16;31/05/2024;0,0235;JRS CAP PROPRIO;01/07/2024							  ;1;ITSA3
17;21/03/2024;0,0700;JRS CAP PROPRIO;30/08/2024							  ;1;ITSA3
18;29/02/2024;0,0235;JRS CAP PROPRIO;01/04/2024							  ;1;ITSA3
19;22/02/2024;0,3005;DIVIDENDO;08/03/2024							  ;1;ITSA3
20;18/12/2023;0,0794;JRS CAP PROPRIO;08/03/2024							  ;1;ITSA3
21;30/11/2023;0,0235;JRS CAP PROPRIO;02/01/2024							  ;1;ITSA3
22;19/10/2023;0,0515;JRS CAP PROPRIO;08/03/2024							  ;1;ITSA3
23;21/09/2023;0,1165;JRS CAP PROPRIO;08/03/2024							  ;1;ITSA3
24;17/08/2023;0,0235;JRS CAP PROPRIO;02/10/2023							  ;1;ITSA3
25;25/07/2023;0,0515;JRS CAP PROPRIO;08/03/2024							  ;1;ITSA3
26;22/06/2023;0,1144;JRS CAP PROPRIO;25/08/2023							  ;1;ITSA3
27;31/05/2023;0,0235;JRS CAP PROPRIO;03/07/2023							  ;1;ITSA3
28;23/03/2023;0,0773;JRS CAP PROPRIO;25/08/2023							  ;1;ITSA3
29;28/02/2023;0,0235;JRS CAP PROPRIO;03/04/2023							  ;1;ITSA3
30;08/12/2022;0,1410;JRS CAP PROPRIO;28/04/2023							  ;1;ITSA3
31;08/12/2022;0,0445;JRS CAP PROPRIO;29/12/2023							  ;1;ITSA3
32;30/11/2022;0,0235;JRS CAP PROPRIO;02/01/2023							  ;1;ITSA3
33;18/11/2022;0,0515;JRS CAP PROPRIO;02/10/2023							  ;1;ITSA3
34;31/08/2022;0,0235;JRS CAP PROPRIO;03/10/2022							  ;1;ITSA3
35;18/08/2022;0,0494;JRS CAP PROPRIO;29/12/2023							  ;1;ITSA3
36;18/08/2022;0,0103;JRS CAP PROPRIO;30/08/2022							  ;1;ITSA3
37;31/05/2022;0,0235;JRS CAP PROPRIO;01/07/2022							  ;1;ITSA3
38;24/03/2022;0,1134;JRS CAP PROPRIO;30/08/2022							  ;1;ITSA3
39;14/01/2022;0,1333;JRS CAP PROPRIO;11/03/2022							  ;1;ITSA3
40;13/12/2021;0,0235;JRS CAP PROPRIO;01/04/2022							  ;1;ITSA3
41;30/11/2021;0,0235;JRS CAP PROPRIO;03/01/2022							  ;1;ITSA3
42;23/11/2021;0,1547;JRS CAP PROPRIO;11/03/2022							  ;1;ITSA3
43;31/08/2021;0,0200;DIVIDENDO;01/10/2021							  ;1;ITSA3
