Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
03/07/2017;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
30/06/2017;0,1725;JRS CAP PROPRIO;-							  ;1;BBDC3
01/06/2017;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
02/05/2017;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
03/04/2017;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
01/03/2017;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
01/02/2017;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
02/01/2017;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
21/12/2016;0,2567;JRS CAP PROPRIO;-							  ;1;BBDC3
01/12/2016;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
01/11/2016;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
03/10/2016;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
30/09/2016;0,5711;JRS CAP PROPRIO;-							  ;1;BBDC3
01/09/2016;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
01/08/2016;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
01/07/2016;0,0172;JRS CAP PROPRIO;-							  ;1;BBDC3
22/06/2016;0,1725;JRS CAP PROPRIO;-							  ;1;BBDC3
01/06/2016;0,0172;JUROS MENSAL;-							  ;1;BBDC3
02/05/2016;0,0172;JUROS MENSAL;-							  ;1;BBDC3
01/04/2016;0,0172;JUROS MENSAL;-							  ;1;BBDC3
01/03/2016;0,0172;JUROS MENSAL;-							  ;1;BBDC3
01/02/2016;0,0172;JUROS MENSAL;-							  ;1;BBDC3
04/01/2016;0,0172;JUROS MENSAL;-							  ;1;BBDC3
16/12/2015;0,7677;JUROS;-							  ;1;BBDC3
01/12/2015;0,0172;JUROS MENSAL;-							  ;1;BBDC3
03/11/2015;0,0172;JUROS MENSAL;-							  ;1;BBDC3
01/10/2015;0,0172;JUROS MENSAL;-							  ;1;BBDC3
01/09/2015;0,0172;JUROS MENSAL;-							  ;1;BBDC3
03/08/2015;0,0172;JUROS MENSAL;-							  ;1;BBDC3
01/07/2015;0,0172;JUROS MENSAL;-							  ;1;BBDC3
22/06/2015;0,1726;DIVIDENDO;-							  ;1;BBDC3
01/06/2015;0,0172;Juros mensal;-							  ;1;BBDC3
04/05/2015;0,0172;Juros mensal;-							  ;1;BBDC3
01/04/2015;0,0172;Juros mensal;-							  ;1;BBDC3
02/03/2015;0,0188;Juros mensal;-							  ;1;BBDC3
09/02/2015;0,1432;Dividendo;-							  ;1;BBDC3
