Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
31/10/2023;0,0222;JRS CAP PROPRIO;01/12/2023							  ;1;BEES3
29/09/2023;0,0222;JRS CAP PROPRIO;01/11/2023							  ;1;BEES3
31/08/2023;0,0222;JRS CAP PROPRIO;02/10/2023							  ;1;BEES3
31/07/2023;0,0222;JRS CAP PROPRIO;01/09/2023							  ;1;BEES3
03/07/2023;0,1020;JRS CAP PROPRIO;21/07/2023							  ;1;BEES3
30/06/2023;0,0222;JRS CAP PROPRIO;01/08/2023							  ;1;BEES3
31/05/2023;0,0222;JRS CAP PROPRIO;03/07/2023							  ;1;BEES3
03/05/2023;0,1804;DIVIDENDO;22/05/2023							  ;1;BEES3
28/04/2023;0,0222;JRS CAP PROPRIO;01/06/2023							  ;1;BEES3
31/03/2023;0,0222;JRS CAP PROPRIO;02/05/2023							  ;1;BEES3
28/02/2023;0,0222;JRS CAP PROPRIO;03/04/2023							  ;1;BEES3
31/01/2023;0,0222;JRS CAP PROPRIO;01/03/2023							  ;1;BEES3
29/12/2022;0,0206;JRS CAP PROPRIO;01/02/2023							  ;1;BEES3
15/12/2022;0,0833;JRS CAP PROPRIO;29/12/2022							  ;1;BEES3
30/11/2022;0,0206;JRS CAP PROPRIO;02/01/2023							  ;1;BEES3
31/10/2022;0,0206;JRS CAP PROPRIO;01/12/2022							  ;1;BEES3
30/09/2022;0,0206;JRS CAP PROPRIO;01/11/2022							  ;1;BEES3
31/08/2022;0,0206;JRS CAP PROPRIO;03/10/2022							  ;1;BEES3
29/07/2022;0,0206;JRS CAP PROPRIO;01/09/2022							  ;1;BEES3
30/06/2022;0,0748;JRS CAP PROPRIO;15/07/2022							  ;1;BEES3
30/06/2022;0,0206;JRS CAP PROPRIO;01/08/2022							  ;1;BEES3
31/05/2022;0,0206;JRS CAP PROPRIO;01/07/2022							  ;1;BEES3
04/05/2022;0,1815;DIVIDENDO;20/05/2022							  ;1;BEES3
29/04/2022;0,0206;JRS CAP PROPRIO;01/06/2022							  ;1;BEES3
31/03/2022;0,0206;JRS CAP PROPRIO;02/05/2022							  ;1;BEES3
25/02/2022;0,0206;JRS CAP PROPRIO;01/04/2022							  ;1;BEES3
31/01/2022;0,0206;JRS CAP PROPRIO;02/03/2022							  ;1;BEES3
30/12/2021;0,0190;JRS CAP PROPRIO;01/02/2022							  ;1;BEES3
16/12/2021;0,0373;JRS CAP PROPRIO;30/12/2021							  ;1;BEES3
30/11/2021;0,0190;JRS CAP PROPRIO;03/01/2022							  ;1;BEES3
29/10/2021;0,0190;JRS CAP PROPRIO;01/12/2021							  ;1;BEES3
30/09/2021;0,0190;JRS CAP PROPRIO;01/11/2021							  ;1;BEES3
31/08/2021;0,0190;JRS CAP PROPRIO;01/10/2021							  ;1;BEES3
30/07/2021;0,0190;JRS CAP PROPRIO;01/09/2021							  ;1;BEES3
30/06/2021;0,0190;JRS CAP PROPRIO;02/08/2021							  ;1;BEES3
31/05/2021;0,0190;JRS CAP PROPRIO;01/07/2021							  ;1;BEES3
06/05/2021;0,0769;JRS CAP PROPRIO;20/05/2021							  ;1;BEES3
30/04/2021;0,0190;JRS CAP PROPRIO;01/06/2021							  ;1;BEES3
31/03/2021;0,0190;JRS CAP PROPRIO;03/05/2021							  ;1;BEES3
26/02/2021;0,0190;JRS CAP PROPRIO;01/04/2021							  ;1;BEES3
29/01/2021;0,0190;JRS CAP PROPRIO;01/03/2021							  ;1;BEES3
30/12/2020;0,0095;JRS CAP PROPRIO;01/02/2021							  ;1;BEES3
30/11/2020;0,0095;JRS CAP PROPRIO;04/01/2021							  ;1;BEES3
30/10/2020;0,0095;JRS CAP PROPRIO;01/12/2020							  ;1;BEES3
30/09/2020;0,0095;JRS CAP PROPRIO;03/11/2020							  ;1;BEES3
31/08/2020;0,0095;JRS CAP PROPRIO;01/10/2020							  ;1;BEES3
07/05/2020;0,0174;JRS CAP PROPRIO;20/05/2020							  ;1;BEES3
07/05/2020;0,0626;DIVIDENDO;20/05/2020							  ;1;BEES3
30/04/2020;0,0212;JRS CAP PROPRIO;01/06/2020							  ;1;BEES3
31/03/2020;0,0212;JRS CAP PROPRIO;04/05/2020							  ;1;BEES3
28/02/2020;0,0212;JRS CAP PROPRIO;01/04/2020							  ;1;BEES3
31/01/2020;0,0212;JRS CAP PROPRIO;02/03/2020							  ;1;BEES3
30/12/2019;0,0206;JRS CAP PROPRIO;03/02/2020							  ;1;BEES3
29/11/2019;0,0206;JRS CAP PROPRIO;02/01/2020							  ;1;BEES3
31/10/2019;0,0206;JRS CAP PROPRIO;02/12/2019							  ;1;BEES3
30/09/2019;0,0206;JRS CAP PROPRIO;01/11/2019							  ;1;BEES3
30/08/2019;0,0206;JRS CAP PROPRIO;01/10/2019							  ;1;BEES3
31/07/2019;0,0206;JRS CAP PROPRIO;02/09/2019							  ;1;BEES3
18/07/2019;0,0158;JRS CAP PROPRIO;02/08/2019							  ;1;BEES3
28/06/2019;0,0206;JRS CAP PROPRIO;01/08/2019							  ;1;BEES3
31/05/2019;0,0206;JRS CAP PROPRIO;01/07/2019							  ;1;BEES3
06/05/2019;0,0390;JRS CAP PROPRIO;20/05/2019							  ;1;BEES3
30/04/2019;0,0206;JRS CAP PROPRIO;03/06/2019							  ;1;BEES3
29/03/2019;0,0206;JRS CAP PROPRIO;02/05/2019							  ;1;BEES3
28/02/2019;0,0206;JRS CAP PROPRIO;01/04/2019							  ;1;BEES3
31/01/2019;0,0206;JRS CAP PROPRIO;01/03/2019							  ;1;BEES3
28/12/2018;0,0199;JRS CAP PROPRIO;01/02/2019							  ;1;BEES3
30/11/2018;0,0199;JRS CAP PROPRIO;02/01/2019							  ;1;BEES3
31/10/2018;0,0199;JRS CAP PROPRIO;03/12/2018							  ;1;BEES3
15/10/2018;0,0317;JRS CAP PROPRIO;29/10/2018							  ;1;BEES3
28/09/2018;0,0199;JRS CAP PROPRIO;01/11/2018							  ;1;BEES3
31/08/2018;0,0199;JRS CAP PROPRIO;01/10/2018							  ;1;BEES3
31/07/2018;0,0136;JRS CAP PROPRIO;03/09/2018							  ;1;BEES3
18/07/2018;0,0134;JRS CAP PROPRIO;03/08/2018							  ;1;BEES3
29/06/2018;0,0136;JRS CAP PROPRIO;01/08/2018							  ;1;BEES3
30/05/2018;0,0136;JRS CAP PROPRIO;02/07/2018							  ;1;BEES3
07/05/2018;0,0139;JRS CAP PROPRIO;25/05/2018							  ;1;BEES3
30/04/2018;0,0136;JRS CAP PROPRIO;01/06/2018							  ;1;BEES3
29/03/2018;0,0136;JRS CAP PROPRIO;02/05/2018							  ;1;BEES3
28/02/2018;0,0136;JRS CAP PROPRIO;02/04/2018							  ;1;BEES3
31/01/2018;0,0136;JRS CAP PROPRIO;01/03/2018							  ;1;BEES3
28/12/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
30/11/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
31/10/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
29/09/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
31/08/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
31/07/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
20/07/2017;0,0070;JRS CAP PROPRIO;-							  ;1;BEES3
30/06/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
31/05/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
08/05/2017;0,0008;JRS CAP PROPRIO;-							  ;1;BEES3
28/04/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
31/03/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
24/02/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
31/01/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES3
29/12/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES3
30/11/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES3
31/10/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES3
30/09/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES3
31/08/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES3
29/07/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES3
19/07/2016;0,0032;JRS CAP PROPRIO;-							  ;1;BEES3
30/06/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES3
31/05/2016;0,0149;JUROS MENSAL;-							  ;1;BEES3
02/05/2016;0,0127;JUROS;-							  ;1;BEES3
29/04/2016;0,0149;JUROS MENSAL;-							  ;1;BEES3
31/03/2016;0,0149;JUROS MENSAL;-							  ;1;BEES3
29/02/2016;0,0149;JUROS MENSAL;-							  ;1;BEES3
29/01/2016;0,0149;JUROS MENSAL;-							  ;1;BEES3
31/12/2015;0,0127;JUROS MENSAL;-							  ;1;BEES3
30/11/2015;0,0127;JUROS;-							  ;1;BEES3
30/10/2015;0,0127;JUROS MENSAL;-							  ;1;BEES3
30/09/2015;0,0127;JUROS MENSAL;-							  ;1;BEES3
31/08/2015;0,0127;JUROS MENSAL;-							  ;1;BEES3
31/07/2015;0,0127;JUROS MENSAL;-							  ;1;BEES3
28/07/2015;0,0241;JUROS;-							  ;1;BEES3
30/06/2015;0,0104;JUROS MENSAL;-							  ;1;BEES3
29/05/2015;0,0104;Juros mensal;-							  ;1;BEES3
30/04/2015;0,0104;Juros mensal;-							  ;1;BEES3
31/03/2015;0,0104;Juros mensal;-							  ;1;BEES3
27/02/2015;0,0104;Juros mensal;-							  ;1;BEES3
30/01/2015;0,0104;JRS CAP PROPRIO;-							  ;1;BEES3
27/01/2015;0,0063;JRS CAP PROPRIO;-							  ;1;BEES3
30/12/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
28/11/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
31/10/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
30/09/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
29/08/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
31/07/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
29/07/2014;0,0009;JRS CAP PROPRIO;-							  ;1;BEES3
30/06/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
30/05/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
30/04/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
31/03/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
28/02/2014;0,0019;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/02/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES3
26/02/2014;0,0019;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/12/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/11/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/10/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES3
