;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
47;23/03/2023;0,2620;JRS CAP PROPRIO;25/08/2023							  ;1;ITUB4
48;28/02/2023;0,0177;JRS CAP PROPRIO;03/04/2023							  ;1;ITUB4
49;31/01/2023;0,0177;JRS CAP PROPRIO;01/03/2023							  ;1;ITUB4
50;29/12/2022;0,0177;JRS CAP PROPRIO;01/02/2023							  ;1;ITUB4
51;08/12/2022;0,4862;JRS CAP PROPRIO;10/03/2023							  ;1;ITUB4
52;30/11/2022;0,0177;JRS CAP PROPRIO;02/01/2023							  ;1;ITUB4
53;31/10/2022;0,0177;JRS CAP PROPRIO;01/12/2022							  ;1;ITUB4
54;30/09/2022;0,0177;JRS CAP PROPRIO;01/11/2022							  ;1;ITUB4
55;31/08/2022;0,0177;JRS CAP PROPRIO;03/10/2022							  ;1;ITUB4
56;18/08/2022;0,3065;JRS CAP PROPRIO;30/08/2022							  ;1;ITUB4
57;29/07/2022;0,0177;JRS CAP PROPRIO;01/09/2022							  ;1;ITUB4
58;30/06/2022;0,0177;JRS CAP PROPRIO;01/08/2022							  ;1;ITUB4
59;31/05/2022;0,0177;JRS CAP PROPRIO;01/07/2022							  ;1;ITUB4
60;29/04/2022;0,0177;JRS CAP PROPRIO;01/06/2022							  ;1;ITUB4
61;31/03/2022;0,0177;JRS CAP PROPRIO;02/05/2022							  ;1;ITUB4
62;25/02/2022;0,0177;JRS CAP PROPRIO;01/04/2022							  ;1;ITUB4
63;21/02/2022;0,0137;JRS CAP PROPRIO;11/03/2022							  ;1;ITUB4
64;31/01/2022;0,0177;JRS CAP PROPRIO;02/03/2022							  ;1;ITUB4
65;30/12/2021;0,0177;JRS CAP PROPRIO;01/02/2022							  ;1;ITUB4
66;30/11/2021;0,0177;JRS CAP PROPRIO;03/01/2022							  ;1;ITUB4
67;19/11/2021;0,2646;JRS CAP PROPRIO;11/03/2022							  ;1;ITUB4
68;29/10/2021;0,0177;JRS CAP PROPRIO;01/12/2021							  ;1;ITUB4
69;30/09/2021;0,0150;DIVIDENDO;01/11/2021							  ;1;ITUB4
70;31/08/2021;0,0150;DIVIDENDO;01/10/2021							  ;1;ITUB4
71;13/08/2021;0,1038;JRS CAP PROPRIO;26/08/2021							  ;1;ITUB4
72;30/07/2021;0,0150;DIVIDENDO;01/09/2021							  ;1;ITUB4
73;30/06/2021;0,0150;DIVIDENDO;02/08/2021							  ;1;ITUB4
74;31/05/2021;0,0150;DIVIDENDO;01/07/2021							  ;1;ITUB4
75;24/05/2021;0,0487;JRS CAP PROPRIO;31/12/2021							  ;1;ITUB4
76;30/04/2021;0,0150;DIVIDENDO;01/06/2021							  ;1;ITUB4
77;27/04/2021;0,0565;JRS CAP PROPRIO;31/12/2021							  ;1;ITUB4
78;31/03/2021;0,0150;DIVIDENDO;03/05/2021							  ;1;ITUB4
79;25/03/2021;0,0506;JRS CAP PROPRIO;31/12/2021							  ;1;ITUB4
80;26/02/2021;0,0150;DIVIDENDO;01/04/2021							  ;1;ITUB4
81;25/02/2021;0,0506;JRS CAP PROPRIO;12/03/2021							  ;1;ITUB4
82;25/02/2021;0,0964;DIVIDENDO;12/03/2021							  ;1;ITUB4
83;29/01/2021;0,0150;DIVIDENDO;01/03/2021							  ;1;ITUB4
84;22/01/2021;0,0502;JRS CAP PROPRIO;12/03/2021							  ;1;ITUB4
85;30/12/2020;0,0150;DIVIDENDO;01/02/2021							  ;1;ITUB4
86;10/12/2020;0,0640;JRS CAP PROPRIO;12/03/2021							  ;1;ITUB4
87;30/11/2020;0,0150;DIVIDENDO;04/01/2021							  ;1;ITUB4
88;30/10/2020;0,0150;DIVIDENDO;01/12/2020							  ;1;ITUB4
89;30/09/2020;0,0150;DIVIDENDO;03/11/2020							  ;1;ITUB4
90;31/08/2020;0,0150;DIVIDENDO;01/10/2020							  ;1;ITUB4
91;17/08/2020;0,0529;JRS CAP PROPRIO;26/08/2020							  ;1;ITUB4
92;31/07/2020;0,0150;DIVIDENDO;01/09/2020							  ;1;ITUB4
93;30/06/2020;0,0150;DIVIDENDO;03/08/2020							  ;1;ITUB4
94;29/05/2020;0,0150;DIVIDENDO;01/07/2020							  ;1;ITUB4
95;30/04/2020;0,0150;DIVIDENDO;01/06/2020							  ;1;ITUB4
96;31/03/2020;0,0150;DIVIDENDO;04/05/2020							  ;1;ITUB4
97;28/02/2020;0,0150;DIVIDENDO;01/04/2020							  ;1;ITUB4
98;20/02/2020;0,5235;JRS CAP PROPRIO;06/03/2020							  ;1;ITUB4
99;20/02/2020;0,4832;DIVIDENDO;06/03/2020							  ;1;ITUB4
100;31/01/2020;0,0150;DIVIDENDO;02/03/2020							  ;1;ITUB4
101;30/12/2019;0,0150;DIVIDENDO;03/02/2020							  ;1;ITUB4
102;12/12/2019;0,0376;JRS CAP PROPRIO;30/04/2020							  ;1;ITUB4
103;29/11/2019;0,0150;DIVIDENDO;02/01/2020							  ;1;ITUB4
104;31/10/2019;0,0150;DIVIDENDO;02/12/2019							  ;1;ITUB4
105;30/09/2019;0,0150;DIVIDENDO;01/11/2019							  ;1;ITUB4
106;30/08/2019;0,0150;DIVIDENDO;01/10/2019							  ;1;ITUB4
107;15/08/2019;0,7869;DIVIDENDO;23/08/2019							  ;1;ITUB4
108;31/07/2019;0,0150;DIVIDENDO;02/09/2019							  ;1;ITUB4
109;28/06/2019;0,0150;DIVIDENDO;01/08/2019							  ;1;ITUB4
110;31/05/2019;0,0150;DIVIDENDO;01/07/2019							  ;1;ITUB4
111;30/04/2019;0,0150;DIVIDENDO;03/06/2019							  ;1;ITUB4
112;29/03/2019;0,0150;DIVIDENDO;02/05/2019							  ;1;ITUB4
113;28/02/2019;0,0150;DIVIDENDO;01/04/2019							  ;1;ITUB4
114;21/02/2019;0,7494;JRS CAP PROPRIO;07/03/2019							  ;1;ITUB4
115;21/02/2019;1,0507;DIVIDENDO;07/03/2019							  ;1;ITUB4
116;31/01/2019;0,0150;DIVIDENDO;01/03/2019							  ;1;ITUB4
117;28/12/2018;0,0150;DIVIDENDO;01/02/2019							  ;1;ITUB4
118;17/12/2018;0,0106;JRS CAP PROPRIO;30/04/2019							  ;1;ITUB4
119;30/11/2018;0,0150;DIVIDENDO;02/01/2019							  ;1;ITUB4
120;31/10/2018;0,0150;DIVIDENDO;03/12/2018							  ;1;ITUB4
121;28/09/2018;0,0150;DIVIDENDO;01/11/2018							  ;1;ITUB4
122;31/08/2018;0,0150;DIVIDENDO;01/10/2018							  ;1;ITUB4
123;17/08/2018;0,1252;JRS CAP PROPRIO;30/08/2018							  ;1;ITUB4
124;17/08/2018;0,6240;DIVIDENDO;30/08/2018							  ;1;ITUB4
125;31/07/2018;0,0150;DIVIDENDO;03/09/2018							  ;1;ITUB4
126;29/06/2018;0,0150;DIVIDENDO;01/08/2018							  ;1;ITUB4
127;30/05/2018;0,0150;DIVIDENDO;02/07/2018							  ;1;ITUB4
128;30/04/2018;0,0150;DIVIDENDO;01/06/2018							  ;1;ITUB4
129;29/03/2018;0,0150;DIVIDENDO;02/05/2018							  ;1;ITUB4
130;28/02/2018;0,0150;DIVIDENDO;02/04/2018							  ;1;ITUB4
131;15/02/2018;1,1488;JRS CAP PROPRIO;07/03/2018							  ;1;ITUB4
132;15/02/2018;0,9638;DIVIDENDO;07/03/2018							  ;1;ITUB4
133;15/02/2018;0,1304;DIVIDENDO;07/03/2018							  ;1;ITUB4
134;31/01/2018;0,0150;DIVIDENDO;01/03/2018							  ;1;ITUB4
135;28/12/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
136;14/12/2017;0,1445;JRS CAP PROPRIO;-							  ;1;ITUB4
137;30/11/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
138;31/10/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
139;29/09/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
140;31/08/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
141;14/08/2017;0,3990;JRS CAP PROPRIO;-							  ;1;ITUB4
142;31/07/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
143;30/06/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
144;31/05/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
145;28/04/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
146;31/03/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
147;24/02/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
148;20/02/2017;0,7754;JRS CAP PROPRIO;-							  ;1;ITUB4
149;31/01/2017;0,0150;DIVIDENDO;-							  ;1;ITUB4
150;29/12/2016;0,0150;DIVIDENDO;-							  ;1;ITUB4
151;22/12/2016;0,4714;JRS CAP PROPRIO;-							  ;1;ITUB4
152;30/11/2016;0,0150;DIVIDENDO;-							  ;1;ITUB4
153;31/10/2016;0,0150;DIVIDENDO;-							  ;1;ITUB4
154;30/09/2016;0,0150;DIVIDENDO;-							  ;1;ITUB4
155;31/08/2016;0,0150;DIVIDENDO;-							  ;1;ITUB4
156;12/08/2016;0,3990;JRS CAP PROPRIO;-							  ;1;ITUB4
157;29/07/2016;0,0150;DIVIDENDO;-							  ;1;ITUB4
158;30/06/2016;0,0150;DIVIDENDO;-							  ;1;ITUB4
159;31/05/2016;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
160;29/04/2016;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
161;31/03/2016;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
162;29/02/2016;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
163;18/02/2016;0,4564;JUROS;-							  ;1;ITUB4
164;18/02/2016;0,1980;DIVIDENDO;-							  ;1;ITUB4
165;29/01/2016;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
166;30/12/2015;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
167;09/12/2015;0,2090;JUROS;-							  ;1;ITUB4
168;30/11/2015;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
169;30/10/2015;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
170;30/09/2015;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
171;31/08/2015;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
172;12/08/2015;0,3460;JUROS;-							  ;1;ITUB4
173;31/07/2015;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
174;30/06/2015;0,0150;DIVIDENDO MENSAL;-							  ;1;ITUB4
175;29/05/2015;0,0150;Dividendo mensal;-							  ;1;ITUB4
176;30/04/2015;0,0150;Dividendo mensal;-							  ;1;ITUB4
177;31/03/2015;0,0150;Dividendo mensal;-							  ;1;ITUB4
178;27/02/2015;0,0150;Dividendo mensal;-							  ;1;ITUB4
179;10/02/2015;0,5380;Juros;-							  ;1;ITUB4
180;10/02/2015;0,3063;Dividendo;-							  ;1;ITUB4
181;30/01/2015;0,0150;DIVIDENDO;-							  ;1;ITUB4
182;30/12/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
183;28/11/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
184;31/10/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
185;30/09/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
186;29/08/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
187;13/08/2014;0,3256;JRS CAP PROPRIO;-							  ;1;ITUB4
188;31/07/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
189;30/06/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
190;30/05/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
191;30/04/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
192;31/03/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
193;28/02/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
194;18/02/2014;0,5236;JRS CAP PRÓPRIO;-							  ;1;ITUB4
195;31/01/2014;0,0150;DIVIDENDO;-							  ;1;ITUB4
196;30/12/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
197;20/12/2013;0,2036;JRS CAP PRÓPRIO;-							  ;1;ITUB4
198;29/11/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
199;31/10/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
200;30/09/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
201;30/08/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
202;06/08/2013;0,2774;JRS CAP PRÓPRIO;-							  ;1;ITUB4
203;31/07/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
204;28/06/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
205;31/05/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
206;30/04/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
207;28/03/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
208;05/03/2013;0,3824;JRS CAP PRÓPRIO;-							  ;1;ITUB4
209;31/01/2013;0,0150;DIVIDENDO;-							  ;1;ITUB4
210;28/12/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
211;21/12/2012;0,3120;JRS CAP PRÓPRIO;-							  ;1;ITUB4
212;30/11/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
213;31/10/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
214;28/09/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
