Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
13/11/2024;0,2883;DIVIDENDO;29/11/2024							  ;1;PETZ3
30/04/2024;0,0028;DIVIDENDO;27/05/2024							  ;1;PETZ3
30/06/2023;0,0065;JRS CAP PROPRIO;27/05/2024							  ;1;PETZ3
24/04/2023;0,0105;DIVIDENDO;29/05/2023							  ;1;PETZ3
23/12/2022;0,0108;JRS CAP PROPRIO;29/05/2023							  ;1;PETZ3
28/06/2022;0,0065;JRS CAP PROPRIO;29/05/2023							  ;1;PETZ3
26/04/2022;0,0047;DIVIDENDO;30/06/2022							  ;1;PETZ3
23/12/2021;0,0230;JRS CAP PROPRIO;31/12/2022							  ;1;PETZ3
30/06/2021;0,0127;JRS CAP PROPRIO;30/06/2022							  ;1;PETZ3
30/04/2021;0,0066;DIVIDENDO;25/05/2021							  ;1;PETZ3
22/12/2020;0,0331;JRS CAP PROPRIO;25/05/2021							  ;1;PETZ3
;;;;;PETZ3
2024;0,291;;;;PETZ3
2023;0,017;;;;PETZ3
2022;0,022;;;;PETZ3
2021;0,042;;;;PETZ3
2020;0,033;;;;PETZ3
