;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
38;02/03/2022;0,4542;JRS CAP PROPRIO;11/03/2022							  ;1;BBAS3
39;02/03/2022;0,3558;DIVIDENDO;11/03/2022							  ;1;BBAS3
40;13/12/2021;0,1750;JRS CAP PROPRIO;30/12/2021							  ;1;BBAS3
41;22/11/2021;0,3937;JRS CAP PROPRIO;30/11/2021							  ;1;BBAS3
42;13/09/2021;0,1847;JRS CAP PROPRIO;30/09/2021							  ;1;BBAS3
43;23/08/2021;0,3456;JRS CAP PROPRIO;31/08/2021							  ;1;BBAS3
44;11/06/2021;0,1685;JRS CAP PROPRIO;30/06/2021							  ;1;BBAS3
45;21/05/2021;0,3401;JRS CAP PROPRIO;28/05/2021							  ;1;BBAS3
46;21/05/2021;0,0743;DIVIDENDO;28/05/2021							  ;1;BBAS3
47;11/03/2021;0,1457;JRS CAP PROPRIO;31/03/2021							  ;1;BBAS3
48;22/02/2021;0,4345;JRS CAP PROPRIO;03/03/2021							  ;1;BBAS3
49;11/12/2020;0,1170;JRS CAP PROPRIO;30/12/2020							  ;1;BBAS3
50;16/11/2020;0,1948;JRS CAP PROPRIO;27/11/2020							  ;1;BBAS3
51;11/09/2020;0,1029;JRS CAP PROPRIO;30/09/2020							  ;1;BBAS3
52;21/08/2020;0,4406;JRS CAP PROPRIO;31/08/2020							  ;1;BBAS3
53;11/03/2020;0,1814;JRS CAP PROPRIO;31/03/2020							  ;1;BBAS3
54;21/02/2020;0,4357;JRS CAP PROPRIO;05/03/2020							  ;1;BBAS3
55;11/12/2019;0,1762;JRS CAP PROPRIO;30/12/2019							  ;1;BBAS3
56;21/11/2019;0,3650;JRS CAP PROPRIO;29/11/2019							  ;1;BBAS3
57;11/09/2019;0,2330;JRS CAP PROPRIO;30/09/2019							  ;1;BBAS3
58;21/08/2019;0,4414;JRS CAP PROPRIO;30/08/2019							  ;1;BBAS3
59;11/06/2019;0,1711;JRS CAP PROPRIO;28/06/2019							  ;1;BBAS3
60;21/05/2019;0,4148;JRS CAP PROPRIO;31/05/2019							  ;1;BBAS3
61;11/03/2019;0,1561;JRS CAP PROPRIO;29/03/2019							  ;1;BBAS3
62;21/02/2019;0,5854;JRS CAP PROPRIO;07/03/2019							  ;1;BBAS3
63;11/12/2018;0,1257;JRS CAP PROPRIO;28/12/2018							  ;1;BBAS3
64;21/11/2018;0,4169;JRS CAP PROPRIO;30/11/2018							  ;1;BBAS3
65;11/09/2018;0,0855;JRS CAP PROPRIO;28/09/2018							  ;1;BBAS3
66;21/08/2018;0,2667;JRS CAP PROPRIO;31/08/2018							  ;1;BBAS3
67;11/06/2018;0,0772;JRS CAP PROPRIO;29/06/2018							  ;1;BBAS3
68;21/05/2018;0,2140;JRS CAP PROPRIO;30/05/2018							  ;1;BBAS3
69;12/03/2018;0,0817;JRS CAP PROPRIO;29/03/2018							  ;1;BBAS3
70;01/03/2018;0,2426;JRS CAP PROPRIO;12/03/2018							  ;1;BBAS3
71;11/12/2017;0,0826;JRS CAP PROPRIO;-							  ;1;BBAS3
72;21/11/2017;0,2232;JRS CAP PROPRIO;-							  ;1;BBAS3
73;11/09/2017;0,0763;JRS CAP PROPRIO;-							  ;1;BBAS3
74;21/08/2017;0,2011;JRS CAP PROPRIO;-							  ;1;BBAS3
75;12/06/2017;0,0786;JRS CAP PROPRIO;-							  ;1;BBAS3
76;22/05/2017;0,1829;JRS CAP PROPRIO;-							  ;1;BBAS3
77;13/03/2017;0,0721;JRS CAP PROPRIO;-							  ;1;BBAS3
78;01/03/2017;0,0253;JRS CAP PROPRIO;-							  ;1;BBAS3
79;12/12/2016;0,0769;JRS CAP PROPRIO;-							  ;1;BBAS3
80;21/11/2016;0,1099;JRS CAP PROPRIO;-							  ;1;BBAS3
81;12/09/2016;0,1267;JRS CAP PROPRIO;-							  ;1;BBAS3
82;22/08/2016;0,1368;JRS CAP PROPRIO;-							  ;1;BBAS3
83;13/06/2016;0,1378;JUROS;-							  ;1;BBAS3
84;23/05/2016;0,1337;JUROS;-							  ;1;BBAS3
85;11/03/2016;0,0983;JUROS;-							  ;1;BBAS3
86;02/03/2016;0,0902;JUROS;-							  ;1;BBAS3
87;11/12/2015;0,2745;JUROS;-							  ;1;BBAS3
88;23/11/2015;0,1708;JUROS;-							  ;1;BBAS3
89;11/09/2015;0,2661;JUROS;-							  ;1;BBAS3
90;21/08/2015;0,1268;JUROS;-							  ;1;BBAS3
91;21/08/2015;0,0143;DIVIDENDO;-							  ;1;BBAS3
92;21/08/2015;0,0140;DIVIDENDO;-							  ;1;BBAS3
93;11/06/2015;0,2899;JUROS;-							  ;1;BBAS3
94;21/05/2015;0,4511;Dividendo;-							  ;1;BBAS3
95;23/03/2015;0,3770;Juros;-							  ;1;BBAS3
96;19/02/2015;0,0912;Dividendo;-							  ;1;BBAS3
97;11/12/2014;0,3399;JRS CAP PROPRIO;-							  ;1;BBAS3
98;14/11/2014;0,0557;DIVIDENDO;-							  ;1;BBAS3
99;11/09/2014;0,3365;JRS CAP PROPRIO;-							  ;1;BBAS3
100;19/08/2014;0,0774;DIVIDENDO;-							  ;1;BBAS3
101;11/06/2014;0,3210;JRS CAP PROPRIO;-							  ;1;BBAS3
102;19/05/2014;0,0812;DIVIDENDO;-							  ;1;BBAS3
103;11/03/2014;0,3147;JRS CAP PROPRIO;-							  ;1;BBAS3
104;13/02/2014;0,1302;DIVIDENDO;-							  ;1;BBAS3
105;11/12/2013;0,3097;JRS CAP PRÓPRIO;-							  ;1;BBAS3
106;21/11/2013;0,0666;DIVIDENDO;-							  ;1;BBAS3
107;11/09/2013;0,3138;JRS CAP PRÓPRIO;-							  ;1;BBAS3
108;22/08/2013;0,7698;DIVIDENDO;-							  ;1;BBAS3
109;11/06/2013;0,2820;JRS CAP PRÓPRIO;-							  ;1;BBAS3
110;21/05/2013;0,0982;DIVIDENDO;-							  ;1;BBAS3
111;11/03/2013;0,2649;JRS CAP PRÓPRIO;-							  ;1;BBAS3
112;01/03/2013;0,2581;DIVIDENDO;-							  ;1;BBAS3
