;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;30/06/2025;0,2869;JRS CAP PROPRIO;-							  ;1;SAPR4
1;30/12/2024;0,1630;JRS CAP PROPRIO;26/06/2025							  ;1;SAPR4
2;28/06/2024;0,1529;JRS CAP PROPRIO;26/06/2025							  ;1;SAPR4
3;28/12/2023;0,1252;JRS CAP PROPRIO;27/06/2024							  ;1;SAPR4
4;30/06/2023;0,1835;JRS CAP PROPRIO;27/06/2024							  ;1;SAPR4
5;29/12/2022;0,1900;JRS CAP PROPRIO;27/06/2023							  ;1;SAPR4
6;30/06/2022;0,1052;JRS CAP PROPRIO;27/06/2023							  ;1;SAPR4
7;28/04/2022;0,0121;DIVIDENDO;24/06/2022							  ;1;SAPR4
8;30/12/2021;0,1193;JRS CAP PROPRIO;24/06/2022							  ;1;SAPR4
9;30/06/2021;0,1031;JRS CAP PROPRIO;24/06/2022							  ;1;SAPR4
10;30/12/2020;0,0995;JRS CAP PROPRIO;18/06/2021							  ;1;SAPR4
11;30/06/2020;0,1028;JRS CAP PROPRIO;18/06/2021							  ;1;SAPR4
12;30/12/2019;0,3199;JRS CAP PROPRIO;-							  ;1;SAPR4
13;28/06/2019;0,3566;JRS CAP PROPRIO;-							  ;1;SAPR4
14;24/04/2019;0,2000;DIVIDENDO;21/06/2019							  ;1;SAPR4
15;28/12/2018;0,3415;JRS CAP PROPRIO;-							  ;1;SAPR4
16;02/07/2018;0,3261;JRS CAP PROPRIO;-							  ;1;SAPR4
17;26/04/2018;0,0134;DIVIDENDO;-							  ;1;SAPR4
18;28/12/2017;0,3267;JRS CAP PROPRIO;-							  ;1;SAPR4
19;30/06/2017;0,3266;JRS CAP PROPRIO;-							  ;1;SAPR4
20;27/04/2017;0,0086;DIVIDENDO;-							  ;1;SAPR4
21;29/12/2016;0,3073;JRS CAP PROPRIO;-							  ;1;SAPR4
22;30/06/2016;0,3146;JRS CAP PROPRIO;-							  ;1;SAPR4
23;28/04/2016;0,0077;DIVIDENDO;-							  ;1;SAPR4
24;30/12/2015;0,2354;JUROS;-							  ;1;SAPR4
25;30/06/2015;0,2133;JUROS;-							  ;1;SAPR4
26;28/04/2015;0,0712;Dividendo;-							  ;1;SAPR4
27;30/12/2014;0,1840;JRS CAP PROPRIO;-							  ;1;SAPR4
28;30/06/2014;0,1838;JRS CAP PROPRIO;-							  ;1;SAPR4
29;25/04/2014;0,1431;DIVIDENDO;-							  ;1;SAPR4
30;30/12/2013;0,1518;JRS CAP PRÓPRIO;-							  ;1;SAPR4
31;28/06/2013;0,1508;JRS CAP PRÓPRIO;-							  ;1;SAPR4
32;25/04/2013;0,0959;DIVIDENDO;-							  ;1;SAPR4
33;28/12/2012;0,1505;JRS CAP PRÓPRIO;-							  ;1;SAPR4
34;29/06/2012;0,1635;JRS CAP PRÓPRIO;-							  ;1;SAPR4
35;29/12/2011;0,1532;JRS CAP PRÓPRIO;-							  ;1;SAPR4
36;30/06/2011;0,1526;JRS CAP PRÓPRIO;-							  ;1;SAPR4
37;30/12/2010;0,0238;JRS CAP PRÓPRIO;-							  ;1;SAPR4
38;30/06/2010;0,0722;JRS CAP PRÓPRIO;-							  ;1;SAPR4
39;30/12/2009;0,0309;JRS CAP PRÓPRIO;-							  ;1;SAPR4
40;30/06/2009;0,0698;JRS CAP PRÓPRIO;-							  ;1;SAPR4
41;30/12/2008;0,0337;JRS CAP PRÓPRIO;-							  ;1;SAPR4
42;30/06/2008;0,0691;JRS CAP PRÓPRIO;-							  ;1;SAPR4
43;28/12/2007;0,0501;JRS CAP PRÓPRIO;-							  ;1;SAPR4
44;29/06/2007;0,0633;JRS CAP PRÓPRIO;-							  ;1;SAPR4
45;28/12/2006;0,0573;JRS CAP PRÓPRIO;-							  ;1;SAPR4
46;30/06/2006;0,0708;JRS CAP PRÓPRIO;-							  ;1;SAPR4
47;29/12/2005;0,0693;JRS CAP PRÓPRIO;-							  ;1;SAPR4
48;30/06/2005;0,0700;JRS CAP PRÓPRIO;-							  ;1;SAPR4
49;30/12/2004;0,1535;JRS CAP PRÓPRIO;-							  ;1;SAPR4
50;30/12/2003;0,2624;JRS CAP PRÓPRIO;-							  ;1;SAPR4
51;30/12/2002;0,0712;JRS CAP PRÓPRIO;-							  ;1;SAPR4
52;28/06/2002;0,1011;JRS CAP PRÓPRIO;-							  ;1;SAPR4
53;28/12/2001;1,1879;JRS CAP PRÓPRIO;-							  ;10;SAPR4
54;29/06/2001;1,2185;JRS CAP PRÓPRIO;-							  ;10;SAPR4
55;28/12/2000;1,0469;JRS CAP PRÓPRIO;-							  ;10;SAPR4
56;31/07/2000;1,2357;JRS CAP PRÓPRIO;-							  ;10;SAPR4
57;;;;;;SAPR4
58;2025;0,287;;;;SAPR4
59;2024;0,316;;;;SAPR4
60;2023;0,309;;;;SAPR4
61;2022;0,307;;;;SAPR4
62;2021;0,222;;;;SAPR4
63;2020;0,202;;;;SAPR4
64;2019;0,876;;;;SAPR4
65;2018;0,681;;;;SAPR4
66;2017;0,662;;;;SAPR4
67;2016;0,630;;;;SAPR4
68;2015;0,520;;;;SAPR4
69;2014;0,511;;;;SAPR4
70;2013;0,399;;;;SAPR4
71;2012;0,314;;;;SAPR4
72;2011;0,306;;;;SAPR4
73;2010;0,096;;;;SAPR4
