;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;151248.88%;0.00%;-27.99%;-5.54%;2.87%;0.97%;25.09%;13.15%;3.99%;-3.83%;-3.99%;-4.15%;139182.02%
2001;8.76%;-4.07%;25.00%;3.32%;-19.36%;7.63%;-10.80%;0.44%;-2.90%;-5.98%;2.31%;11.02%;8.66%
2002;2.04%;12.88%;-2.72%;21.73%;-12.00%;16.61%;-25.70%;0.00%;-3.83%;13.99%;0.00%;0.07%;14.08%
2003;-0.07%;-0.00%;21.06%;-15.92%;3.44%;0.49%;2.53%;-2.95%;0.14%;9.88%;0.00%;15.09%;33.23%
2004;5.25%;-3.71%;-6.50%;2.77%;-24.30%;14.23%;1.59%;21.53%;2.52%;23.35%;-12.90%;-0.05%;14.45%
2005;-10.29%;2.55%;-3.76%;-23.29%;-2.01%;7.11%;-3.21%;-12.51%;0.00%;0.00%;0.00%;39.98%;-15.50%
2006;-23.77%;8.86%;146.04%;3.73%;-19.67%;-20.01%;-0.38%;4.00%;6.18%;37.97%;2.79%;40.91%;199.13%
2007;45.58%;68.72%;-6.28%;5.34%;71.59%;4.36%;-15.25%;102.50%;24.83%;11.76%;-8.06%;-0.53%;850.81%
2008;-24.19%;10.64%;-19.87%;0.80%;9.37%;-15.09%;-13.68%;-8.51%;-24.24%;-37.14%;13.64%;-0.00%;-73.12%
2009;-6.00%;0.00%;-0.00%;42.55%;12.24%;6.38%;25.00%;18.80%;10.27%;5.95%;21.04%;-4.76%;220.00%
2010;0.00%;3.75%;8.43%;10.56%;12.56%;8.93%;-3.28%;10.17%;-1.54%;-2.34%;-4.00%;-1.75%;47.37%
2011;-3.31%;4.82%;-0.00%;-2.85%;-3.33%;-5.77%;-5.36%;-9.10%;-2.22%;2.28%;-0.11%;3.34%;-20.34%
2012;-7.33%;10.23%;-2.43%;-8.65%;-8.89%;-13.29%;17.26%;-10.59%;2.62%;6.45%;-11.27%;11.11%;-18.78%
2013;-14.71%;-5.36%;-0.18%;6.56%;-5.84%;3.79%;-9.57%;21.73%;2.37%;0.31%;-9.23%;0.85%;-13.17%
2014;-2.69%;-5.01%;-5.45%;-4.04%;-1.45%;2.89%;-0.80%;1.01%;-9.00%;9.89%;-2.20%;-8.38%;-23.65%
2015;11.61%;0.00%;0.00%;-2.40%;-13.08%;-1.46%;0.25%;-1.48%;-0.25%;0.00%;-22.11%;0.00%;-28.41%
2016;0.00%;0.00%;-20.00%;0.00%;-3.23%;0.00%;0.00%;0.00%;0.00%;-1.67%;-8.90%;4.65%;-27.42%
2017;-2.22%;-1.36%;-18.89%;4.55%;7.42%;-19.33%;-16.53%;-13.86%;-4.60%;-4.82%;-15.19%;-0.00%;-60.76%
2018;-0.00%;-14.93%;14.04%;-23.23%;-24.85%;-27.47%;20.96%;-8.81%;0.00%;33.00%;-11.03%;-4.23%;-49.25%
2019;17.35%;-4.76%;-8.16%;-1.15%;-6.09%;-8.95%;-41.69%;-1.74%;-4.14%;-6.79%;0.66%;74.34%;-22.06%
2020;107.92%;2.90%;-52.38%;6.30%;-6.27%;54.28%;4.34%;0.00%;0.00%;0.00%;0.00%;0.00%;63.40%
2021;0.00%;0.00%;0.00%;0.00%;-32.79%;96.22%;-39.93%;-28.57%;-21.63%;-26.56%;-23.40%;-11.11%;-77.83%
2022;30.21%;-12.00%;18.18%;-17.69%;-14.02%;2.17%;-11.70%;-3.61%;7.50%;0.00%;-16.28%;-2.78%;-27.08%
2023;-4.29%;-8.06%;-7.47%;-15.79%;-5.42%;45.81%;3.32%;-21.35%;-13.75%;-15.52%;25.51%;-12.60%;-38.57%
2024;-5.12%;-10.78%;31.87%;-37.08%;-11.92%;-60.90%;-32.69%;-40.00%;42.86%;-13.33%;-38.85%;-28.30%;-94.70%
2025;5.70%;-0.41%;-1.67%;-8.47%;-10.19%;-2.06%;-22.63%;0.68%;9.46%;-11.11%;-15.28%;-18.85%;-56.58%
2026;13.13%;-8.93%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;3.03%
