;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-11.96%;11.28%;1.72%;3.39%;0.00%;9.84%;4.48%;0.71%;-5.11%;-8.82%;-9.84%;9.07%;1.33%
2001;16.69%;-8.57%;-6.25%;-6.67%;-7.14%;-8.13%;-5.80%;11.11%;-17.00%;22.89%;36.27%;2.16%;18.35%
2002;1.41%;2.76%;17.58%;-10.57%;0.26%;-7.69%;13.19%;10.71%;6.51%;32.15%;0.01%;23.93%;121.69%
2003;-5.98%;14.88%;2.88%;-0.51%;25.29%;5.50%;11.74%;10.89%;7.02%;-4.92%;-1.72%;6.32%;92.50%
2004;15.51%;2.86%;5.83%;-9.97%;-3.79%;3.03%;11.76%;10.53%;2.02%;-8.05%;0.76%;-2.34%;27.95%
2005;3.17%;11.25%;-6.74%;-10.12%;-20.59%;-5.03%;-5.83%;9.32%;2.90%;-9.40%;-5.19%;10.94%;-26.75%
2006;-0.35%;-6.36%;-3.77%;-1.96%;-6.04%;2.17%;0.83%;-2.07%;-0.42%;14.87%;6.23%;-1.81%;-0.42%
2007;9.58%;1.65%;-1.59%;-4.87%;49.37%;0.75%;7.03%;-2.13%;3.25%;9.38%;-3.81%;-0.99%;76.80%
2008;-12.00%;27.27%;15.18%;34.11%;53.76%;8.86%;-3.85%;-9.77%;-30.89%;-31.80%;-5.41%;-3.00%;8.64%
2009;-5.15%;-5.43%;-4.11%;2.74%;23.67%;9.16%;20.12%;25.39%;6.56%;-7.69%;-1.25%;-1.27%;72.31%
2010;-0.60%;1.46%;6.95%;-0.24%;-10.72%;-7.92%;16.91%;-0.91%;4.50%;2.71%;8.62%;-3.86%;14.87%
2011;-0.00%;-10.71%;3.58%;-1.05%;-0.00%;-11.06%;-6.40%;-0.39%;-2.94%;3.03%;-20.88%;1.73%;-38.91%
2012;6.21%;15.25%;12.44%;-0.18%;-7.45%;8.24%;2.30%;-5.28%;-3.20%;-5.94%;4.31%;19.71%;51.64%
2013;-5.22%;-0.68%;-0.17%;4.70%;12.65%;-8.77%;-4.13%;11.18%;5.66%;-3.67%;-0.44%;-3.01%;5.94%
2014;-3.64%;-4.88%;5.87%;-0.78%;-4.02%;0.90%;-16.91%;0.29%;-9.37%;-10.33%;5.40%;-1.03%;-34.12%
2015;-16.34%;-15.41%;12.52%;15.90%;0.37%;0.37%;-0.00%;-10.89%;5.97%;-3.15%;-13.80%;10.83%;-18.76%
2016;-12.89%;11.71%;9.17%;16.93%;-7.75%;-6.06%;10.39%;-13.47%;-0.96%;6.68%;-4.04%;5.43%;9.92%
2017;11.73%;7.15%;14.42%;1.51%;4.36%;-2.58%;11.21%;22.95%;0.87%;11.70%;-3.08%;24.97%;163.79%
2018;14.75%;0.26%;-9.94%;-1.89%;-8.70%;-4.21%;3.24%;14.64%;-10.21%;-2.28%;17.88%;-8.21%;-0.10%
2019;12.76%;18.82%;-20.77%;-2.49%;8.31%;-3.62%;2.04%;-21.73%;2.55%;0.22%;7.72%;2.41%;-2.15%
2020;-2.55%;-8.51%;-27.30%;29.92%;19.82%;-5.40%;-5.86%;-0.50%;-2.52%;4.24%;4.46%;0.63%;-4.50%
2021;11.30%;22.99%;30.24%;32.08%;-11.93%;11.88%;16.62%;7.89%;0.45%;-15.42%;-8.31%;12.33%;155.47%
2022;-4.85%;-4.87%;7.76%;-4.12%;23.72%;-17.63%;2.17%;10.98%;-1.48%;0.90%;7.82%;-5.45%;9.52%
2023;6.08%;1.29%;-7.71%;-2.87%;-7.83%;2.11%;4.70%;-8.81%;8.73%;-3.36%;-4.89%;0.52%;-13.05%
2024;-11.03%;-6.67%;-10.16%;-7.50%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-31.00%
