;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-2.75%;-25.88%;-4.76%;10.00%;6.06%;-7.14%;7.69%;28.43%;0.11%;0.00%;-13.22%;-3.97%;-14.19%
2001;4.00%;2.56%;-3.63%;3.76%;1.25%;-1.23%;6.12%;-2.24%;-5.90%;3.71%;1.23%;14.02%;24.67%
2002;0.00%;-3.74%;0.00%;8.89%;-8.16%;-8.89%;-9.76%;0.68%;-6.04%;0.00%;8.57%;1.32%;-17.65%
2003;-2.60%;-1.33%;-0.68%;2.04%;-1.33%;-4.05%;-1.41%;2.86%;-2.78%;5.71%;4.05%;10.39%;10.39%
2004;17.65%;20.00%;12.50%;11.11%;-1.33%;-5.81%;-21.09%;0.00%;-1.91%;11.21%;-0.00%;5.83%;49.41%
2005;10.16%;0.07%;-1.07%;-0.07%;-2.46%;-3.70%;-1.54%;13.28%;10.34%;6.25%;-8.82%;18.71%;44.88%
2006;8.70%;5.00%;19.05%;-0.00%;-6.00%;10.60%;0.00%;-5.73%;22.45%;3.33%;3.23%;0.00%;73.91%
2007;0.00%;-3.13%;0.00%;-6.61%;10.54%;9.37%;8.57%;4.74%;0.50%;-0.03%;-15.23%;9.88%;16.41%
2008;-3.36%;0.00%;-2.78%;2.51%;0.00%;-16.39%;-0.00%;0.00%;0.00%;-16.67%;-36.00%;-5.81%;-59.54%
2009;14.33%;0.00%;-6.56%;11.80%;30.56%;11.11%;0.00%;0.00%;-9.96%;1.87%;12.94%;10.91%;99.07%
2010;-3.33%;20.69%;0.00%;-14.00%;36.28%;0.00%;-10.21%;-0.11%;-2.77%;0.00%;0.00%;0.00%;19.24%
2011;0.59%;-11.73%;0.00%;0.00%;34.53%;7.87%;5.00%;0.00%;0.00%;6.93%;-1.46%;2.47%;46.08%
2012;0.00%;0.00%;0.00%;0.00%;0.00%;10.98%;0.00%;46.16%;0.00%;0.00%;-4.16%;-9.26%;41.07%
2013;0.00%;0.00%;0.00%;1.55%;0.00%;10.09%;0.00%;0.00%;0.00%;3.18%;0.00%;-1.97%;13.08%
2014;0.00%;0.00%;-23.42%;4.93%;1.03%;0.00%;0.00%;0.00%;0.00%;5.02%;0.00%;1.40%;-13.55%
2015;0.00%;0.00%;0.00%;1.35%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;1.38%;1.17%;3.96%
2016;0.00%;0.00%;0.00%;2.97%;-22.75%;0.00%;0.00%;13.32%;0.00%;2.28%;0.00%;-13.16%;-19.93%
2017;-7.14%;0.00%;7.66%;-1.40%;4.10%;-12.06%;13.38%;17.99%;-0.02%;1.28%;-0.58%;0.36%;21.96%
2018;-3.37%;2.70%;0.00%;4.85%;-4.29%;-10.45%;6.06%;-5.43%;2.57%;1.62%;-5.04%;3.17%;-8.64%
2019;6.41%;5.19%;-0.00%;6.56%;-1.04%;16.22%;-2.05%;-1.92%;5.38%;-3.53%;-0.00%;20.22%;61.05%
2020;-6.70%;2.19%;-15.18%;-2.63%;2.70%;5.55%;10.16%;-1.73%;-1.19%;-0.60%;1.82%;1.08%;-6.60%
2021;-3.58%;-2.97%;4.54%;0.05%;-3.81%;5.05%;-4.84%;-4.37%;-9.77%;-0.25%;1.59%;0.00%;-17.73%
2022;0.00%;-18.72%;7.65%;-3.57%;1.37%;-20.68%;8.25%;-1.87%;-0.13%;-4.47%;13.18%;5.81%;-17.67%
2023;2.68%;4.02%;-11.14%;9.89%;5.47%;0.78%;3.11%;-0.94%;-10.48%;7.45%;6.89%;5.39%;22.72%
2024;-1.10%;0.11%;-5.45%;9.73%;-1.29%;5.56%;-0.00%;1.73%;11.49%;4.81%;4.83%;-0.70%;32.45%
2025;-0.76%;7.71%;6.45%;-2.64%;16.91%;0.52%;1.03%;2.07%;-0.38%;-2.63%;7.82%;1.81%;42.95%
2026;13.27%;-2.88%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;10.00%
