;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2021;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-5.66%;-15.58%;-28.41%;-26.55%;-12.81%;-63.48%
2022;-11.07%;-16.97%;8.99%;-22.50%;-26.77%;-22.47%;42.05%;39.60%;-12.03%;14.33%;-8.55%;-14.95%;-45.07%
2023;-6.96%;-13.39%;-2.73%;15.42%;-4.05%;16.03%;9.82%;21.85%;-4.35%;-13.92%;8.91%;12.42%;35.90%
<<<<<<< HEAD
2024;-7.82%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-7.82%
=======
2024;-8.63%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-8.63%
>>>>>>> 1f984824cd6e9ac230aabc243df2e6ed893a5d46
