;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2011;-0.00%;-16.67%;2.40%;0.00%;0.00%;-2.34%;30.80%;-21.41%;-4.67%;4.08%;-5.88%;0.00%;-20.00%
2012;0.00%;41.67%;-0.00%;-12.06%;-12.04%;12.93%;-8.08%;1.83%;11.51%;-5.81%;0.00%;-14.04%;4.58%
2013;0.00%;-11.95%;-29.86%;9.68%;17.06%;-17.09%;-3.03%;3.13%;1.82%;17.86%;25.25%;-31.45%;-32.27%
2014;5.88%;-0.56%;-10.61%;-18.13%;3.05%;11.11%;13.33%;0.00%;0.00%;-35.29%;4.55%;27.83%;-13.53%
2015;-14.97%;18.40%;0.00%;-25.68%;18.18%;13.85%;0.68%;0.00%;-26.17%;35.45%;-6.04%;-32.86%;-36.05%
2016;-9.57%;-17.65%;28.57%;38.89%;22.40%;20.92%;0.00%;-5.42%;-0.03%;0.00%;0.00%;0.00%;86.09%
2017;-14.28%;0.00%;66.89%;-0.10%;36.69%;-4.17%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;87.21%
2018;39.13%;-6.31%;0.07%;6.67%;11.02%;0.00%;0.00%;-9.92%;0.00%;5.47%;34.87%;8.54%;114.80%
2019;7.87%;4.17%;0.00%;0.00%;6.78%;19.99%;0.00%;0.00%;0.00%;0.00%;16.67%;34.29%;125.56%
2020;6.38%;9.50%;0.00%;0.00%;2.21%;-21.46%;-6.97%;-8.48%;22.92%;0.00%;11.11%;17.35%;27.60%
2021;0.00%;4.35%;0.00%;0.00%;2.60%;25.63%;0.00%;0.00%;0.00%;-49.93%;0.00%;0.00%;-32.65%
2022;14.00%;0.00%;0.00%;0.00%;36.56%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;55.68%
