;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2008;-11.83%;12.99%;-7.58%;17.42%;2.88%;-16.06%;-3.27%;-6.14%;3.31%;-18.91%;-1.83%;-7.75%;-35.70%
2009;-8.45%;-0.48%;11.59%;17.27%;-36.34%;-4.36%;1.97%;4.06%;14.63%;-1.96%;5.61%;-0.33%;-8.86%
2010;-13.88%;-1.05%;0.00%;0.00%;0.00%;0.00%;4.03%;-5.55%;11.36%;3.33%;-4.22%;-2.34%;-9.88%
2011;-5.67%;-3.25%;8.89%;-3.20%;-1.24%;2.19%;-6.94%;-4.58%;-1.56%;13.14%;-5.49%;3.78%;-5.82%
2012;2.11%;-0.64%;2.21%;-3.95%;-3.36%;1.15%;5.54%;3.96%;-0.85%;-1.75%;10.91%;-0.90%;14.37%
2013;4.07%;-3.50%;3.80%;-1.14%;4.19%;-16.25%;-3.65%;0.22%;9.44%;6.02%;-3.76%;-6.16%;-9.02%
2014;-10.07%;4.40%;14.21%;6.51%;-6.05%;2.69%;7.99%;18.87%;-15.31%;7.12%;6.19%;-11.53%;20.52%
2015;-3.79%;11.47%;-5.69%;8.90%;-12.37%;0.82%;-3.34%;-16.12%;-7.07%;-1.96%;0.57%;-8.71%;-34.01%
2016;-5.86%;17.58%;26.80%;5.28%;-11.97%;10.44%;12.63%;2.47%;2.10%;12.71%;-11.03%;-2.52%;65.46%
2017;12.76%;2.20%;-3.11%;3.18%;-9.39%;2.29%;7.25%;11.23%;4.38%;-1.06%;-5.85%;3.68%;28.40%
2018;20.38%;-4.86%;1.88%;-3.73%;-15.62%;-7.78%;13.49%;-7.04%;1.02%;19.64%;12.13%;0.49%;25.60%
2019;17.10%;-4.40%;-0.76%;-0.57%;3.99%;2.00%;-8.59%;-4.49%;2.94%;3.69%;-5.12%;8.39%;12.30%
2020;-9.07%;-7.18%;-31.97%;1.42%;-1.04%;9.23%;8.41%;-7.58%;-6.41%;3.86%;20.54%;11.69%;-17.46%
2021;-8.84%;-7.03%;16.39%;-2.00%;11.03%;-2.83%;-5.75%;-4.54%;-10.02%;-4.46%;0.05%;-3.52%;-22.14%
2022;18.69%;-10.75%;9.19%;-10.99%;14.02%;-16.10%;1.34%;8.78%;4.64%;0.10%;-21.55%;-2.76%;-13.25%
2023;-7.46%;-6.70%;0.69%;5.16%;11.99%;6.06%;1.28%;-10.26%;-4.35%;-2.17%;16.30%;0.37%;7.79%
