;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2004;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-6.02%;9.33%;2.76%
2005;2.68%;16.39%;-2.00%;-6.91%;0.67%;-6.67%;-3.14%;7.18%;1.61%;1.13%;15.18%;-3.10%;21.95%
2006;20.00%;4.80%;19.91%;13.26%;-14.52%;1.37%;7.57%;14.32%;-1.19%;7.87%;13.81%;21.34%;167.92%
2007;3.91%;0.57%;-2.86%;2.79%;7.28%;-1.32%;-2.31%;-8.01%;5.86%;10.78%;-12.81%;-2.94%;-1.46%
2008;-15.38%;14.06%;-16.17%;5.62%;2.13%;-3.65%;7.46%;-15.29%;-19.83%;-20.44%;2.79%;18.21%;-40.68%
2009;4.98%;-15.33%;2.67%;10.75%;13.34%;2.68%;8.79%;3.59%;4.05%;2.78%;3.73%;3.49%;52.18%
2010;-4.53%;-4.80%;-0.28%;-0.44%;4.91%;-0.80%;8.58%;5.68%;1.40%;15.21%;3.20%;9.69%;42.50%
2011;-7.49%;1.92%;3.85%;-2.75%;-7.58%;-0.78%;-10.66%;-9.63%;-10.81%;12.05%;-1.37%;13.66%;-21.01%
2012;-2.49%;3.51%;-5.56%;-6.61%;-4.79%;-4.36%;4.62%;4.47%;9.04%;9.09%;4.31%;5.15%;15.59%
2013;1.75%;9.83%;6.29%;-9.16%;5.02%;-11.60%;10.25%;0.39%;8.53%;2.56%;4.90%;1.39%;31.25%
2014;-5.38%;15.38%;-0.67%;1.76%;-3.76%;2.15%;-2.29%;7.45%;-15.07%;4.54%;4.48%;-1.32%;4.25%
2015;-9.54%;13.89%;16.11%;5.57%;-5.31%;16.00%;-5.92%;-14.56%;-9.56%;9.94%;0.65%;-10.65%;-0.28%
2016;-9.10%;-9.71%;17.94%;-0.11%;-4.69%;1.33%;5.05%;-1.96%;8.24%;5.18%;-5.45%;-5.65%;-2.33%
2017;-2.30%;9.97%;-1.70%;1.09%;12.12%;-4.94%;5.50%;10.32%;8.40%;-3.26%;0.34%;1.40%;41.30%
2018;21.61%;3.64%;6.05%;-6.76%;-2.57%;-2.56%;21.93%;10.65%;8.04%;-8.28%;-3.28%;0.56%;53.83%
2019;7.54%;-0.07%;-3.94%;2.00%;-2.07%;-1.15%;0.81%;7.49%;5.16%;-1.42%;4.53%;4.57%;25.13%
2020;5.40%;-7.79%;-26.34%;3.08%;4.44%;7.83%;7.16%;-2.17%;-8.72%;-1.72%;1.15%;3.38%;-18.26%
2021;-1.67%;-9.53%;7.78%;8.90%;7.66%;0.60%;-2.08%;10.67%;-13.49%;-5.62%;-3.48%;-6.02%;-9.25%
2022;-5.21%;5.80%;0.62%;-1.69%;1.92%;-14.37%;3.72%;17.93%;0.09%;9.99%;4.57%;-4.38%;16.57%
2023;11.88%;2.20%;-11.14%;6.85%;-4.85%;20.08%;1.81%;-8.84%;1.68%;-4.11%;11.07%;4.53%;30.30%
2024;-7.17%;7.05%;9.52%;-3.29%;1.30%;1.98%;-1.13%;11.31%;8.26%;4.64%;-0.81%;-3.41%;29.86%
2025;10.69%;-4.93%;6.79%;9.98%;18.37%;6.96%;-6.00%;2.43%;0.00%;0.00%;0.00%;0.00%;50.66%
