;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-19.84%;-6.03%;12.01%;-17.17%;17.65%;-5.75%;0.80%;15.92%;-12.03%;-8.77%;-2.83%;20.52%;-14.90%
2001;19.20%;-6.08%;-32.58%;10.24%;-6.97%;-10.61%;-9.25%;-8.65%;-24.21%;3.61%;25.20%;4.28%;-41.18%
2002;2.05%;11.07%;1.27%;11.45%;3.37%;-8.54%;-3.74%;-4.76%;-25.00%;21.73%;31.24%;5.41%;40.04%
2003;12.90%;7.40%;4.84%;-11.30%;-0.78%;21.89%;16.13%;22.87%;3.69%;14.32%;13.60%;16.90%;206.31%
2004;4.36%;13.76%;6.94%;-29.86%;-21.51%;3.78%;16.13%;3.09%;-2.09%;-5.09%;22.92%;-1.95%;-2.75%
2005;3.17%;28.24%;-5.80%;-12.84%;-22.60%;-11.24%;18.21%;3.42%;11.74%;-16.46%;6.36%;9.35%;-0.96%
2006;29.20%;-1.62%;6.43%;7.71%;-6.96%;1.91%;0.29%;-10.19%;-0.96%;7.26%;-2.71%;-0.31%;28.23%
2007;6.81%;7.56%;19.91%;0.17%;11.36%;0.70%;8.93%;2.42%;15.73%;7.48%;-1.44%;15.46%;144.34%
2008;4.70%;14.73%;-0.86%;19.03%;8.93%;-9.86%;-14.24%;-7.47%;-27.88%;-29.55%;-9.82%;12.01%;-43.31%
2009;21.31%;-10.89%;13.09%;17.06%;20.44%;-10.06%;10.18%;2.00%;10.93%;7.21%;0.34%;-4.38%;98.80%
2010;-0.42%;7.55%;20.61%;0.36%;2.96%;-26.54%;11.18%;-8.00%;9.03%;-3.68%;-7.58%;2.14%;-0.56%
2011;3.86%;-3.79%;0.11%;-8.32%;-5.94%;-12.93%;-13.50%;-4.82%;-6.58%;11.11%;-10.06%;1.56%;-41.37%
2012;21.83%;-4.05%;-1.66%;-0.21%;-20.55%;-12.39%;-7.47%;-5.60%;14.89%;-1.66%;-6.59%;15.11%;-15.29%
2013;-9.36%;-6.98%;-8.70%;-12.60%;-16.43%;-9.83%;10.23%;32.31%;11.29%;29.49%;3.55%;20.74%;33.24%
2014;-22.18%;-11.26%;2.09%;-13.01%;0.35%;9.43%;21.81%;-14.06%;-11.59%;-5.17%;-26.67%;-6.61%;-59.52%
2015;-22.90%;23.10%;9.07%;48.15%;-23.54%;-15.47%;-16.18%;-19.54%;12.00%;10.71%;26.73%;-27.27%;-23.61%
2016;-11.25%;46.48%;37.12%;84.29%;-50.23%;19.57%;41.56%;-22.31%;5.70%;18.15%;15.74%;-12.71%;171.25%
2017;6.45%;3.72%;-23.96%;-14.93%;-11.48%;4.66%;6.13%;14.04%;10.59%;-12.28%;-12.69%;13.86%;-22.76%
2018;31.15%;-7.64%;-13.30%;-0.23%;-12.30%;2.08%;16.79%;-4.36%;6.38%;2.46%;-7.31%;-0.34%;5.49%
2019;15.38%;28.24%;24.24%;-10.52%;19.35%;1.03%;-1.08%;-13.13%;-5.93%;-10.81%;6.44%;12.34%;71.00%
2020;-8.58%;-13.33%;-37.57%;28.37%;15.30%;3.49%;14.70%;24.16%;8.48%;24.48%;14.46%;35.47%;125.97%
2021;-4.55%;8.12%;15.30%;29.79%;-7.45%;-2.07%;6.27%;-23.35%;-17.58%;-20.71%;-4.48%;14.84%;-18.27%
2022;3.02%;-1.72%;3.71%;-19.05%;7.12%;-29.30%;-4.73%;-6.19%;-7.83%;-3.46%;28.34%;3.92%;-31.73%
2023;27.15%;-9.89%;-7.38%;-7.97%;-10.82%;-0.16%;14.10%;-12.50%;0.25%;-3.13%;46.31%;19.73%;47.67%
2024;-9.82%;-5.13%;-6.66%;-11.34%;-0.93%;-1.30%;-8.13%;-0.00%;8.68%;-8.69%;-0.40%;-20.61%;-50.09%
2025;2.60%;-6.27%;11.15%;-1.80%;-11.29%;-9.82%;7.80%;-3.12%;0.00%;0.00%;0.00%;0.00%;-12.30%
