;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2014;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;5.61%;7.88%;-2.60%;10.96%
2015;-5.48%;2.93%;-3.92%;-0.21%;1.85%;9.78%;-0.00%;6.22%;-1.44%;2.99%;-3.19%;4.76%;14.05%
2016;2.89%;7.78%;12.89%;5.02%;-2.20%;-5.16%;-5.09%;-6.17%;4.68%;-6.11%;-23.69%;-1.75%;-19.98%
2017;-2.61%;-4.84%;-3.66%;0.00%;-0.00%;25.80%;-14.15%;-0.19%;-3.53%;1.15%;-1.14%;-7.69%;-14.29%
2018;-9.21%;8.77%;13.92%;-11.67%;-16.14%;-0.05%;13.61%;0.84%;-4.15%;19.18%;7.42%;19.93%;40.42%
2019;-1.81%;-2.15%;-3.49%;-3.10%;-0.59%;19.60%;11.64%;-0.47%;-4.00%;1.56%;0.51%;9.69%;27.60%
2020;-2.35%;-11.88%;-39.32%;20.27%;-11.11%;16.67%;10.82%;-9.83%;0.07%;-2.50%;25.35%;11.05%;-11.63%
2021;-13.84%;-1.04%;-1.23%;2.03%;13.35%;-8.13%;-5.94%;-12.13%;4.41%;-14.79%;0.04%;1.96%;-32.89%
2022;-0.82%;-7.67%;8.35%;-9.09%;-0.43%;-12.66%;13.70%;-9.63%;10.66%;5.76%;-0.17%;1.33%;-4.59%
2023;10.40%;-5.70%;-2.29%;1.41%;-6.18%;14.69%;-8.59%;-4.33%;-7.75%;-12.99%;16.30%;17.96%;6.91%
2024;-12.15%;-3.72%;4.55%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-11.57%
