;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-100.00%;8.00%;11.04%;-46.63%;-9.88%;24.83%;-11.11%;25.00%;0.00%;-25.00%;0.00%;0.00%;-100.00%
2001;80.00%;20.00%;-32.10%;44.55%;19.37%;-5.16%;0.00%;-38.33%;-9.91%;0.00%;0.00%;97.00%;162.67%
2002;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-44.16%;0.00%;0.00%;0.00%;81.82%;0.00%;1.52%
2003;0.00%;0.00%;0.00%;0.00%;-7.50%;0.00%;-24.32%;0.00%;0.00%;13.93%;-0.94%;0.06%;-20.95%
2004;-1.33%;28.21%;0.00%;-5.50%;0.00%;0.00%;11.11%;42.86%;-3.33%;-3.07%;0.00%;6.72%;89.75%
2005;0.00%;8.33%;13.85%;-22.97%;26.25%;-7.45%;-3.90%;-3.16%;-3.19%;-3.33%;-0.00%;17.24%;13.33%
2006;38.24%;-10.64%;9.40%;-5.11%;14211.93%;-99.36%;0.00%;0.00%;0.00%;23.80%;8.24%;19.37%;88.19%
2007;18.78%;0.00%;-0.00%;46.32%;48.19%;4.98%;-3.66%;-44.48%;-16.50%;-0.78%;-8.52%;-0.19%;9.40%
2008;-14.19%;16.54%;-14.29%;1.11%;31.87%;-16.67%;-20.00%;0.00%;-7.50%;-19.73%;23.74%;-0.68%;-30.48%
2009;-8.63%;-1.95%;13.91%;6.04%;1.27%;0.00%;5.62%;16.09%;16.11%;4.92%;0.92%;6.14%;75.34%
2010;4.30%;0.37%;-4.48%;-2.27%;-20.06%;11.00%;17.12%;15.38%;-0.80%;4.10%;3.29%;-3.12%;21.09%
2011;3.23%;-9.38%;10.14%;-1.88%;-13.78%;-0.81%;11.42%;-8.98%;-0.00%;-4.34%;7.00%;5.03%;-5.74%
2012;9.51%;5.62%;0.71%;-0.12%;0.00%;-35.29%;32.73%;-3.77%;2.99%;-6.70%;-10.30%;5.70%;-12.39%
2013;9.37%;16.43%;-7.98%;2.67%;-2.53%;-14.06%;3.88%;-5.97%;12.14%;4.67%;-12.04%;-0.08%;1.56%
2014;-7.08%;0.00%;-4.64%;3.82%;-9.70%;6.48%;-0.00%;15.65%;1.50%;-0.07%;2.30%;-7.97%;-2.31%
2015;0.00%;-20.16%;2.37%;-3.56%;-5.09%;-5.26%;5.56%;-18.21%;-9.91%;7.14%;39.87%;-14.20%;-29.13%
2016;-22.22%;25.71%;7.84%;15.91%;-15.45%;-12.15%;95.47%;-12.34%;-7.86%;0.00%;-8.29%;-4.23%;25.89%
2017;182.88%;-12.64%;-30.36%;12.72%;-8.42%;-10.58%;8.83%;3.11%;-2.97%;36.17%;-5.62%;4.80%;133.01%
2018;-3.41%;14.71%;-5.98%;-32.73%;-16.11%;6.19%;3.46%;2.64%;1.14%;10.00%;17.57%;-6.51%;-18.94%
2019;5.14%;8.89%;1.18%;-9.20%;1.02%;0.70%;3.45%;-2.49%;3.90%;-3.88%;1.82%;-2.09%;7.48%
2020;-3.48%;-1.89%;-33.43%;-0.07%;-9.66%;25.59%;-5.72%;-4.19%;-7.00%;2.10%;3.19%;8.25%;-31.52%
2021;-5.97%;-7.02%;0.94%;0.65%;7.93%;-1.99%;-6.35%;-3.25%;-3.95%;-3.65%;-7.41%;3.22%;-24.70%
2022;0.93%;-1.75%;1.62%;-2.01%;-1.11%;-3.63%;0.99%;9.41%;2.35%;-1.51%;-11.26%;-2.90%;-9.70%
2023;3.92%;-1.44%;1.46%;3.77%;15.15%;11.88%;-4.91%;-10.04%;0.00%;-9.27%;9.96%;9.13%;29.41%
2024;5.48%;4.04%;-2.37%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;7.14%
