;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2011;0.00%;0.00%;0.00%;0.00%;-2.74%;1.56%;-15.38%;-6.55%;-8.64%;14.14%;-18.66%;-12.48%;-42.01%
2012;5.03%;18.26%;0.93%;-4.85%;-18.01%;0.75%;9.04%;10.24%;8.32%;-7.60%;-0.53%;8.00%;27.36%
2013;-1.23%;-15.50%;-9.66%;-21.83%;13.83%;-33.99%;-5.02%;12.33%;31.53%;25.83%;-11.58%;-10.12%;-37.86%
2014;5.30%;-11.45%;-7.95%;17.28%;7.11%;12.90%;-2.61%;0.56%;-15.78%;8.84%;-3.64%;-3.02%;2.12%
2015;-11.80%;-11.03%;-15.87%;-1.18%;-14.91%;-17.52%;1.70%;-28.97%;-29.41%;-18.06%;-25.17%;99.89%;-71.38%
2016;-19.83%;39.22%;48.48%;9.50%;8.52%;10.76%;19.48%;31.52%;26.45%;20.86%;12.48%;2.09%;501.53%
2017;20.55%;62.60%;-14.90%;25.80%;12.66%;1.99%;43.31%;54.82%;4.52%;-14.10%;-10.87%;41.18%;504.46%
2018;5.41%;7.68%;7.53%;8.99%;1.60%;18.05%;3.34%;-1.52%;-5.96%;37.81%;-2.47%;9.99%;125.72%
2019;-1.10%;-3.13%;-0.35%;10.65%;2.48%;7.71%;24.91%;10.09%;2.07%;20.52%;0.87%;5.93%;110.75%
2020;16.98%;-9.46%;-22.82%;27.47%;29.48%;11.34%;12.64%;15.50%;-4.31%;10.45%;-5.08%;6.72%;109.22%
2021;1.28%;-4.31%;-16.29%;-1.04%;0.65%;4.91%;-2.60%;-11.46%;-21.38%;-24.62%;-27.84%;-7.44%;-71.06%
2022;-3.05%;-14.14%;13.48%;-28.45%;-23.77%;-37.10%;10.26%;65.50%;4.92%;-0.22%;-23.71%;-19.65%;-62.05%
2023;61.68%;-18.96%;-7.80%;0.91%;13.77%;-11.32%;-0.59%;-17.61%;-23.19%;-37.26%;51.88%;6.93%;-21.17%
2024;-2.78%;8.44%;-15.49%;-24.44%;-8.90%;-2.74%;-8.13%;9.85%;-17.60%;0.00%;0.00%;0.00%;-50.40%
