;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2008;-12.80%;12.94%;-24.23%;-2.33%;33.75%;-17.71%;-1.30%;-6.85%;-10.59%;-30.26%;8.49%;-5.22%;-52.71%
2009;10.09%;8.33%;-0.00%;3.77%;0.82%;0.00%;0.00%;32.35%;0.00%;0.00%;0.00%;0.00%;65.14%
2010;0.00%;0.00%;21.94%;-1.41%;-7.58%;-1.00%;15.15%;22.32%;-0.32%;-2.88%;2.78%;7.31%;65.43%
2011;-1.33%;3.38%;21.78%;6.06%;15.90%;5.88%;-8.47%;7.95%;-6.96%;23.73%;2.42%;-1.59%;85.37%
2012;0.24%;25.53%;-5.31%;-4.65%;-8.23%;12.46%;-2.65%;5.32%;-1.91%;-1.42%;0.92%;-7.56%;8.45%
2013;8.67%;7.24%;1.17%;0.04%;-2.68%;-0.90%;-0.57%;-10.40%;9.84%;-0.22%;-5.75%;7.64%;12.68%
2014;-18.98%;7.59%;7.17%;-3.23%;-6.67%;-2.00%;-1.47%;-4.23%;19.46%;-8.98%;-15.30%;0.00%;-28.14%
2015;-17.27%;-5.09%;-28.42%;-4.41%;-5.38%;-2.52%;-23.27%;58.04%;-28.50%;1.10%;22.55%;-4.93%;-49.40%
2016;-0.98%;11.91%;-8.06%;-2.19%;1.26%;0.00%;16.92%;6.82%;-0.46%;2.17%;3.55%;0.34%;33.15%
2017;19.11%;36.65%;-0.69%;18.48%;3.92%;1.66%;3.66%;19.11%;3.91%;0.06%;4.48%;5.23%;185.59%
2018;8.36%;10.23%;0.65%;-2.58%;-3.05%;0.43%;-2.67%;-9.17%;-1.58%;2.03%;0.35%;1.46%;3.07%
2019;6.48%;-3.62%;0.82%;-1.44%;-1.69%;5.23%;0.71%;4.95%;-3.30%;3.28%;-4.47%;4.05%;10.69%
2020;-1.12%;-0.12%;-28.79%;-12.60%;-3.13%;28.31%;4.17%;-8.27%;-5.16%;-4.60%;-4.02%;13.56%;-28.00%
2021;-6.04%;-11.10%;0.67%;-0.18%;10.41%;2.84%;-5.12%;0.53%;-4.00%;-0.27%;3.56%;4.72%;-5.61%
2022;-1.64%;-0.85%;1.01%;-2.12%;-10.88%;-5.66%;-0.53%;-3.17%;1.15%;-3.51%;0.50%;-4.46%;-26.83%
2023;2.45%;14.81%;-6.30%;0.86%;20.28%;8.24%;1.05%;4.74%;0.22%;-4.35%;-0.23%;3.33%;51.38%
2024;13.76%;12.71%;-16.14%;-2.43%;-1.31%;-2.34%;4.12%;5.64%;7.62%;-6.36%;0.38%;2.13%;14.90%
2025;16.18%;-3.23%;6.80%;8.46%;7.10%;-6.67%;-1.64%;3.01%;-1.69%;1.04%;19.35%;9.37%;71.02%
2026;2.06%;3.34%;-1.81%;7.01%;-10.79%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-1.14%
