;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-97.64%;12.65%;51.17%;-13.64%;-4.00%;4.17%;-3.00%;-1.03%;-6.25%;5.11%;-9.08%;-0.01%;-97.01%
2001;27.91%;-9.80%;-13.32%;27.91%;-20.00%;12.50%;0.00%;-3.33%;-8.05%;-11.36%;0.00%;-1.28%;-10.47%
2002;0.00%;9.09%;-10.71%;0.00%;0.00%;-33.33%;-0.40%;-14.86%;-5.66%;92.47%;0.00%;-11.55%;-11.56%
2003;0.00%;0.00%;0.00%;0.00%;2.79%;0.31%;2.53%;11.11%;0.17%;32.28%;0.00%;-18.87%;26.28%
2004;34.88%;-1.72%;5.26%;1.66%;-21.31%;16.67%;7.14%;-23.33%;84.78%;5.88%;11.11%;100.00%;365.11%
2005;-5.50%;-10.05%;17.59%;-34.97%;15.38%;-6.67%;-7.14%;-3.85%;0.00%;-8.00%;-2.61%;-41.07%;-67.00%
2006;0.00%;0.00%;-9.09%;-11.67%;7.55%;-5.26%;0.00%;0.00%;0.00%;0.00%;-9.26%;22.45%;-9.09%
2007;10.00%;-1.52%;4.62%;22.06%;1.20%;39.29%;-5.98%;-17.27%;-0.00%;-8.79%;3.61%;6.98%;53.33%
2008;-19.57%;27.03%;17.02%;9.09%;-7.50%;21.62%;-25.93%;7.00%;-2.80%;-37.50%;1.54%;33.33%;-4.35%
2009;-17.05%;1.37%;9.46%;2.47%;-7.23%;-0.00%;-9.09%;1.43%;1.41%;-2.78%;-0.00%;2.86%;-18.18%
2010;30.56%;-3.19%;-9.89%;-2.44%;-3.75%;18.18%;-8.79%;-9.64%;25.33%;79.79%;13.02%;49.74%;297.22%
2011;-16.08%;5.83%;-7.48%;-23.40%;-2.78%;42.86%;9.60%;27.74%;-14.29%;7.00%;-5.61%;-5.94%;-0.35%
2012;21.40%;35.84%;-6.38%;-16.82%;-26.78%;5.22%;-1.77%;17.69%;-12.58%;-4.56%;-2.57%;3.77%;-3.51%
2013;-23.27%;-31.28%;-8.97%;-9.09%;15.00%;-15.22%;-1.71%;-7.83%;-13.21%;19.57%;-16.36%;-11.96%;-70.55%
2014;-4.94%;0.00%;5.19%;4.94%;-5.88%;-6.25%;18.67%;-7.87%;-9.76%;-13.51%;-10.94%;10.53%;-22.22%
2015;-19.05%;-7.84%;-12.77%;-2.44%;-10.00%;-5.56%;-11.76%;-26.67%;9.09%;25.00%;-20.00%;-8.33%;-65.08%
2016;-36.36%;42.86%;-35.00%;23.08%;-6.25%;0.00%;26.60%;15.85%;-0.05%;-2.23%;-5.44%;18.05%;9.09%
2017;1.21%;0.82%;-16.29%;12.15%;26.05%;3.11%;0.00%;-2.95%;-17.24%;6.29%;-0.04%;0.00%;6.25%
2018;-9.88%;19.67%;7.24%;0.00%;18.14%;0.00%;0.00%;-28.82%;0.00%;69.35%;-7.14%;20.49%;84.27%
2019;36.20%;15.47%;0.81%;5.97%;-11.96%;-7.21%;33.33%;27.91%;-1.83%;-6.46%;6.23%;0.00%;128.35%
2020;-10.53%;30.21%;-28.00%;0.00%;-11.11%;50.00%;119.67%;34.60%;-7.55%;-21.83%;-4.06%;2.11%;134.11%
2021;-4.78%;-7.53%;-6.51%;4.06%;23.05%;-9.82%;-13.40%;-3.09%;-0.80%;-2.82%;4.97%;3.16%;-16.72%
2022;-11.47%;-1.08%;-9.83%;-9.44%;-17.38%;-4.53%;0.00%;15.59%;-19.06%;12.32%;2.90%;5.33%;-35.76%
2023;-12.20%;0.00%;-7.12%;-10.95%;28.28%;-2.56%;47.21%;-13.59%;2.84%;3.76%;-7.73%;0.26%;13.99%
2024;14.62%;17.77%;26.89%;-4.27%;-3.18%;1.81%;-6.95%;-0.87%;-2.45%;-10.41%;-8.02%;-15.69%;1.04%
2025;13.44%;-7.52%;12.81%;-0.22%;-2.41%;-9.64%;-11.91%;-1.41%;0.00%;0.00%;0.00%;0.00%;-9.56%
