;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2007;0.00%;0.00%;0.00%;0.00%;0.00%;-0.56%;14.02%;-9.94%;11.38%;2.17%;-9.70%;10.74%;16.20%
2008;19.39%;31.98%;0.00%;20.77%;0.32%;1.59%;-15.28%;-16.93%;-27.22%;-31.67%;0.80%;24.00%;-15.15%
2009;-10.71%;12.00%;-10.71%;19.20%;6.38%;16.72%;-3.51%;-15.13%;0.59%;-12.80%;0.30%;21.91%;16.07%
2010;10.77%;-14.89%;-5.09%;13.82%;-15.47%;-4.22%;12.31%;6.31%;16.62%;17.90%;-14.73%;17.27%;35.38%
2011;-10.05%;9.35%;4.34%;-12.31%;2.88%;-9.23%;-8.06%;-7.00%;-1.01%;7.99%;-5.80%;-2.64%;-29.55%
2012;3.23%;-0.63%;22.58%;-3.34%;3.18%;2.83%;12.46%;-5.25%;2.11%;-10.80%;-7.78%;10.96%;28.06%
2013;8.72%;-10.19%;-3.82%;-5.15%;7.69%;-0.63%;0.69%;2.36%;12.72%;-4.91%;-4.83%;2.56%;2.77%
2014;-11.76%;0.28%;-2.55%;-3.35%;12.06%;0.89%;-11.81%;2.12%;-5.20%;2.93%;-12.02%;-5.11%;-30.88%
2015;1.42%;-3.43%;26.79%;-0.34%;-9.46%;9.49%;1.73%;-8.58%;11.25%;-3.80%;0.06%;-4.53%;16.67%
2016;-0.55%;12.47%;-14.13%;-1.77%;-3.61%;-1.07%;1.35%;-3.53%;-2.83%;12.45%;-7.53%;-1.03%;-12.04%
2017;13.48%;4.75%;3.60%;9.99%;2.91%;4.61%;3.13%;2.02%;11.26%;-10.93%;1.18%;19.81%;84.31%
2018;17.70%;10.61%;-0.49%;29.44%;1.30%;12.49%;3.81%;24.76%;-7.59%;-6.41%;-18.66%;-9.84%;56.96%
2019;5.83%;-7.40%;0.10%;0.10%;-5.11%;-9.38%;2.09%;-3.94%;3.23%;1.23%;6.02%;29.17%;18.49%
2020;-8.15%;-11.46%;12.54%;5.73%;3.79%;-5.26%;-1.69%;8.28%;1.47%;0.31%;5.24%;2.01%;10.69%
2021;26.16%;18.34%;8.93%;9.30%;8.63%;-3.17%;-12.31%;-9.47%;11.93%;-4.43%;-11.93%;17.33%;64.04%
2022;12.32%;-4.37%;13.26%;6.24%;3.67%;-19.54%;-0.07%;10.20%;-10.93%;6.14%;-2.33%;4.52%;14.59%
2023;9.36%;-3.96%;-7.47%;-4.58%;-12.68%;10.69%;14.21%;-7.86%;-2.06%;-6.68%;2.50%;-0.11%;-11.74%
2024;1.49%;2.93%;0.61%;-3.49%;-6.65%;-2.08%;2.92%;-1.67%;3.06%;-6.32%;0.00%;0.00%;-9.40%
