;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2011;0.00%;0.00%;0.00%;0.00%;0.00%;-1.00%;0.34%;-3.68%;-2.78%;12.86%;-3.48%;9.84%;11.30%
2012;3.22%;-13.24%;4.33%;6.07%;3.61%;2.09%;3.93%;9.32%;-0.75%;5.25%;-0.43%;2.22%;26.63%
2013;-2.88%;7.43%;-8.22%;-4.23%;-2.93%;-10.70%;-0.95%;10.78%;9.46%;3.60%;3.86%;3.26%;6.08%
2014;-8.93%;3.66%;8.05%;-5.88%;9.26%;10.59%;0.57%;6.70%;-13.53%;4.05%;9.21%;-0.18%;22.09%
2015;-4.15%;-2.39%;-11.40%;8.92%;-21.85%;1.70%;3.50%;-16.32%;-13.06%;9.16%;-8.83%;-4.33%;-48.56%
2016;-4.53%;-4.52%;13.20%;2.19%;2.35%;22.03%;15.53%;5.49%;-15.43%;7.09%;-10.66%;4.90%;36.23%
2017;7.06%;-4.37%;4.77%;9.44%;23.98%;2.43%;14.29%;6.25%;8.75%;-7.65%;-12.37%;1.08%;61.04%
2018;-1.32%;-6.02%;-22.50%;9.29%;-21.77%;-3.10%;8.61%;-21.40%;4.57%;-12.62%;-3.75%;-7.00%;-58.42%
2019;22.96%;-2.27%;1.23%;9.69%;17.15%;14.00%;-3.27%;28.67%;8.78%;2.57%;15.36%;0.82%;187.82%
2020;11.75%;-17.39%;-31.09%;9.83%;-8.49%;22.26%;-3.45%;11.57%;8.80%;-6.35%;4.21%;5.46%;-5.71%
2021;-11.06%;1.54%;-3.93%;-10.87%;8.02%;-1.06%;-10.93%;-17.01%;-6.46%;-14.41%;-8.07%;7.44%;-51.69%
2022;8.88%;-30.11%;24.65%;-17.22%;-15.45%;-0.62%;-11.66%;-2.34%;-15.18%;-3.43%;-21.95%;-4.55%;-65.27%
2023;7.50%;-25.99%;-21.20%;7.88%;9.57%;11.26%;-11.36%;-19.11%;-11.24%;-6.82%;-2.09%;21.00%;-42.08%
2024;-31.76%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-31.76%
