;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2007;0.00%;0.00%;0.00%;0.00%;0.00%;7.34%;12.06%;-18.15%;12.37%;-20.17%;-0.44%;-2.75%;-14.49%
2008;-35.59%;20.18%;-37.23%;7.91%;15.95%;-12.64%;-3.83%;-33.41%;-12.29%;-25.38%;1.52%;17.50%;-73.45%
2009;-15.32%;10.55%;11.36%;40.00%;25.66%;5.57%;31.65%;18.03%;5.94%;-4.41%;12.99%;3.21%;255.32%
2010;-2.40%;2.09%;-2.04%;0.61%;-2.68%;3.76%;14.01%;13.45%;6.44%;5.88%;7.79%;7.84%;68.02%
2011;-3.99%;0.82%;1.99%;16.03%;5.29%;0.30%;-10.72%;5.94%;-22.74%;25.40%;-0.32%;1.87%;12.54%
2012;12.35%;12.68%;12.56%;-6.44%;-4.99%;3.10%;5.63%;12.72%;2.57%;6.04%;-3.30%;-0.46%;62.76%
2013;0.78%;5.98%;-1.17%;1.36%;8.33%;-8.69%;1.07%;-3.06%;14.11%;8.35%;-6.07%;-5.85%;13.39%
2014;-7.38%;-4.00%;8.65%;-2.70%;-15.88%;1.65%;-3.93%;8.49%;-13.97%;0.95%;8.49%;2.39%;-19.18%
2015;-25.41%;7.25%;13.98%;-4.29%;-13.70%;-12.61%;-3.38%;-5.79%;-12.29%;9.86%;3.15%;-2.60%;-42.00%
2016;-3.21%;8.50%;21.79%;2.33%;-0.86%;1.52%;11.25%;-6.80%;-8.26%;8.61%;-10.77%;6.10%;28.85%
2017;16.68%;5.26%;0.16%;5.56%;-12.45%;-0.22%;10.31%;13.79%;0.99%;-4.44%;1.16%;-0.46%;38.34%
2018;2.91%;9.11%;-5.06%;-12.91%;-10.50%;-10.34%;7.38%;-7.33%;4.67%;42.74%;-4.09%;8.78%;15.57%
2019;10.67%;-3.68%;0.49%;-2.26%;1.80%;16.82%;27.82%;18.90%;-7.32%;13.81%;5.19%;19.75%;151.43%
2020;7.13%;-16.37%;-36.13%;1.72%;7.94%;22.36%;3.18%;-5.66%;-9.27%;-0.40%;16.67%;4.76%;-17.34%
2021;-14.50%;-14.12%;1.75%;0.81%;-3.62%;-0.10%;-11.60%;-2.55%;-14.78%;-20.10%;-0.60%;12.73%;-52.33%
2022;4.55%;-17.82%;6.72%;-16.48%;3.90%;-11.19%;16.82%;6.99%;17.61%;-1.93%;-27.75%;-10.76%;-34.33%
2023;9.08%;-13.24%;-4.17%;19.29%;21.34%;4.48%;17.97%;1.43%;-14.61%;-23.65%;28.04%;1.63%;39.24%
2024;-17.43%;9.33%;-4.98%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-14.22%
