;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-11.30%;17.65%;3.34%;-3.23%;-0.00%;-0.00%;13.58%;0.51%;5.88%;5.47%;4.58%;-6.25%;30.43%
2001;16.67%;-8.57%;-3.12%;-0.65%;0.65%;-3.55%;0.00%;-6.35%;2.86%;0.69%;-10.34%;3.85%;-10.00%
2002;-3.72%;-7.68%;24.58%;-1.00%;-25.68%;22.73%;-14.81%;13.03%;-3.85%;-1.60%;13.81%;-7.06%;-3.63%
2003;-0.08%;0.00%;15.38%;0.00%;40.00%;-14.29%;55.56%;-32.14%;1.05%;-1.04%;-5.27%;10.56%;52.96%
2004;-7.04%;5.41%;-7.18%;4.97%;-5.26%;19.44%;2.32%;5.00%;29.87%;6.67%;-10.31%;14.29%;64.82%
2005;3.66%;45.59%;-23.23%;-21.05%;10.00%;-3.03%;-0.00%;31.25%;0.00%;1.24%;15.24%;42.84%;113.38%
2006;2.87%;4.17%;13.33%;0.00%;9.41%;-3.23%;-0.00%;-5.56%;4.59%;3.49%;11.96%;25.24%;84.31%
2007;14.71%;-2.01%;11.37%;5.21%;12.71%;-0.78%;4.74%;-6.04%;0.54%;1.06%;-11.78%;0.89%;31.10%
2008;-8.01%;-9.68%;-4.47%;4.44%;0.23%;2.17%;-11.62%;-24.55%;-13.70%;-50.68%;-2.83%;-0.73%;-76.75%
2009;23.56%;6.19%;0.87%;23.21%;16.85%;0.13%;-1.55%;14.67%;-8.75%;2.74%;54.48%;10.40%;244.38%
2010;8.26%;6.88%;19.04%;-10.84%;-14.62%;26.00%;5.06%;20.48%;5.60%;10.80%;-5.23%;-5.88%;74.51%
2011;20.10%;-18.49%;8.50%;-0.91%;6.47%;8.23%;-8.64%;1.26%;-1.74%;-0.88%;-4.65%;15.24%;20.05%
2012;12.24%;12.44%;4.53%;8.01%;-20.46%;3.75%;-4.69%;4.13%;19.14%;-3.00%;-10.11%;10.53%;33.98%
2013;-3.40%;-5.92%;-2.21%;4.84%;4.14%;-19.19%;2.88%;1.03%;17.02%;0.71%;-0.71%;3.10%;-1.67%
2014;-6.93%;-9.02%;8.41%;-6.34%;8.29%;-2.85%;-1.61%;2.42%;-6.60%;-13.43%;-6.30%;-16.25%;-42.16%
2015;19.40%;11.25%;6.39%;-1.06%;1.01%;-20.64%;-5.12%;-5.40%;1.26%;44.07%;2.76%;2.00%;53.83%
2016;-1.56%;4.34%;0.94%;1.92%;2.35%;-0.10%;3.01%;2.90%;-3.14%;-14.19%;-3.63%;3.74%;-4.84%
2017;11.49%;1.11%;4.20%;28.99%;-10.34%;11.76%;16.92%;-7.09%;-1.53%;21.98%;-8.06%;7.92%;96.55%
2018;-4.40%;6.81%;-1.23%;0.59%;-22.82%;-11.95%;18.28%;-13.37%;5.98%;18.87%;11.26%;-0.24%;-1.22%
2019;18.70%;0.67%;-0.38%;-3.72%;10.07%;13.26%;5.40%;14.05%;3.65%;1.07%;16.77%;0.29%;110.73%
2020;8.77%;-6.51%;-30.50%;14.13%;-4.32%;16.75%;7.13%;22.16%;3.17%;4.06%;9.58%;-0.26%;38.37%
2021;-5.72%;-15.79%;4.73%;8.90%;17.25%;6.55%;2.32%;14.06%;-12.17%;-23.52%;-2.11%;-5.63%;-18.07%
2022;-15.66%;-16.41%;4.87%;-14.51%;-5.59%;-5.49%;2.07%;2.36%;-1.71%;-3.47%;-17.68%;-16.20%;-61.43%
2023;-2.94%;-16.28%;-9.41%;-4.91%;26.29%;-0.19%;0.10%;-13.42%;-6.48%;-1.88%;17.72%;6.10%;-12.35%
2024;-10.26%;15.28%;-6.77%;-4.27%;-1.35%;3.16%;-18.06%;-2.37%;-11.86%;-8.68%;-3.33%;-4.92%;-44.39%
2025;1.03%;12.67%;-0.92%;7.92%;28.78%;-2.46%;-16.15%;25.14%;0.00%;0.00%;0.00%;0.00%;60.41%
