;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2007;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2008;0.00%;0.00%;0.00%;0.00%;167.09%;-0.00%;0.00%;0.00%;0.00%;-72.23%;0.00%;0.00%;-25.82%
2009;0.00%;0.00%;0.00%;0.00%;-4.00%;0.00%;0.00%;41.67%;0.00%;0.00%;0.00%;0.00%;36.00%
2010;0.00%;4.00%;1.81%;0.00%;0.00%;0.00%;38.89%;-26.00%;-10.68%;0.00%;8.93%;0.00%;5.88%
2011;0.00%;0.00%;0.00%;0.00%;3.57%;19.44%;-8.14%;0.00%;2.53%;0.00%;0.00%;0.00%;16.51%
2012;0.00%;0.00%;0.00%;0.00%;2.32%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;97.53%;102.12%
2013;0.00%;0.00%;8.75%;-7.27%;10.80%;-15.91%;1.49%;22.50%;3.26%;5.26%;-1.00%;0.00%;25.70%
2014;1.01%;-2.00%;2.04%;15.00%;33.05%;-2.23%;-0.87%;-3.11%;-22.35%;0.72%;6.25%;0.84%;21.62%
2015;-15.00%;4.51%;3.19%;-7.27%;-2.10%;1.01%;0.00%;-8.40%;-0.66%;0.11%;0.11%;-0.44%;-23.68%
2016;0.45%;-1.00%;-4.60%;7.06%;-2.49%;-7.08%;0.63%;4.22%;19.19%;-19.00%;11.11%;-9.78%;-6.60%
2017;2.22%;-1.20%;1.22%;-0.84%;-0.99%;12.25%;-2.23%;-9.68%;4.67%;7.11%;-8.89%;8.64%;10.39%
2018;13.64%;-14.90%;11.63%;-13.68%;16.96%;0.00%;-8.99%;-1.16%;-11.76%;26.40%;47.57%;-0.14%;61.11%
2019;0.00%;-7.02%;-0.08%;0.00%;1.09%;11.71%;-9.03%;-6.07%;-17.68%;39.22%;-19.01%;-14.78%;-29.08%
2020;40.31%;5.45%;-24.83%;-8.26%;-3.20%;-1.03%;38.83%;-12.58%;27.13%;17.40%;2.94%;-10.29%;63.53%
2021;-4.59%;-3.87%;-5.90%;12.18%;18.05%;15.06%;3.04%;-17.92%;-18.42%;8.01%;-8.48%;-5.26%;-15.03%
2022;-14.10%;-10.22%;29.87%;0.00%;-9.79%;-8.70%;-1.90%;15.44%;-15.98%;0.10%;-6.00%;6.38%;-21.44%
2023;-0.44%;-3.96%;2.54%;7.11%;-7.59%;0.00%;0.00%;4.74%;1.51%;-2.08%;-0.91%;26.10%;26.25%
2024;-10.59%;-0.49%;-5.37%;8.14%;-6.96%;7.99%;-5.60%;7.04%;-0.47%;-2.83%;4.85%;8.91%;2.11%
2025;2.73%;-7.08%;8.57%;29.39%;11.83%;-2.15%;4.14%;5.66%;0.00%;0.00%;0.00%;0.00%;61.44%
