;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2016;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-5.94%;-12.24%;-7.57%;-23.70%
2017;-4.85%;-8.61%;22.68%;18.87%;-4.57%;-1.07%;-2.79%;-3.81%;3.90%;-4.05%;-7.65%;-1.99%;1.02%
2018;0.95%;3.48%;4.14%;-9.88%;-8.34%;-1.65%;0.84%;-3.87%;-7.89%;2.57%;9.10%;1.84%;-10.07%
2019;17.96%;0.64%;-8.10%;3.63%;-6.47%;2.85%;2.57%;29.48%;0.52%;-5.97%;3.26%;-2.84%;36.96%
2020;15.75%;-10.32%;-52.25%;17.52%;-2.76%;0.88%;10.40%;5.55%;-15.35%;-4.63%;11.98%;2.40%;-38.37%
2021;-3.69%;-15.72%;-0.11%;-1.78%;38.80%;-4.16%;-13.78%;24.85%;-8.77%;28.14%;25.00%;-19.08%;34.86%
2022;10.22%;2.73%;5.90%;8.13%;3.09%;-2.50%;5.54%;-2.38%;4.38%;1.00%;-4.67%;6.93%;44.29%
2023;-0.97%;-2.99%;8.58%;1.42%;0.61%;3.52%;1.47%;-66.83%;21.97%;-0.20%;16.92%;-8.77%;-51.85%
2024;-18.75%;0.59%;7.88%;11.23%;-2.35%;4.32%;8.18%;42.35%;-3.75%;-0.91%;-21.36%;-28.75%;-17.79%
2025;37.89%;-1.61%;-33.10%;-24.74%;4.28%;-18.39%;-1.41%;29.18%;0.00%;0.00%;0.00%;0.00%;-25.96%
