;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;3.33%;-7.92%;-7.80%;2.59%;-4.92%;2.69%;6.90%;-3.23%;-28.33%;0.00%;0.00%;0.00%;-34.85%
2001;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2002;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2003;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2004;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;597.67%;0.00%;0.00%;0.00%;0.00%;597.67%
2005;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-11.74%;0.00%;0.00%;-11.74%
2006;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2007;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;25.88%;0.00%;0.00%;0.00%;25.88%
2008;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2009;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;1.74%;1.74%
2010;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;1.33%;0.00%;1.33%
2011;-8.01%;-12.62%;1.96%;1.92%;15.33%;-12.07%;-3.42%;-9.72%;10.68%;6.58%;-2.00%;2.04%;-12.85%
2012;15.11%;8.06%;5.54%;12.45%;2.42%;-4.06%;9.14%;2.12%;11.56%;1.95%;3.67%;-5.53%;80.09%
2013;8.36%;2.78%;-1.91%;0.81%;-4.24%;-5.57%;4.76%;6.70%;-2.00%;3.67%;0.14%;-2.25%;10.72%
2014;-10.69%;-2.74%;-0.00%;-7.00%;3.36%;1.05%;-4.22%;5.51%;-6.76%;8.84%;-1.28%;-4.79%;-18.66%
2015;-4.58%;1.95%;-2.40%;2.66%;11.82%;-5.73%;-3.50%;5.08%;7.12%;1.65%;13.20%;-2.88%;24.73%
2016;-1.94%;2.60%;-5.38%;-2.40%;3.18%;-1.71%;16.34%;-10.73%;-1.69%;-4.61%;-7.00%;0.87%;-13.92%
2017;2.46%;2.91%;-0.87%;-6.87%;-6.14%;2.53%;-12.55%;15.08%;3.92%;7.79%;6.14%;5.62%;18.41%
2018;3.77%;-5.88%;6.03%;-0.20%;14.97%;-3.63%;5.69%;-8.25%;-3.88%;-11.42%;16.24%;2.95%;13.12%
2019;7.56%;-2.12%;-7.71%;-0.95%;0.60%;8.37%;-0.36%;-3.86%;0.21%;3.46%;3.24%;16.18%;24.98%
2020;8.32%;-13.34%;-34.92%;0.29%;1.02%;0.79%;1.90%;-7.01%;-0.12%;5.25%;7.51%;9.33%;-26.96%
2021;-7.54%;-6.19%;30.25%;16.09%;4.39%;20.80%;-4.20%;23.90%;-4.63%;-9.67%;-14.06%;5.16%;52.83%
2022;8.02%;-16.83%;-5.63%;-1.65%;5.90%;-11.52%;3.92%;0.83%;-4.28%;11.05%;11.34%;6.99%;3.66%
2023;13.98%;-5.51%;-5.33%;0.07%;43.37%;12.91%;-2.47%;5.60%;0.67%;-23.33%;4.43%;12.30%;53.95%
2024;-3.68%;5.43%;-3.68%;-6.79%;2.94%;2.54%;4.36%;-5.01%;-5.71%;-0.96%;-7.74%;1.94%;-16.21%
2025;3.24%;-2.61%;2.79%;10.46%;8.37%;-5.89%;-5.36%;-1.61%;0.00%;0.00%;0.00%;0.00%;8.42%
