;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2005;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;4.93%;16.78%;22.54%
2006;31.00%;26.83%;31.10%;8.22%;-10.65%;-2.79%;0.90%;-19.72%;-6.95%;4.14%;3.23%;18.63%;96.83%
2007;-8.95%;-3.64%;-4.90%;4.83%;4.99%;-23.22%;1.99%;-31.23%;14.68%;8.88%;-22.89%;-0.76%;-52.74%
2008;32.16%;5.13%;-10.03%;15.00%;-14.38%;8.20%;11.16%;-15.65%;-51.10%;-16.93%;6.16%;0.36%;-45.96%
2009;-6.58%;-1.90%;-6.41%;39.70%;17.76%;-9.15%;18.12%;24.10%;-7.34%;-5.16%;11.05%;21.36%;122.54%
2010;-14.80%;10.52%;-7.90%;1.94%;-6.11%;8.82%;10.72%;-6.37%;9.83%;6.80%;-2.23%;5.18%;12.94%
2011;-5.72%;-0.15%;-2.27%;-4.72%;-0.21%;1.86%;-2.44%;1.94%;0.29%;11.81%;0.37%;0.37%;0.10%
2012;4.70%;8.77%;10.44%;-2.53%;-9.49%;3.44%;0.68%;10.80%;9.56%;5.18%;0.87%;6.26%;58.16%
2013;12.57%;-0.72%;-1.03%;3.07%;-0.63%;-8.46%;-1.82%;-0.18%;2.69%;5.15%;-4.27%;-7.95%;-3.30%
2014;-9.20%;-3.48%;1.64%;7.91%;0.31%;6.23%;-7.31%;25.61%;-15.74%;-0.08%;-8.07%;-9.28%;-16.25%
2015;-14.97%;15.33%;-1.41%;5.77%;-13.81%;-0.04%;-17.30%;-12.74%;13.08%;22.75%;-2.47%;4.56%;-10.00%
2016;-0.24%;9.56%;17.35%;1.43%;5.30%;1.46%;2.22%;10.48%;0.24%;13.82%;-8.01%;-1.47%;62.33%
2017;5.56%;-0.92%;-2.61%;-4.50%;-0.41%;-4.02%;4.40%;6.90%;-6.19%;3.31%;-4.20%;15.82%;11.58%
2018;5.16%;-0.62%;-4.29%;-4.17%;0.34%;-9.33%;4.80%;-5.61%;-6.87%;-0.49%;6.85%;-2.90%;-17.06%
2019;32.67%;-1.55%;-2.40%;9.89%;2.77%;-2.10%;10.25%;-1.75%;6.42%;8.63%;7.46%;12.03%;112.46%
2020;14.56%;-8.19%;-26.53%;12.24%;9.13%;9.99%;27.47%;-7.91%;-17.92%;-4.89%;19.31%;-2.33%;11.17%
2021;-0.88%;8.45%;12.31%;-1.49%;5.01%;2.52%;6.64%;-13.70%;4.22%;-13.88%;7.38%;3.82%;17.89%
2022;9.59%;-11.19%;12.03%;-11.21%;5.26%;-15.78%;2.58%;7.02%;-13.01%;-2.99%;6.94%;-5.05%;-19.26%
2023;-2.45%;-10.30%;0.73%;-0.73%;2.85%;19.07%;11.65%;-12.14%;-2.17%;-8.11%;12.70%;9.07%;16.16%
2024;-5.63%;-6.95%;-4.71%;-10.49%;-6.07%;2.91%;-1.26%;-0.07%;-2.10%;-9.63%;-13.79%;-19.92%;-56.37%
2025;-5.15%;-8.40%;4.23%;5.14%;5.92%;-16.65%;-13.56%;-2.19%;0.00%;0.00%;0.00%;0.00%;-28.92%
