;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;0.00%;0.00%;0.00%;0.00%;0.00%;37.24%;42.86%;-20.00%;0.00%;-25.00%;-83.33%;0.00%;-80.39%
2001;0.00%;-89.00%;0.00%;0.00%;0.00%;0.00%;0.00%;81.82%;0.00%;0.00%;0.00%;0.00%;-80.00%
2002;0.00%;0.00%;0.00%;25.00%;0.00%;-36.00%;1.06%;0.00%;0.00%;0.00%;0.00%;0.00%;-19.15%
2003;0.00%;-14.00%;0.00%;0.00%;0.00%;0.00%;0.00%;8.30%;-10.85%;-21.74%;5.56%;21.05%;-16.97%
2004;0.00%;-13.04%;0.00%;0.00%;-5.00%;0.00%;-5.26%;0.00%;-2.22%;-11.36%;53.85%;70.00%;77.39%
2005;-1.96%;-32.50%;-3.70%;-3.85%;17.60%;1.36%;-2.68%;2.76%;-22.15%;6.03%;-6.50%;20.87%;-31.86%
2006;-7.91%;-10.16%;0.87%;16.38%;-7.41%;-4.80%;-3.36%;12.17%;0.78%;-3.85%;3.20%;-13.95%;-20.14%
2007;38.74%;-11.04%;-5.11%;46.15%;32.63%;21.16%;36.33%;-31.78%;8.96%;-4.61%;-1.72%;-32.63%;76.04%
2008;13.54%;18.81%;-16.60%;22.22%;-6.11%;-15.38%;-9.09%;4.21%;1.01%;-7.50%;-5.41%;0.00%;-8.54%
2009;-2.86%;0.00%;-23.53%;-11.54%;34.78%;-9.68%;35.71%;-17.89%;-16.67%;0.00%;0.77%;-3.82%;-28.00%
2010;11.11%;3.57%;10.34%;-9.38%;-1.38%;-11.89%;26.19%;15.09%;1.09%;-14.05%;-13.84%;7.30%;16.67%
2011;0.68%;4.73%;-10.32%;90.65%;70.56%;411.59%;-71.95%;-32.32%;-20.90%;-1.89%;-1.92%;-15.69%;91.62%
2012;11.63%;2.08%;-12.24%;-18.60%;-34.29%;-21.74%;-5.56%;-0.00%;0.00%;0.00%;-5.88%;-6.25%;-65.12%
2013;-13.33%;-0.00%;-23.08%;0.00%;17.08%;-4.98%;-1.87%;1.45%;-5.49%;0.40%;-15.78%;3.58%;-38.89%
2014;-10.82%;0.41%;3.05%;1.97%;-12.27%;-1.43%;-2.79%;-8.28%;5.26%;-1.90%;-2.91%;-6.50%;-32.00%
2015;-15.37%;-7.42%;-1.02%;-13.45%;-0.60%;11.22%;2.70%;-22.98%;-11.39%;-3.86%;37.17%;16.57%;-20.05%
2016;-16.39%;5.20%;-1.14%;34.04%;19.23%;4.69%;37.93%;-8.33%;-22.73%;18.71%;5.05%;-1.13%;75.25%
2017;14.79%;6.40%;-5.86%;7.88%;0.00%;1.92%;12.45%;7.38%;12.19%;10.53%;17.94%;-2.61%;117.46%
2018;0.83%;-7.75%;-0.99%;-7.10%;7.59%;2.00%;-1.40%;18.96%;0.80%;3.56%;0.00%;3.05%;18.47%
2019;2.96%;5.90%;-0.27%;8.65%;3.45%;3.00%;5.91%;1.11%;-3.85%;5.63%;-3.98%;-1.04%;30.11%
2020;-3.22%;-2.94%;-24.85%;-2.02%;-11.11%;4.26%;11.46%;-7.77%;-0.65%;-1.30%;-0.44%;10.62%;-28.84%
2021;-8.80%;0.22%;-7.88%;26.84%;79.78%;27.08%;-1.64%;4.15%;-5.44%;-13.69%;-12.16%;-22.01%;39.76%
2022;-0.69%;8.07%;-20.99%;-6.65%;-18.66%;12.84%;4.17%;13.72%;-13.43%;30.57%;11.09%;3.26%;11.62%
2023;14.05%;12.41%;14.00%;-16.05%;8.25%;8.20%;5.23%;-3.42%;-1.51%;-10.87%;-1.42%;6.49%;34.59%
2024;-16.17%;-1.14%;3.45%;1.22%;14.16%;-0.15%;23.19%;-11.76%;7.23%;9.05%;9.09%;-5.72%;29.32%
2025;6.01%;7.28%;0.52%;-4.64%;5.41%;2.00%;-6.49%;0.00%;0.00%;0.00%;0.00%;0.00%;9.61%
