;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;-95.87%;17.74%;-14.38%;-12.00%;-9.36%;-0.70%;1.01%;-9.90%;-0.11%;8.89%;-15.31%;-3.61%;-97.33%
2001;-0.00%;-18.75%;4.62%;2.94%;0.00%;30.00%;-2.20%;-9.89%;-12.72%;42.86%;-8.00%;-5.43%;8.75%
2002;-2.30%;3.53%;4.55%;-1.09%;0.00%;-4.40%;-8.05%;-2.50%;0.00%;2.56%;15.75%;7.99%;14.94%
2003;1.50%;3.35%;4.86%;-0.00%;0.00%;9.09%;-1.67%;10.17%;23.08%;-0.00%;5.94%;15.04%;95.00%
2004;2.56%;0.00%;0.00%;0.00%;-7.50%;-2.70%;-8.67%;10.10%;4.97%;5.79%;4.48%;0.48%;8.21%
2005;-0.47%;4.76%;-4.55%;4.76%;-4.55%;11.90%;2.13%;-0.62%;-5.24%;-3.05%;-4.15%;-3.81%;-4.27%
2006;8.91%;3.18%;1.32%;4.35%;-0.04%;2.17%;2.45%;3.58%;-0.04%;5.77%;10.91%;6.20%;60.35%
2007;8.98%;38.81%;2.04%;-2.00%;-0.41%;51.23%;-20.73%;-9.40%;3.77%;12.73%;1.29%;1.89%;97.56%
2008;-14.05%;-9.09%;-24.98%;27.97%;4.17%;-10.00%;0.98%;-11.95%;-0.02%;-16.25%;-13.43%;3.10%;-53.27%
2009;14.08%;8.44%;-14.84%;0.00%;4.76%;-6.67%;26.62%;9.74%;4.67%;18.08%;9.26%;1.04%;95.32%
2010;19.85%;0.70%;3.58%;-0.34%;-5.29%;-4.21%;2.18%;3.05%;-1.45%;9.48%;3.69%;18.33%;57.53%
2011;-0.54%;-2.21%;4.94%;0.59%;-6.84%;5.13%;-5.84%;9.06%;-2.41%;2.46%;23.71%;-6.55%;19.35%
2012;18.42%;19.58%;-8.67%;-1.42%;-1.42%;8.70%;4.13%;-0.90%;16.09%;1.84%;33.88%;14.29%;155.01%
2013;1.79%;1.05%;6.42%;-7.01%;-10.53%;-15.69%;9.30%;10.64%;-2.61%;-13.55%;-0.87%;2.30%;-20.71%
2014;-12.16%;-7.69%;-6.12%;-13.01%;25.81%;12.45%;10.02%;-4.28%;0.91%;-9.50%;4.50%;2.88%;-3.15%
2015;-4.66%;3.41%;-5.89%;5.26%;-4.76%;7.00%;-7.84%;-3.15%;8.64%;2.33%;18.65%;15.10%;34.88%
2016;-2.76%;1.06%;5.25%;14.01%;-3.51%;30.00%;1.40%;8.05%;4.46%;2.45%;-7.95%;44.49%;130.69%
2017;-3.29%;-7.26%;4.00%;-7.05%;-4.31%;2.70%;0.18%;-13.31%;-9.09%;10.00%;-8.08%;-12.09%;-40.21%
2018;4.03%;5.48%;-8.86%;-2.50%;-2.82%;-3.70%;-6.85%;-14.41%;6.53%;8.06%;-5.97%;-1.59%;-22.50%
2019;16.13%;3.89%;4.81%;0.51%;1.27%;1.00%;-4.22%;1.04%;16.15%;2.68%;16.10%;9.07%;90.01%
2020;4.41%;30.08%;-14.91%;3.13%;0.64%;26.11%;-9.39%;-6.65%;-10.55%;-8.81%;7.61%;-1.13%;11.04%
2021;-1.51%;-12.44%;2.34%;2.70%;4.71%;3.38%;-10.24%;-11.25%;-13.20%;-12.17%;-1.92%;4.55%;-38.90%
2022;3.08%;-5.46%;9.94%;-18.92%;-0.35%;-16.83%;14.49%;12.57%;-4.85%;6.29%;-16.00%;-3.43%;-23.87%
2023;1.28%;1.07%;-7.13%;7.68%;12.14%;9.97%;3.20%;-7.34%;-4.41%;-9.66%;18.26%;6.88%;31.76%
2024;-6.66%;-1.84%;-1.23%;-7.11%;-4.90%;-9.46%;5.38%;3.24%;0.00%;0.00%;0.00%;0.00%;-21.26%
