;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2020;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-3.72%;-8.19%;-0.41%;32.96%;3.72%;21.40%
2021;11.80%;-10.42%;9.55%;-17.49%;25.33%;4.94%;10.10%;0.34%;-3.75%;-22.60%;-0.76%;-2.23%;-4.93%
2022;13.90%;-10.48%;17.41%;-20.73%;-6.13%;-18.87%;10.54%;33.04%;-1.55%;9.31%;-20.81%;-12.06%;-20.35%
2023;3.55%;-16.38%;-7.63%;3.58%;23.21%;15.94%;-6.33%;-33.36%;-11.21%;-20.45%;12.85%;24.79%;-26.53%
2024;6.31%;-11.62%;8.71%;-20.24%;-2.80%;4.07%;-3.26%;0.00%;0.00%;0.00%;0.00%;0.00%;-20.27%
