;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2007;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2008;0.80%;3.52%;6.48%;2.06%;-1.52%;-6.36%;5.15%;-16.15%;1.99%;-2.56%;0.00%;0.00%;-8.36%
2009;14.00%;-7.89%;11.79%;0.00%;-2.02%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;15.00%
2010;0.00%;0.00%;8.70%;0.00%;0.00%;-1.50%;-8.22%;10.73%;-0.10%;0.00%;5.00%;9.71%;25.22%
2011;0.00%;4.25%;-0.00%;41.55%;0.00%;0.00%;-11.76%;0.00%;0.13%;0.00%;0.87%;0.00%;31.51%
2012;8.91%;0.00%;0.00%;0.00%;-3.03%;0.00%;-2.19%;2.24%;-0.63%;0.00%;-5.66%;-31.60%;-32.28%
2013;-2.53%;-8.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;10.00%;0.00%;-1.36%
2014;0.00%;0.00%;-2.47%;0.00%;0.00%;0.00%;0.00%;0.00%;-17.93%;0.00%;0.00%;-2.47%;-21.94%
2015;-1.27%;1.28%;0.00%;0.13%;0.00%;0.00%;0.00%;0.00%;0.00%;-0.13%;0.00%;0.00%;0.00%
2016;0.00%;8.35%;0.00%;0.00%;25.12%;0.00%;0.00%;0.00%;0.00%;31.37%;0.28%;0.07%;78.73%
2017;0.00%;0.00%;-0.71%;0.00%;0.00%;0.00%;0.00%;0.00%;52.71%;0.00%;0.00%;0.00%;51.63%
2018;0.00%;0.00%;0.00%;-14.90%;0.00%;0.00%;-6.59%;0.00%;0.00%;-0.71%;-2.37%;-3.09%;-25.32%
2019;16.26%;-8.02%;0.00%;-6.02%;-2.92%;0.00%;12.24%;0.00%;0.00%;2.80%;0.00%;0.00%;12.57%
2020;16.67%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-20.14%;0.12%;4.23%;-5.03%;8.24%;-0.06%
2021;-11.56%;0.57%;-5.87%;2.59%;8.03%;43.80%;-0.42%;-26.78%;-8.46%;6.12%;-10.00%;-0.39%;-15.29%
2022;0.07%;18.03%;5.56%;-4.21%;18.13%;-11.16%;14.97%;-7.51%;13.20%;-17.36%;7.89%;-5.85%;26.64%
2023;26.94%;-1.80%;-0.50%;6.56%;1.10%;0.74%;13.55%;0.00%;0.00%;-14.85%;11.46%;0.00%;45.08%
2024;0.00%;0.46%;-14.68%;8.33%;-11.54%;0.00%;-12.74%;-24.76%;0.00%;0.00%;0.00%;0.00%;-46.07%
