;Acao;Data;Hora;Descrição;Link
53;GGBR3;26/04/2019;08:36;Emissão de Debêntures;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=682264&descTipo=IPE&CodigoInstituicao=1
54;GGBR3;12/12/2018;20:20;Aquisição de Ações de Emissão da Própria Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=656690&descTipo=IPE&CodigoInstituicao=1
55;GGBR3;07/12/2018;09:30;Aquisição de Ações de Emissão da Própria Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=654961&descTipo=IPE&CodigoInstituicao=1
56;GGBR3;07/12/2018;08:30;Aquisição de Ações de Emissão da Própria Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=654940&descTipo=IPE&CodigoInstituicao=1
57;GGBR3;30/11/2018;08:28;Resultado da oferta de recompra à vista de Bonds;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=653792&descTipo=IPE&CodigoInstituicao=1
58;GGBR3;15/11/2018;11:02;Oferta de recompra de bonds;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=652020&descTipo=IPE&CodigoInstituicao=1
59;GGBR3;12/11/2018;08:52;15ª Emissão de Debêntures;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=650976&descTipo=IPE&CodigoInstituicao=1
60;GGBR3;05/11/2018;09:04;Conclusão de Ativos Vergalhão EUA;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=648683&descTipo=IPE&CodigoInstituicao=1
61;GGBR3;01/11/2018;08:31;Conclusão Venda Índia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=648472&descTipo=IPE&CodigoInstituicao=1
62;GGBR3;14/09/2018;17:13;Aprovação Juntos Somos+;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=641887&descTipo=IPE&CodigoInstituicao=1
63;GGBR3;27/08/2018;08:42;Venda de Ativos na Índia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=639214&descTipo=IPE&CodigoInstituicao=1
64;GGBR3;31/07/2018;17:09;Conclusão Venda Hidrelétricas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=634671&descTipo=IPE&CodigoInstituicao=1
65;GGBR3;29/06/2018;17:32;Comunicado Venda Chile;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=630705&descTipo=IPE&CodigoInstituicao=1
66;GGBR3;13/06/2018;09:14;Decisão TRF;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=628798&descTipo=IPE&CodigoInstituicao=1
67;GGBR3;30/05/2018;17:06;Aprovação da Procuradoria do Chile;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=626255&descTipo=IPE&CodigoInstituicao=1
68;GGBR3;28/05/2018;18:22;Comunicado Greve dos Caminhoneiros;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=625890&descTipo=IPE&CodigoInstituicao=1
69;GGBR3;24/04/2018;11:35;Novo CEO América do Norte;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=612279&descTipo=IPE&CodigoInstituicao=1
70;GGBR3;11/04/2018;08:39;Juntos Somos +;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=609214&descTipo=IPE&CodigoInstituicao=1
71;GGBR3;06/04/2018;08:45;AVISO AOS ACIONISTAS;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=607086&descTipo=IPE&CodigoInstituicao=1
72;GGBR3;02/04/2018;08:29;Venda de Beaumont;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=605757&descTipo=IPE&CodigoInstituicao=1
73;GGBR3;14/02/2018;20:18;Venda de hidrelétricas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=596790&descTipo=IPE&CodigoInstituicao=1
74;GGBR3;31/01/2018;08:31;Venda de Ativo;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=594828&descTipo=IPE&CodigoInstituicao=1
75;GGBR3;23/01/2018;19:19;Mudança de liderança na América do Norte;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=594355&descTipo=IPE&CodigoInstituicao=1
76;GGBR3;09/01/2018;08:43;Aquisição de Ações de Emissão da Própria Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=592644&descTipo=IPE&CodigoInstituicao=1
77;GGBR3;02/01/2018;09:42;Venda de Ativo;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=591940&descTipo=IPE&CodigoInstituicao=1
78;GGBR3;19/10/2017;09:00;Resultado da Oferta de Recompra de Bonds;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=583066&descTipo=IPE&CodigoInstituicao=1
79;GGBR3;13/10/2017;17:11;Aditamento da recompra de Bonds;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=582721&descTipo=IPE&CodigoInstituicao=1
80;GGBR3;13/10/2017;09:11;GERDAU S.A. ANUNCIA EMISSÃO DE BONDS A 4,875% E VENCIMENTO EM 2027;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=582681&descTipo=IPE&CodigoInstituicao=1
81;GGBR3;04/10/2017;17:18;Venda Operação Chile;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=581309&descTipo=IPE&CodigoInstituicao=1
82;GGBR3;04/10/2017;08:52;Oferta recompra à vista de Bonds com vencimento em 2020 e juros de 7,000%, com vencimento em 2021 e juros de 5,750% e com vencimento em 2024 com juros de 5,893%, no valor total de até US$500 milhões;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=581211&descTipo=IPE&CodigoInstituicao=1
83;GGBR3;24/08/2017;08:55;Anúncio de Governança;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=576868&descTipo=IPE&CodigoInstituicao=1
84;GGBR3;22/08/2017;17:07;Resultado Leilão OPA;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=576699&descTipo=IPE&CodigoInstituicao=1
85;GGBR3;20/07/2017;17:12;Registro de Oferta Pública de Ações (OPA);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=572166&descTipo=IPE&CodigoInstituicao=1
86;GGBR3;20/07/2017;09:00;Registro de Oferta Pública de Ações (OPA);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=572114&descTipo=IPE&CodigoInstituicao=1
87;GGBR3;30/06/2017;17:20;Criação de Joint Venture na Colômbia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=569706&descTipo=IPE&CodigoInstituicao=1
88;GGBR3;22/05/2017;17:04;Protocolo das versões revisadas dos documentos relacionados a OPA;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=565597&descTipo=IPE&CodigoInstituicao=1
89;GGBR3;29/03/2017;08:41;Joint Venture na Colômbia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=554778&descTipo=IPE&CodigoInstituicao=1
90;GGBR3;22/03/2017;17:30;Primeiro protocolo da OPA;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=553200&descTipo=IPE&CodigoInstituicao=1
91;GGBR3;08/03/2017;09:00;Contrato de permuta de ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=550576&descTipo=IPE&CodigoInstituicao=1
92;GGBR3;13/01/2017;09:23;Data da Assembleia Geral Ordinária e Extraordinária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=545038&descTipo=IPE&CodigoInstituicao=1
93;GGBR3;09/08/2016;17:41;Aquisição de Ações de Emissão da Própria Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=526731&descTipo=IPE&CodigoInstituicao=1
94;GGBR3;13/07/2016;15:59;Decisão CARF;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=523978&descTipo=IPE&CodigoInstituicao=1
95;GGBR3;23/06/2016;09:50;Gerdau conclui venda da operação na Espanha;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=521563&descTipo=IPE&CodigoInstituicao=1
96;GGBR3;10/06/2016;18:42;Continuação Oficio 177/2016;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=520587&descTipo=IPE&CodigoInstituicao=1
97;GGBR3;20/05/2016;09:47;Venda Operação Espanha;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=518042&descTipo=IPE&CodigoInstituicao=1
98;GGBR3;18/05/2016;18:35;Esclarecimento Zelotes;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=517913&descTipo=IPE&CodigoInstituicao=1
99;GGBR3;29/04/2016;17:45;Transferência de ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=513913&descTipo=IPE&CodigoInstituicao=1
