Acao;Data;Hora;Descrição;Link
IFCM3;27/07/2026;23:05;Celebração de Instrumento de Cessão de Direitos Creditórios;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1548562&descTipo=IPE&CodigoInstituicao=1
IFCM3;29/06/2026;18:36;Término do Prazo para Livre Ajuste de Posições Acionárias;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1539625&descTipo=IPE&CodigoInstituicao=1
IFCM3;28/05/2026;22:16;Aprovação da Redução de Capital Social e Grupamento de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1528243&descTipo=IPE&CodigoInstituicao=1
IFCM3;06/05/2026;19:42;Proposta de Redução do Capital Social e Grupamento de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1517219&descTipo=IPE&CodigoInstituicao=1
IFCM3;30/04/2026;23:28;Divulgação de Resultados 4T25;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1514417&descTipo=IPE&CodigoInstituicao=1
IFCM3;29/04/2026;22:20;Homologação de Aumento de Capital;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1511718&descTipo=IPE&CodigoInstituicao=1
IFCM3;10/04/2026;19:49;Aumento de Capital Privado;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1504094&descTipo=IPE&CodigoInstituicao=1
IFCM3;30/03/2026;18:43;Adiamento da Divulgação das Demonstrações Financeiras de 2025;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1498121&descTipo=IPE&CodigoInstituicao=1
IFCM3;30/03/2026;18:21;Alteração do canal de publicação;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1498088&descTipo=IPE&CodigoInstituicao=1
IFCM3;20/03/2026;20:23;Aumento de Capital Privado;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1493327&descTipo=IPE&CodigoInstituicao=1
