Acao;Data;Hora;Descrição;Link
CEEB3;26/11/2025;18:46;Pagamento JSCP 3T25;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1450174&descTipo=IPE&CodigoInstituicao=1
CEEB3;26/11/2025;18:24;Pagamento de Dividendos ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1450164&descTipo=IPE&CodigoInstituicao=1
CEEB3;31/10/2025;18:58;Pagamento Juros sobre Capital Próprio 1T25 e 2T25;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1438384&descTipo=IPE&CodigoInstituicao=1
CEEB3;24/10/2025;18:52;Dividendos Intermediários 3T2025;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1435678&descTipo=IPE&CodigoInstituicao=1
CEEB3;29/09/2025;18:37;JSCP 3T2025;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1427558&descTipo=IPE&CodigoInstituicao=1
CEEB3;15/07/2025;20:37;Contrato de Financiamento com o Banco Europeu de Investimentos (BEI);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1401129&descTipo=IPE&CodigoInstituicao=1
CEEB3;27/06/2025;19:26;JSCP - 2T25;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1395082&descTipo=IPE&CodigoInstituicao=1
CEEB3;19/05/2025;18:25;Pagamento JSCP 4T24;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1380517&descTipo=IPE&CodigoInstituicao=1
CEEB3;15/04/2025;19:08;Reajuste Tarifário Neoenergia Coelba 2025;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1361811&descTipo=IPE&CodigoInstituicao=1
CEEB3;10/04/2025;17:35;Dividendos AGO ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1360071&descTipo=IPE&CodigoInstituicao=1
CEEB3;27/03/2025;18:38;JSCP ? 1º Trimestre/2025;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1352785&descTipo=IPE&CodigoInstituicao=1
