Acao;Data;Hora;Descrição;Link
GGBR4;20/07/2026;18:45;Closing Aquisição de Participação Acionária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1546384&descTipo=IPE&CodigoInstituicao=1
GGBR4;02/07/2026;18:27;Fitch revisa perspectiva de rating para positiva;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1541298&descTipo=IPE&CodigoInstituicao=1
GGBR4;15/06/2026;18:10;Proposta Vinculante para Aquisição de Participação Acionária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1534700&descTipo=IPE&CodigoInstituicao=1
GGBR4;27/04/2026;18:49;Cancelamento de ações em tesouraria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1509331&descTipo=IPE&CodigoInstituicao=1
GGBR4;27/04/2026;18:49;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1509334&descTipo=IPE&CodigoInstituicao=1
GGBR4;16/04/2026;17:43;Proposta Vinculante para Aquisição de Participação Acionária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1505758&descTipo=IPE&CodigoInstituicao=1
GGBR4;01/04/2026;18:04;Reapresentação Proposta da Administração AGOE 2026;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1500057&descTipo=IPE&CodigoInstituicao=1
GGBR4;26/03/2026;17:44;Indicação de candidato ao Conselho Fiscal;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1495806&descTipo=IPE&CodigoInstituicao=1
GGBR4;23/02/2026;18:19;Aquisição de Ações de Emissão da Própria Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1480641&descTipo=IPE&CodigoInstituicao=1
GGBR4;23/02/2026;18:19;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1480643&descTipo=IPE&CodigoInstituicao=1
GGBR4;19/12/2025;18:14;Conclusão Programa de Recompra de Ações 2025;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1459598&descTipo=IPE&CodigoInstituicao=1
GGBR4;02/12/2025;18:08;Make-Whole Bond 2030;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1451919&descTipo=IPE&CodigoInstituicao=1
GGBR4;30/10/2025;18:13;Cancelamento de ações em tesouraria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1437732&descTipo=IPE&CodigoInstituicao=1
GGBR4;30/10/2025;18:13;Make-Whole Bond 2030;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1437737&descTipo=IPE&CodigoInstituicao=1
