Acao;Data;Hora;Descrição;Link
RAIZ4;23/07/2026;20:16;Mudança no Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1547591&descTipo=IPE&CodigoInstituicao=1
RAIZ4;20/07/2026;08:40;Venda da Usina Caarapó no Mato Grosso do Sul;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1546142&descTipo=IPE&CodigoInstituicao=1
RAIZ4;17/07/2026;18:09;Prorrogação de prazo para reenquadramento da cotação das ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1545987&descTipo=IPE&CodigoInstituicao=1
RAIZ4;12/06/2026;09:08;Atualização sobre adesão ao Plano de Recuperação Extrajudicial;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1533941&descTipo=IPE&CodigoInstituicao=1
RAIZ4;06/06/2026;00:47;Protocolo do Plano de Recuperação Extrajudicial;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1531476&descTipo=IPE&CodigoInstituicao=1
RAIZ4;04/06/2026;09:00;Desinvestimento das Operações na Argentina;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1530675&descTipo=IPE&CodigoInstituicao=1
RAIZ4;03/06/2026;07:20;Minuta do Plano de Recuperação Extrajudicial;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1530077&descTipo=IPE&CodigoInstituicao=1
RAIZ4;29/05/2026;20:05;Prorrogação de prazo para reenquadramento da cotação das ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1528911&descTipo=IPE&CodigoInstituicao=1
RAIZ4;27/05/2026;20:36;Material Blowout;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1527632&descTipo=IPE&CodigoInstituicao=1
RAIZ4;30/03/2026;18:21;Mudança no Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1498067&descTipo=IPE&CodigoInstituicao=1
RAIZ4;18/03/2026;18:42;Atualização Rating Moodys;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1492077&descTipo=IPE&CodigoInstituicao=1
RAIZ4;12/03/2026;21:32;Deferimento do Processo de Recuperação Extrajudicial;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1489894&descTipo=IPE&CodigoInstituicao=1
RAIZ4;12/03/2026;19:31; Atualização Ratings Fitch;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1489819&descTipo=IPE&CodigoInstituicao=1
RAIZ4;11/03/2026;19:19;Atualização Ratings S&P;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1489171&descTipo=IPE&CodigoInstituicao=1
RAIZ4;11/03/2026;07:35;Pedido de Recuperação Extrajudicial;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1488695&descTipo=IPE&CodigoInstituicao=1
RAIZ4;10/03/2026;19:40;Atualização Rating Moody?s;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1488472&descTipo=IPE&CodigoInstituicao=1
RAIZ4;05/03/2026;18:51;Atualização Rating S&P Global;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1486124&descTipo=IPE&CodigoInstituicao=1
RAIZ4;04/03/2026;19:56;Fato relevante;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1485599&descTipo=IPE&CodigoInstituicao=1
RAIZ4;13/02/2026;00:06;Alienação de participação acionária relevante;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1477394&descTipo=IPE&CodigoInstituicao=1
RAIZ4;10/02/2026;22:47;Atualização Moodys Local Brasil;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1476201&descTipo=IPE&CodigoInstituicao=1
RAIZ4;09/02/2026;23:19;Atualizações Ratings;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1475307&descTipo=IPE&CodigoInstituicao=1
RAIZ4;09/02/2026;20:56;Fato relevante;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1475255&descTipo=IPE&CodigoInstituicao=1
RAIZ4;09/02/2026;09:23;Fato relevante;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1474752&descTipo=IPE&CodigoInstituicao=1
RAIZ4;04/02/2026;09:07;Renúncia de Membro do Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1472891&descTipo=IPE&CodigoInstituicao=1
RAIZ4;30/01/2026;19:29;Mudança no Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1471762&descTipo=IPE&CodigoInstituicao=1
RAIZ4;28/01/2026;19:49;Prévia Operacional do 3T do ano-safra 2025/26;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1470861&descTipo=IPE&CodigoInstituicao=1
RAIZ4;16/12/2025;18:44; Atualização Rating Nacional S&P;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1458132&descTipo=IPE&CodigoInstituicao=1
RAIZ4;15/12/2025;19:49;Atualização Rating Global S&P;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1457658&descTipo=IPE&CodigoInstituicao=1
