Acao;Data;Hora;Descrição;Link
MLAS3;23/06/2026;08:35;Aprovação de Programa de Recompra de ações de emissão da Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1537274&descTipo=IPE&CodigoInstituicao=1
MLAS3;17/06/2026;20:13;Parceria de distribuição exclusiva de linha de purificadores e bebedouros Philips  no Brasil;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1535842&descTipo=IPE&CodigoInstituicao=1
MLAS3;25/03/2026;23:35;Convocação de Assembleia Geral Extraordinária para deliberação sobre Incorporação da Lojas Multilaser Comércio Varejista LTDA;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1495354&descTipo=IPE&CodigoInstituicao=1
MLAS3;18/02/2026;20:54;Eleição de Diretor;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1479081&descTipo=IPE&CodigoInstituicao=1
MLAS3;22/01/2026;18:37;Parceria de distribuição exclusiva de produtos da marca Sennheiser no Brasil;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1469316&descTipo=IPE&CodigoInstituicao=1
MLAS3;29/12/2025;09:03;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1461656&descTipo=IPE&CodigoInstituicao=1
MLAS3;17/12/2025;18:56;Alterações no Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1458661&descTipo=IPE&CodigoInstituicao=1
MLAS3;25/11/2025;09:24;Conclusão da Venda da Unidade de Negócio Pet;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1449057&descTipo=IPE&CodigoInstituicao=1
MLAS3;13/11/2025;19:28;Grupo Multilaser anuncia mudanças na Administração ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1444955&descTipo=IPE&CodigoInstituicao=1
MLAS3;13/11/2025;19:28;Encerramento do Programa de Recompra de ações de emissão da Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1444958&descTipo=IPE&CodigoInstituicao=1
MLAS3;03/11/2025;19:51;Renúncia do Diretor Financeiro e de Relações com Investidores;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1439013&descTipo=IPE&CodigoInstituicao=1
MLAS3;16/10/2025;09:00;Decisão adversa do CARF;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1433151&descTipo=IPE&CodigoInstituicao=1
MLAS3;07/10/2025;18:34;Captação de recursos junto ao BNDES;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1430423&descTipo=IPE&CodigoInstituicao=1
MLAS3;06/10/2025;08:50;Venda da Unidade de Negócio Pet;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1429681&descTipo=IPE&CodigoInstituicao=1
MLAS3;09/09/2025;09:40;Parceria exclusiva de distribuição dos produtos da marca Cuisinart no Brasil;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1421483&descTipo=IPE&CodigoInstituicao=1
MLAS3;12/08/2025;18:22;Nova Marca Corporativa;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1412139&descTipo=IPE&CodigoInstituicao=1
MLAS3;07/05/2025;22:37;Cisão Giga;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1373829&descTipo=IPE&CodigoInstituicao=1
MLAS3;28/04/2025;20:05;Substituição dos Auditores Independentes;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1366716&descTipo=IPE&CodigoInstituicao=1
MLAS3;02/04/2025;18:55;Alteração de Diretor de Relações com Investidores;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1356994&descTipo=IPE&CodigoInstituicao=1
MLAS3;10/03/2025;11:23;Grupo Multi anuncia mudanças na administração (CEO e CFO);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1344357&descTipo=IPE&CodigoInstituicao=1
MLAS3;10/03/2025;09:00;Grupo Multi anuncia mudanças na administração (CEO e CFO);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1344220&descTipo=IPE&CodigoInstituicao=1
MLAS3;14/11/2024;08:16;Parceria para montagem de motocicletas a combustão em Manaus;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1303955&descTipo=IPE&CodigoInstituicao=1
MLAS3;26/09/2024;09:55;Parceria Exclusiva de Distribuição dos Produtos Chicco no Brasil;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1285407&descTipo=IPE&CodigoInstituicao=1
MLAS3;23/09/2024;20:08;Alteração na composição de órgãos da administração da Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1284525&descTipo=IPE&CodigoInstituicao=1
MLAS3;30/08/2024;08:55;Parceria para a distribuição exclusiva de produtos da Precor no Brasil;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1277192&descTipo=IPE&CodigoInstituicao=1
MLAS3;14/05/2024;20:41;Aprovação de Programa de Recompra de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1238257&descTipo=IPE&CodigoInstituicao=1
MLAS3;08/05/2024;09:46;Parceria exclusiva para a produção e distribuição de produtos OPPO no Brasil / Exclusive partnership for the production and distribution of OPPO products in Brazil;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1234377&descTipo=IPE&CodigoInstituicao=1
MLAS3;26/04/2024;19:18;Substituição de Auditor Independente;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1227472&descTipo=IPE&CodigoInstituicao=1
MLAS3;09/02/2024;19:45;Alterações na composição do Conselho de Administração, da Diretoria e do Comitê de Auditoria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1192613&descTipo=IPE&CodigoInstituicao=1
MLAS3;02/01/2024;19:29;Alteração de Diretor de Relações com Investidores;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1179390&descTipo=IPE&CodigoInstituicao=1
MLAS3;22/12/2023;20:46;Fitch rebaixa Rating Nacional de Longo Prazo para A- com perspectiva Negativa;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1177119&descTipo=IPE&CodigoInstituicao=1
MLAS3;19/12/2023;08:59;Renúncia de cargo do Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1175176&descTipo=IPE&CodigoInstituicao=1
MLAS3;08/12/2023;18:42;Troca de Escriturador;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1171348&descTipo=IPE&CodigoInstituicao=1
MLAS3;10/11/2023;22:38;Fiscalização Anatel;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1161454&descTipo=IPE&CodigoInstituicao=1
MLAS3;05/07/2023;23:42;Cancelamento e reconvocação de AGE;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1119925&descTipo=IPE&CodigoInstituicao=1
MLAS3;21/06/2023;18:09;Data Prevista para a Assembleia Geral Extraordinária 2023;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1115468&descTipo=IPE&CodigoInstituicao=1
MLAS3;19/06/2023;09:52;Parceria Razer;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1114543&descTipo=IPE&CodigoInstituicao=1
MLAS3;28/04/2023;16:42;Alteração do jornal de grande circulação;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1092838&descTipo=IPE&CodigoInstituicao=1
MLAS3;20/04/2023;18:47;Multi realiza aporte de R$20 milhões na plataforma ZiYou;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1088327&descTipo=IPE&CodigoInstituicao=1
MLAS3;18/04/2023;18:00;Multi realiza aporte de R$20 milhões na plataforma ZiYou;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1087278&descTipo=IPE&CodigoInstituicao=1
MLAS3;17/04/2023;19:49;Retirada da pauta da AGE de 28 de abril de 2023 das matérias relacionadas às incorporações das subsidiárias da Companhia.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1086984&descTipo=IPE&CodigoInstituicao=1
MLAS3;04/04/2023;22:10;Fitch rebaixa Rating Nacional de Longo Prazo para A+ com perspectiva Negativa;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1082729&descTipo=IPE&CodigoInstituicao=1
MLAS3;06/02/2023;20:35;Nomeação de Membro do Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1055898&descTipo=IPE&CodigoInstituicao=1
MLAS3;06/02/2023;20:24;Eleição de Membro do Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1055894&descTipo=IPE&CodigoInstituicao=1
MLAS3;20/01/2023;09:07;Multi é uma das escolhidas como fornecedora da Siga Antenado (EAF) na segunda fase da migração das parabólicas para Banda Ku;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1050943&descTipo=IPE&CodigoInstituicao=1
MLAS3;02/01/2023;18:43;Reestruturação da Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1046086&descTipo=IPE&CodigoInstituicao=1
MLAS3;30/11/2022;20:55;Rescisão de Acordo de Acionistas, Alteração no Controle Societário e Renúncia de Membros do Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1037081&descTipo=IPE&CodigoInstituicao=1
MLAS3;10/11/2022;19:40;Modificação de Projeções Divulgadas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1031420&descTipo=IPE&CodigoInstituicao=1
MLAS3;18/08/2022;18:32;Participação em Live;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1009332&descTipo=IPE&CodigoInstituicao=1
MLAS3;29/07/2022;18:45;Publicação do Relatório Anual de Sustentabilidade;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1001794&descTipo=IPE&CodigoInstituicao=1
MLAS3;19/07/2022;18:46;Participação em Evento ao vivo;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998984&descTipo=IPE&CodigoInstituicao=1
MLAS3;10/06/2022;09:08;Watts e E-moving fecham acordo para locação de motos elétricas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=989600&descTipo=IPE&CodigoInstituicao=1
