Acao;Data;Hora;Descrição;Link
CMIN3;27/07/2026;09:09;CMIN - Anexo G - Aditamento do Recompra de Ações 2026 ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1548071&descTipo=IPE&CodigoInstituicao=1
CMIN3;27/07/2026;09:09;Aditamento do Programa de Recompra 2026;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1548073&descTipo=IPE&CodigoInstituicao=1
CMIN3;20/05/2026;08:56;Comunicado ao mercado - Anexo G - Programa de Recompra de Ações 2026 - Resolução CVM 80/2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1524853&descTipo=IPE&CodigoInstituicao=1
CMIN3;20/05/2026;08:56;Programa de Recompra de Ações 2026;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1524854&descTipo=IPE&CodigoInstituicao=1
CMIN3;13/05/2026;21:28;1T26 Desempenho ESG;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1521694&descTipo=IPE&CodigoInstituicao=1
CMIN3;16/04/2026;18:49;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1505850&descTipo=IPE&CodigoInstituicao=1
CMIN3;27/03/2026;19:13;Cancelamento de ações de tesouraria e encerramento do Programa de Alienação de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1497353&descTipo=IPE&CodigoInstituicao=1
CMIN3;11/03/2026;22:48;Release ESG 4T2025 e 2025;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1489303&descTipo=IPE&CodigoInstituicao=1
CMIN3;11/03/2026;22:48;Alteracao e inclusao de projecao;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1489307&descTipo=IPE&CodigoInstituicao=1
CMIN3;31/12/2025;10:44;Conclusão da Aquisição Adicional das Ações da MRS Logística S.A.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1462847&descTipo=IPE&CodigoInstituicao=1
CMIN3;26/12/2025;19:38;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1461612&descTipo=IPE&CodigoInstituicao=1
