;Acao;Data;Hora;Descrição;Link
0;KEPL3;26/08/2025;18:25;PROGRAMA DE RECOMPRA DE AÇÕES;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1417217&descTipo=IPE&CodigoInstituicao=1
1;KEPL3;07/08/2025;19:01;Participação de executivos da Companhia em entrevistas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1409951&descTipo=IPE&CodigoInstituicao=1
2;KEPL3;06/08/2025;18:16;Conclusão da Aquisição de Ações Ordinárias da Procer;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1408916&descTipo=IPE&CodigoInstituicao=1
3;KEPL3;14/07/2025;18:26;Esclarecimento sobre Matéria veiculada na Mídia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1400729&descTipo=IPE&CodigoInstituicao=1
4;KEPL3;03/06/2025;18:29;Resposta ao Ofício nº 105/2025/CVM/SEP/GEA-2;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1386366&descTipo=IPE&CodigoInstituicao=1
5;KEPL3;06/05/2025;18:12;Participação de executivos da Companhia em evento ?ON LINE?;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1372756&descTipo=IPE&CodigoInstituicao=1
6;KEPL3;30/10/2024;19:19;Eleição de Diretor Financeiro e de Relações com Investidores;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1296228&descTipo=IPE&CodigoInstituicao=1
7;KEPL3;26/09/2024;18:10;Encerramento do Programa de ADR nível 1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1285555&descTipo=IPE&CodigoInstituicao=1
8;KEPL3;31/07/2024;19:03;Evento com participação da Diretoria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1264934&descTipo=IPE&CodigoInstituicao=1
9;KEPL3;19/06/2024;18:21;Encerramento do Programa de ADR nível 1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1251777&descTipo=IPE&CodigoInstituicao=1
10;KEPL3;12/06/2024;18:36;RENÚNCIA DO DIRETOR FINANCEIRO E RELAÇÕES COM INVESTIDORES;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1249424&descTipo=IPE&CodigoInstituicao=1
11;KEPL3;09/05/2024;18:02;Loan Agreement com a International Finance Corporation;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1235633&descTipo=IPE&CodigoInstituicao=1
12;KEPL3;05/04/2024;18:12;Plano Sucessório;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1218767&descTipo=IPE&CodigoInstituicao=1
13;KEPL3;03/04/2024;18:10;Plano Sucessório;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1217702&descTipo=IPE&CodigoInstituicao=1
14;KEPL3;28/03/2024;17:53;Encerramento do programa de recompra de ações de emissão da Companhia e novo programa recompra de ações ordinárias de emissão da Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1214586&descTipo=IPE&CodigoInstituicao=1
15;KEPL3;26/03/2024;17:51;Participação de executivos da Companhia em evento ?ONLINE? sobre Plano de Sucessão da Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1212632&descTipo=IPE&CodigoInstituicao=1
16;KEPL3;25/03/2024;08:51;Encerramento do programa de recompra de ações de emissão da Companhia e novo programa recompra de ações ordinárias de emissão da Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1211566&descTipo=IPE&CodigoInstituicao=1
17;KEPL3;20/02/2024;19:20;Início da Negociação de ADRs Nível I;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1196710&descTipo=IPE&CodigoInstituicao=1
18;KEPL3;17/01/2024;18:16;Aprovação do Programa de American Depositary Receipts (?ADRs?);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1184133&descTipo=IPE&CodigoInstituicao=1
19;KEPL3;22/12/2023;18:34;Instalação de Novos Comitês;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1177001&descTipo=IPE&CodigoInstituicao=1
20;KEPL3;06/11/2023;18:32;Aprovação da abertura de novo centro de distribuição na Bahia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1158252&descTipo=IPE&CodigoInstituicao=1
21;KEPL3;03/08/2023;10:37;Evento Kepler Day 2023 (Reunião online e presencial);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1128516&descTipo=IPE&CodigoInstituicao=1
22;KEPL3;25/07/2023;18:21;Aprovação da abertura de Novo Centro de Distribuição no Mato Grosso ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1125129&descTipo=IPE&CodigoInstituicao=1
23;KEPL3;20/07/2023;18:28;Deferimento da Migração para o Novo Mercado;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1124150&descTipo=IPE&CodigoInstituicao=1
24;KEPL3;23/06/2023;18:22;Eleição do Diretor Industrial e Produto ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1116242&descTipo=IPE&CodigoInstituicao=1
25;KEPL3;25/05/2023;18:15;Estruturação de Programa de American Depositary Receipts;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1106353&descTipo=IPE&CodigoInstituicao=1
26;KEPL3;11/04/2023;19:21;"Participação de Executivos da Companhia em evento ""On Line"" | Trígono Capital";https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1085247&descTipo=IPE&CodigoInstituicao=1
27;KEPL3;03/04/2023;17:12;Desdobramento da totalidade das ações da Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1081876&descTipo=IPE&CodigoInstituicao=1
28;KEPL3;23/03/2023;18:18;Aquisição de Ações de Emissão da Própria Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1076315&descTipo=IPE&CodigoInstituicao=1
29;KEPL3;09/03/2023;19:54;COMPANHIA ANUNCIA EFETIVAÇÃO DA COMPRA DE 50% MAIS UMA AÇÃO DA PROCER, IMPORTANTE PLAYER DE TECNOLOGIA PARA ARMAZENAGEM DE GRÃOS;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1071033&descTipo=IPE&CodigoInstituicao=1
