Acao;Data;Hora;Descrição;Link
WIZC3;17/07/2026;17:25;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1545976&descTipo=IPE&CodigoInstituicao=1
WIZC3;01/07/2026;17:42;Participação de CEO em programa ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1540599&descTipo=IPE&CodigoInstituicao=1
WIZC3;29/05/2026;09:16;Comunicado - Nova parceria Parana;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1528303&descTipo=IPE&CodigoInstituicao=1
WIZC3;07/05/2026;18:48;Participação de executivo em live;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1518199&descTipo=IPE&CodigoInstituicao=1
WIZC3;28/04/2026;15:10;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1509762&descTipo=IPE&CodigoInstituicao=1
WIZC3;18/03/2026;19:15;Mudanças na Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1492147&descTipo=IPE&CodigoInstituicao=1
WIZC3;26/12/2025;15:03;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1461505&descTipo=IPE&CodigoInstituicao=1
WIZC3;10/11/2025;18:19;Manual de Controles Internos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1442813&descTipo=IPE&CodigoInstituicao=1
WIZC3;10/11/2025;18:08;Política de Apuração de Denúncias;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1442786&descTipo=IPE&CodigoInstituicao=1
WIZC3;10/11/2025;18:08;Política de Gestão de Riscos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1442792&descTipo=IPE&CodigoInstituicao=1
WIZC3;10/11/2025;18:08;Política de Prevenção e Combate à Fraude e Corrupção;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1442800&descTipo=IPE&CodigoInstituicao=1
WIZC3;10/11/2025;18:08;Regimento de Auditoria Interna 2025;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1442809&descTipo=IPE&CodigoInstituicao=1
WIZC3;31/10/2025;17:19;Comunicação de alienação Wiz Concept Soluções;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1438180&descTipo=IPE&CodigoInstituicao=1
WIZC3;31/10/2025;17:19;Comunicação de contrato de aquisição Promo serviços;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1438181&descTipo=IPE&CodigoInstituicao=1
WIZC3;29/09/2025;17:53;Wiz Co - Comunicado ao Mercado - Parceria Banrisul;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1427523&descTipo=IPE&CodigoInstituicao=1
WIZC3;21/08/2025;17:25;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1415916&descTipo=IPE&CodigoInstituicao=1
WIZC3;03/07/2025;18:04;Alteração de Formador de Mercado;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1397659&descTipo=IPE&CodigoInstituicao=1
