Acao;Data;Hora;Descrição;Link
PRNR3;06/07/2026;18:20;Prévia Operacional 2T26;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1542135&descTipo=IPE&CodigoInstituicao=1
PRNR3;28/05/2026;19:53;Comunicado ao Mercado de Alteração de Cronograma da 4ª Oferta Pública de Debêntures;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1528203&descTipo=IPE&CodigoInstituicao=1
PRNR3;21/05/2026;20:19;EMISSÃO DE DEBÊNTURES SIMPLES, NÃO CONVERSÍVEIS EM AÇÕES, DA ESPÉCIE COM GARANTIA REAL, COM GARANTIA FIDEJUSSÓRIA ADICIONAL, EM SÉRIE ÚNICA, PARA DISTRIBUIÇÃO PÚBLICA;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1525782&descTipo=IPE&CodigoInstituicao=1
PRNR3;15/04/2026;21:33;Debêntures - Alteração de Cronograma;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1505422&descTipo=IPE&CodigoInstituicao=1
PRNR3;14/04/2026;18:47;Priner comunica aquisição incremental, sem alteração de controle, de 49% da gmaia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1504883&descTipo=IPE&CodigoInstituicao=1
PRNR3;09/04/2026;22:55;3ª Emissão de Debêntures;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1503323&descTipo=IPE&CodigoInstituicao=1
PRNR3;07/04/2026;19:24;Prévia Operacional 1T26;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1502180&descTipo=IPE&CodigoInstituicao=1
PRNR3;06/04/2026;18:17;Prévia Operacional 1T26;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1501504&descTipo=IPE&CodigoInstituicao=1
PRNR3;12/01/2026;09:40;Priner comunica alteração de CFO e DRI;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1466172&descTipo=IPE&CodigoInstituicao=1
PRNR3;09/01/2026;19:08;Prévia Operacional 4T25;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1465971&descTipo=IPE&CodigoInstituicao=1
PRNR3;18/10/2025;06:39;Priner anuncia conclusão da operação de 60% do capital social da SEMEP Logística e Construção S.A.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1433910&descTipo=IPE&CodigoInstituicao=1
PRNR3;07/10/2025;20:13;Prévia Operacional 3T25;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1430483&descTipo=IPE&CodigoInstituicao=1
PRNR3;19/09/2025;14:58;Webinar para esclarecimentos sobre a aquisição da SEMEP Logística e Construção Ltda.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1424993&descTipo=IPE&CodigoInstituicao=1
PRNR3;19/09/2025;09:17;Priner anuncia a celebração de contrato de compra e venda para aquisição de 60% do capital social da SEMEP Logística e Construção Ltda.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1424916&descTipo=IPE&CodigoInstituicao=1
PRNR3;01/09/2025;18:42;Resultado do Leilão das Sobras e Homologação do Aumento de Capital Privado;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1418899&descTipo=IPE&CodigoInstituicao=1
PRNR3;28/08/2025;18:16;Resultado do Rateio e Leilão das Sobras do Aumento de Capital;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1418105&descTipo=IPE&CodigoInstituicao=1
PRNR3;08/08/2025;08:57;Resultado do Exercício de Preferência e Abertura de Prazo para Subscrição de Sobras;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1410173&descTipo=IPE&CodigoInstituicao=1
PRNR3;01/08/2025;12:30;Lembrete aos Acionistas ? Prazos do Direito de Preferência;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1406642&descTipo=IPE&CodigoInstituicao=1
PRNR3;29/07/2025;19:58;Priner comunica celebração de term sheet não vinculante;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1405143&descTipo=IPE&CodigoInstituicao=1
PRNR3;04/07/2025;18:16;Prévia Operacional 2T25;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1398060&descTipo=IPE&CodigoInstituicao=1
PRNR3;03/07/2025;09:27;Informações complementares sobre o aumento de capital privado;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1397429&descTipo=IPE&CodigoInstituicao=1
PRNR3;02/07/2025;23:00;Informações complementares sobre o aumento de capital privado;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1397392&descTipo=IPE&CodigoInstituicao=1
PRNR3;02/07/2025;09:15;Priner anuncia aumento de capital via colocação privada;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1396808&descTipo=IPE&CodigoInstituicao=1
PRNR3;22/05/2025;11:30;Priner publica Relatório de Sustentabilidade 2024;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1381736&descTipo=IPE&CodigoInstituicao=1
PRNR3;29/04/2025;20:04;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1367824&descTipo=IPE&CodigoInstituicao=1
PRNR3;28/04/2025;22:39;Nota de Falecimento e Nomeação de DRI e CFO Interino;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1366802&descTipo=IPE&CodigoInstituicao=1
PRNR3;04/04/2025;17:51;Prévia Operacional 1T25;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1357987&descTipo=IPE&CodigoInstituicao=1
PRNR3;26/03/2025;09:05;Debêntures - Resultado Bookbuilding;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1351726&descTipo=IPE&CodigoInstituicao=1
PRNR3;14/03/2025;09:37;Apresentação de Resultados 4T24 e 2024;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1346855&descTipo=IPE&CodigoInstituicao=1
PRNR3;27/02/2025;08:49;Priner anuncia 2ª emissão de debêntures;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1340405&descTipo=IPE&CodigoInstituicao=1
