Acao;Data;Hora;Descrição;Link
POSI3;19/06/2026;16:24;Entrevista com executivos da Companhia no canal do YouTube da Ágora Investimentos ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1536470&descTipo=IPE&CodigoInstituicao=1
POSI3;22/04/2026;15:15;Reapresentação do BVD da AGO de 30 de abril de 2026;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1507140&descTipo=IPE&CodigoInstituicao=1
POSI3;22/04/2026;08:39;Captação de recursos junto ao BNDES;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1506998&descTipo=IPE&CodigoInstituicao=1
POSI3;19/03/2026;09:44;Projeção Receita Bruta 2026;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1492396&descTipo=IPE&CodigoInstituicao=1
POSI3;19/03/2026;09:33;Projeção Receita Bruta 2026;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1492393&descTipo=IPE&CodigoInstituicao=1
POSI3;05/01/2026;12:06;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1463474&descTipo=IPE&CodigoInstituicao=1
POSI3;30/12/2025;18:36;Aumento de Capital sem emissão de ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1462662&descTipo=IPE&CodigoInstituicao=1
POSI3;30/12/2025;18:36;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1462666&descTipo=IPE&CodigoInstituicao=1
POSI3;12/11/2025;18:21;Modificação de Projeções Divulgadas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1444079&descTipo=IPE&CodigoInstituicao=1
POSI3;22/10/2025;09:50;Entrevista ao vivo de Hélio Bruck Rotenberg à Rádio CBN;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1434667&descTipo=IPE&CodigoInstituicao=1
