;Papel;Total_Acumulado
260;MGLU3;-1.46
261;MILS3;5.27
262;MLAS3;13.96
263;MNDL3;4.04
264;MNPR3;-1.88
265;MOAR3;-2.18
266;MOVI3;0.97
267;MRFG3;10.47
268;MRSA3B;10.01
269;MRSA5B;6.26
270;MRVE3;6.49
271;MSPA3;-7.04
272;MTRE3;10.41
273;MTSA4;-3.04
274;MULT3;-3.87
275;MWET3;0.0
276;MWET4;-7.16
277;MYPK3;19.48
278;NEOE3;-0.97
279;NGRD3;-3.53
280;NINJ3;0.81
281;NORD3;-15.27
282;NTCO3;15.58
283;NUTR3;27.3
284;ODPV3;-1.77
285;OFSA3;10.56
286;OIBR3;15.02
287;OIBR4;21.43
288;ONCO3;-8.36
289;OPCT3;3.25
290;ORVR3;11.23
291;OSXB3;-8.82
292;PATI3;7.09
293;PATI4;-0.66
294;PCAR3;-24.48
295;PDGR3;-14.35
296;PDTC3;-12.95
297;PEAB3;-15.0
298;PEAB4;-3.82
299;PETR3;-15.15
300;PETR4;-14.37
301;PETZ3;45.24
302;PFRM3;12.17
303;PGMN3;-7.28
304;PINE4;10.92
305;PLAS3;27.68
306;PLPL3;16.76
307;PMAM3;-15.43
308;PNVL3;5.78
309;POMO3;21.19
310;POMO4;17.55
311;PORT3;6.98
312;POSI3;22.8
313;PRIO3;8.4
314;PRNR3;6.51
315;PSSA3;13.68
316;PTBL3;14.56
317;PTNT3;7.33
318;PTNT4;-0.11
319;QUAL3;18.34
320;RADL3;10.7
321;RAIL3;-1.24
322;RAIZ4;-8.59
323;RANI3;-9.39
324;RAPT3;-3.39
325;RAPT4;11.16
326;RCSL4;6.34
327;RDNI3;-11.35
328;RDOR3;-1.68
329;RECV3;0.63
330;REDE3;2.57
331;RENT3;2.63
332;RNEW11;-3.62
333;RNEW3;-0.44
334;RNEW4;0.02
335;ROMI3;2.39
336;RPAD3;3.06
337;RPAD5;1.82
338;RPAD6;12.08
339;RPMG3;0.97
340;RRRP3;7.05
341;RSID3;1.56
342;RSUL4;2.96
343;SANB11;-4.99
344;SANB3;-5.45
345;SANB4;-4.42
346;SAPR11;-4.76
347;SAPR3;-3.89
348;SAPR4;-4.55
349;SBFG3;4.3
350;SCAR3;-0.17
351;SEER3;9.59
352;SEQL3;-12.84
353;SGPS3;-24.51
354;SHOW3;28.19
355;SHUL4;9.83
356;SIMH3;7.43
357;SLCE3;1.84
358;SLED3;0.0
359;SLED4;0.0
360;SMFT3;10.83
361;SMTO3;3.98
362;SNSY5;30.3
363;SOJA3;22.37
364;SOMA3;3.9
365;SOND5;-6.22
366;SOND6;0.0
367;STBP3;20.45
368;SUZB3;14.66
369;SYNE3;85.88
370;TAEE11;-1.44
371;TAEE3;-1.53
372;TAEE4;-1.33
373;TASA3;-1.83
374;TASA4;-2.07
375;TCSA3;2.97
376;TECN3;27.52
377;TEKA3;328.03
378;TEKA4;47.67
379;TELB3;-5.62
380;TELB4;-8.79
381;TEND3;31.65
382;TFCO4;-7.92
383;TGMA3;8.34
384;TIMS3;1.0
385;TKNO4;2.1
386;TOTS3;-3.32
387;TPIS3;-2.93
388;TRAD3;25.51
389;TRIS3;29.1
390;TRPL3;-2.98
391;TRPL4;-5.8
392;TTEN3;6.19
393;TUPY3;8.88
394;TXRX3;-17.05
395;TXRX4;-19.82
396;UCAS3;2.66
397;UNIP3;1.25
398;UNIP5;-4.44
399;UNIP6;-0.92
400;USIM3;10.56
401;USIM5;11.93
402;USIM6;5.47
403;VALE3;-3.12
404;VAMO3;12.63
405;VBBR3;5.9
406;VSTE3;-19.69
407;VITT3;-11.77
408;VIVA3;-25.38
409;VIVR3;-24.23
410;VIVT3;-4.57
411;VLID3;-13.7
412;VULC3;0.49
413;VVEO3;-16.66
414;WEGE3;18.38
415;WEST3;1.36
416;WHRL3;5.37
417;WHRL4;-0.94
418;WLMM3;-1.79
419;WLMM4;-15.02
420;YDUQ3;-0.06
