;Papel;Total_Acumulado
0;AALR3;7.98
1;ABCB4;9.42
2;ABEV3;20.57
3;ADHM3;0.0
4;ADMF3;-13.42
5;AERI3;-39.38
6;AFLT3;0.7
7;AGRO3;6.73
8;AGXY3;-80.24
9;AHEB3;15.5
10;ALLD3;-8.59
11;ALOS3;7.24
12;ALPA3;19.66
13;ALPA4;10.25
14;ALPK3;-1.68
15;ALUP11;-0.04
16;ALUP3;0.42
17;ALUP4;1.63
18;AMAR3;-15.97
19;AMBP3;-31.79
20;AMER3;-33.38
21;AMOB3;-10.44
22;ANIM3;14.96
23;ARML3;11.67
24;ARND3;-14.91
25;ASAI3;-10.45
26;ATED3;-10.69
27;AUAU3;-19.95
28;AURA33;69.07
29;AURE3;-10.41
30;AVLL3;-48.57
31;AXIA3;-7.8
32;AXIA6;16.04
33;AZEV3;8.61
34;AZEV4;-19.73
35;AZTE3;-31.94
36;AZUL4;0.0
37;AZZA3;-6.74
38;B3SA3;18.39
39;BALM3;37.27
40;BALM4;25.16
41;BAUH4;7.14
42;BAZA3;14.0
43;BBAS3;10.67
44;BBDC3;5.39
45;BBDC4;4.89
46;BBSE3;4.57
47;BDLL3;-31.18
48;BDLL4;2.14
49;BEEF3;-28.9
50;BEES3;14.6
51;BEES4;16.18
52;BGIP3;53.82
53;BGIP4;19.87
54;BHIA3;-16.64
55;BIED3;71.62
56;BIOM3;-10.75
57;BLAU3;14.21
58;BLUT3;0.0
59;BLUT4;0.0
60;BMEB3;46.81
61;BMEB4;23.76
62;BMGB4;14.73
63;BMIN4;40.82
64;BMKS3;6.73
65;BMOB3;-7.62
66;BNBR3;11.01
67;BOBR4;-7.8
68;BPAC11;1.33
69;BPAC3;26.92
70;BPAC5;-10.38
71;BPAN4;6.99
72;BRAP3;14.38
73;BRAP4;16.54
74;BRAV3;37.99
75;BRBI11;-5.51
76;BRKM3;30.46
77;BRKM5;52.62
78;BRKM6;31.02
79;BRSR3;26.2
80;BRSR5;31.37
81;BRSR6;24.37
82;BRST3;-12.4
83;BSLI3;-32.36
84;BSLI4;-50.77
85;CALI3;-2.77
86;CAMB3;-1.87
87;CAML3;11.34
88;CASH3;-18.27
89;CBAV3;51.56
90;CBEE3;23.66
91;CEAB3;-18.89
92;CEBR3;21.6
93;CEBR5;19.42
94;CEBR6;14.13
95;CEDO3;-0.07
96;CEDO4;-12.91
97;CEEB3;10.63
98;CEEB5;10.11
99;CEED3;10.57
100;CEGR3;-47.16
101;CGAS3;4.89
102;CGAS5;3.44
103;CGRA3;20.98
104;CGRA4;8.22
105;CLSC3;18.77
106;CLSC4;16.65
107;CMIG3;7.23
108;CMIG4;4.83
109;CMIN3;-5.61
110;COCE3;20.92
111;COCE5;-0.25
112;COGN3;-8.04
113;CPFE3;-4.92
114;CPLE3;11.28
115;CPLE5;0.0
116;CRPG3;1.29
117;CRPG5;-4.16
118;CRPG6;5.31
119;CSAN3;-14.09
120;CSED3;4.17
121;CSMG3;22.73
122;CSNA3;-22.35
123;CSUD3;2.38
124;CTAX3;-13.26
125;CTKA3;-3.94
126;CTKA4;5.35
127;CTSA3;-8.77
128;CTSA4;-25.98
129;CURY3;0.59
130;CVCB3;7.25
131;CXSE3;11.08
132;CYRE3;-18.85
133;CYRE4;9.47
134;DASA3;9.06
135;DESK3;-4.52
136;DEXP3;0.81
137;DEXP4;1.87
138;DIRR3;-9.63
139;DMVF3;6.06
140;DOHL4;1.24
141;DOTZ3;-68.24
142;DTCY3;-8.48
143;DXCO3;-1.47
144;EALT3;15.24
145;EALT4;11.89
146;ECOR3;-15.65
147;EGIE3;3.99
148;EKTR3;19.66
149;EKTR4;0.84
150;EMAE4;25.85
151;EMBJ3;-3.66
152;ENEV3;-1.53
153;ENGI11;4.45
154;ENGI3;-5.57
155;ENGI4;7.85
156;ENJU3;1.16
157;ENMT3;1.24
158;ENMT4;-6.1
159;EPAR3;-14.82
160;EQMA3B;17.64
161;EQPA3;10.65
162;EQPA5;58.05
163;EQPA7;61.67
164;EQTL3;-0.67
165;ESPA3;13.66
166;ESTR3;-39.8
167;ESTR4;-12.62
168;ETER3;-4.67
169;EUCA3;13.9
170;EUCA4;22.84
171;EVEN3;-11.48
172;EZTC3;-9.64
173;FESA3;9.13
174;FESA4;12.03
175;FHER3;-15.5
176;FICT3;-96.73
177;FIEI3;-13.25
178;FIQE3;15.98
179;FLRY3;4.98
180;FRAS3;-3.19
181;FRIO3;-12.99
182;GEPA3;20.06
183;GEPA4;22.59
184;GFSA3;-93.69
185;GGBR3;-3.06
186;GGBR4;-2.75
187;GGPS3;2.57
188;GMAT3;1.48
189;GOAU3;4.83
190;GOAU4;0.44
191;GPAR3;27.61
192;GRND3;3.85
193;GSHP3;3.65
194;HAGA3;39.62
195;HAGA4;22.87
196;HAPV3;-44.9
197;HBOR3;6.94
198;HBRE3;-16.6
199;HBSA3;2.75
200;HBTS5;15.47
201;HETA4;-2.06
202;HOOT4;18.25
203;HYPE3;-19.6
204;IFCM3;-22.07
205;IGBR3;0.0
206;IGTI11;1.26
207;IGTI3;3.09
208;INEP3;13.19
209;INEP4;2.82
210;INTB3;9.14
211;IRBR3;10.92
212;ISAE3;-1.71
213;ISAE4;3.59
214;ITSA3;13.53
215;ITSA4;13.01
216;ITUB3;13.22
217;ITUB4;8.86
218;JALL3;10.1
219;JFEN3;-31.16
220;JHSF3;13.81
221;JOPA3;9.26
222;JPSA3;0.0
223;JSLG3;28.08
224;KEPL3;-14.73
225;KLBN11;12.7
226;KLBN3;13.29
227;KLBN4;12.12
228;LAND3;5.31
229;LAVV3;12.99
230;LEVE3;5.54
231;LIGT3;-14.27
232;LJQQ3;-25.99
233;LOGG3;16.82
234;LOGN3;-7.57
235;LPSB3;-4.19
236;LREN3;1.47
237;LUPA3;35.05
238;LUXM4;-1.09
239;LWSA3;-17.9
240;MAPT3;0.0
241;MAPT4;28.99
242;MATD3;22.76
243;MBRF3;-9.25
244;MDIA3;-9.35
245;MDNE3;29.83
246;MEAL3;-5.13
247;MELK3;-2.51
248;MERC4;27.44
249;MGEL4;5.7
250;MGLU3;-13.57
251;MILS3;10.54
252;MLAS3;-13.91
253;MNDL3;-2.87
254;MNPR3;-9.04
255;MOAR3;5.33
256;MOTV3;-3.89
257;MOVI3;3.43
258;MRSA3B;53.48
259;MRSA5B;29.39
260;MRSA6B;26.55
261;MRVE3;2.97
262;MSPA3;1.08
263;MSPA4;0.11
264;MTRE3;1.84
265;MTSA4;33.44
266;MULT3;6.28
267;MWET3;-5.88
268;MWET4;57.53
269;MYPK3;-6.53
270;NATU3;2.07
271;NEOE3;4.43
272;NEXP3;-12.05
273;NGRD3;-1.11
274;NORD3;-3.47
275;NUTR3;-10.15
276;OBTC3;-36.25
277;ODPV3;18.73
278;OFSA3;13.86
279;OIBR3;-8.76
280;OIBR4;-41.21
281;ONCO3;13.46
282;OPCT3;19.04
283;ORVR3;6.52
284;OSXB3;-4.13
285;PATI3;1.71
286;PATI4;2.83
287;PCAR3;-27.81
288;PDGR3;58.09
289;PDTC3;21.57
290;PEAB3;13.65
291;PEAB4;15.86
292;PETR3;32.66
293;PETR4;29.88
294;PETZ3;0.0
295;PFRM3;-1.55
296;PGMN3;6.73
297;PINE3;14.34
298;PINE4;6.38
299;PLAS3;-4.55
300;PLPL3;-9.55
301;PMAM3;-5.69
302;PNVL3;34.41
303;POMO3;9.1
304;POMO4;6.63
305;POSI3;-7.89
306;PRIO3;41.9
307;PRNR3;19.35
308;PSSA3;3.32
309;PTBL3;-7.89
310;PTNT3;1.14
311;PTNT4;70.33
312;QUAL3;-17.0
313;RADL3;2.53
314;RAIL3;-7.47
315;RAIZ4;-36.59
316;RANI3;10.58
317;RAPT3;-6.97
318;RAPT4;-10.66
319;RCSL3;-4.09
320;RCSL4;52.05
321;RDNI3;0.0
322;RDOR3;-11.02
323;RECV3;26.0
