;Papel;Total_Acumulado
0;CBEE3;36.58
1;PCAR3;34.85
2;PDTC3;31.09
3;SNSY5;30.76
4;CMIN3;27.67
5;DOTZ3;27.15
6;RCSL4;25.43
7;BPAC5;22.21
8;CSMG3;21.68
9;RCSL3;21.07
10;EMBJ3;19.83
11;TUPY3;19.07
12;GSHP3;19.0
13;CXSE3;17.47
14;MILS3;17.36
15;BBSE3;16.62
16;LIGT3;14.67
17;LOGG3;14.28
18;FRIO3;13.95
19;SOND6;13.92
20;ITUB3;12.99
21;TECN3;12.94
22;CRPG3;12.5
23;FICT3;12.29
24;UGPA3;12.06
25;PSSA3;11.32
26;CALI3;11.08
27;AFLT3;10.93
28;CASH3;10.71
29;JOPA3;9.75
30;MLAS3;9.59
31;WEGE3;9.53
32;RVEE3;9.42
33;ITUB4;9.34
34;TASA3;9.04
35;CEGR3;9.04
36;TASA4;8.86
37;COCE3;8.69
38;VIVT3;8.55
39;DMVF3;8.52
40;BBDC4;8.51
41;BNBR3;8.43
42;SYNE3;8.17
43;ITSA4;8.04
44;BBDC3;8.03
45;HBTS5;7.94
46;KLBN4;7.59
47;GPAR3;7.58
48;VBBR3;7.45
49;KLBN11;7.31
50;ITSA3;7.07
51;KLBN3;6.92
52;ENGI4;6.92
53;TRAD3;6.77
54;BRAV3;6.76
55;JHSF3;6.57
56;NORD3;6.33
57;NUTR3;5.98
58;BAZA3;5.86
59;BMIN4;5.79
60;FLRY3;5.78
61;OPCT3;5.7
62;SMFT3;5.36
63;PRNR3;5.18
64;SANB3;5.07
65;BEES4;4.94
66;DXCO3;4.89
67;IRBR3;4.85
68;WEST3;4.82
69;BGIP4;4.79
70;CYRE4;4.72
71;SHOW3;4.69
72;GGBR3;4.43
73;DESK3;4.4
74;CGAS3;4.34
75;TAEE4;4.33
76;CMIG3;4.09
77;ENGI11;4.08
78;ETER3;4.04
79;BRSR3;3.81
80;BPAC11;3.77
81;BMGB4;3.74
82;CPFE3;3.71
83;VLID3;3.69
84;LAND3;3.54
85;HAGA4;3.5
86;EQTL3;3.44
87;TAEE11;3.42
88;UNIP6;3.41
89;SANB11;3.38
90;MYPK3;3.31
91;ABCB4;3.27
92;EQPA7;3.26
93;BALM3;3.26
94;EKTR4;3.23
95;BEES3;3.23
96;GOAU4;3.22
97;TXRX4;3.12
98;TAEE3;3.08
99;CGRA3;3.05
100;ENEV3;3.0
101;CBAV3;3.0
102;CEDO4;2.88
103;GGBR4;2.79
104;PINE3;2.78
105;BMKS3;2.63
106;WHRL3;2.51
107;AGRO3;2.51
108;WIZC3;2.39
109;CLSC3;2.36
110;SEER3;2.16
111;UNIP5;2.1
112;HBSA3;2.04
113;SBSP3;1.99
114;CGRA4;1.94
115;CMIG4;1.91
116;ALUP4;1.91
117;LWSA3;1.9
118;RADL3;1.59
119;WLMM3;1.57
120;SOND5;1.56
121;CGAS5;1.43
122;CYRE3;1.38
123;SANB4;1.27
124;CURY3;1.18
125;TEND3;1.13
126;MOTV3;1.11
127;ESPA3;1.09
128;ALUP11;0.99
129;MNPR3;0.98
130;AHEB3;0.95
131;PNVL3;0.87
132;SUZB3;0.85
133;CPLE3;0.84
134;ALUP3;0.81
135;GOAU3;0.76
136;COCE5;0.76
137;AALR3;0.74
138;PEAB4;0.6
139;DEXP4;0.43
140;MWET3;0.37
141;MWET4;0.29
142;EKTR3;0.24
143;DOHL4;0.11
144;VIVA3;0.08
145;RSID3;0.0
146;SOND3;0.0
147;MAPT3;0.0
148;GEPA4;-0.0
149;ESTR3;0.0
150;RPAD6;0.0
151;BAUH4;0.0
152;CTSA3;0.0
153;MAPT4;0.0
154;CTSA4;0.0
155;VITT3;-0.06
156;RDOR3;-0.21
157;DEXP3;-0.37
158;UNIP3;-0.38
159;MNDL3;-0.48
160;HAGA3;-0.64
161;CLSC4;-0.81
162;BBAS3;-0.86
163;VAMO3;-0.93
164;ABEV3;-0.95
165;REDE3;-0.96
166;PINE4;-1.02
167;HETA4;-1.08
168;TGMA3;-1.1
169;CEEB5;-1.13
170;PATI4;-1.17
171;MATD3;-1.29
172;BRST3;-1.34
173;OIBR3;-1.36
174;TFCO4;-1.39
175;ARML3;-1.41
176;FESA4;-1.46
177;HOOT4;-1.5
178;ENGI3;-1.54
179;SAPR11;-1.55
180;WHRL4;-1.61
181;RANI3;-1.64
182;SAPR4;-1.67
183;BDLL4;-1.68
184;INTB3;-1.78
185;BRSR6;-1.8
186;RPAD5;-1.9
187;BIED3;-1.93
188;CEEB3;-1.96
189;RAIL3;-2.02
190;MULT3;-2.09
191;DASA3;-2.13
192;WDCN3;-2.13
193;CEBR6;-2.16
194;ALOS3;-2.24
195;MBRF3;-2.3
196;SAPR3;-2.3
197;PEAB3;-2.35
198;TTEN3;-2.43
199;ASAI3;-2.44
200;AUAU3;-2.5
201;FRAS3;-2.57
202;IGTI11;-2.61
203;RAPT4;-2.76
204;EQMA3B;-2.79
205;PFRM3;-2.82
206;CSED3;-2.86
207;AMOB3;-2.93
208;TIMS3;-3.2
209;LEVE3;-3.3
210;B3SA3;-3.41
211;DTCY3;-3.96
212;TRIS3;-4.15
213;MDNE3;-4.3
214;OBTC3;-4.32
215;ECOR3;-4.36
216;BOBR4;-4.42
217;AXIA3;-4.47
218;TOTS3;-4.47
219;ALPK3;-4.61
220;ISAE4;-4.68
221;HYPE3;-4.92
222;BRSR5;-5.03
223;CTKA3;-5.15
224;SOJA3;-5.35
225;ISAE3;-5.38
226;SHUL4;-5.4
227;BRAP4;-5.66
228;ENJU3;-5.78
229;PETR4;-5.89
230;NEXP3;-5.89
231;EQPA3;-6.01
232;ORVR3;-6.24
233;ALPA4;-6.25
234;PETR3;-6.32
235;EGIE3;-6.35
236;VTRU3;-6.38
237;DIRR3;-6.42
238;BMOB3;-6.46
239;CSAN3;-6.5
240;LOGN3;-6.5
241;LREN3;-6.58
242;AMBP3;-6.7
243;BRAP3;-6.85
244;VULC3;-6.97
245;GRND3;-7.09
246;MRSA3B;-7.12
247;CEBR5;-7.15
248;BRKM6;-7.19
249;BEEF3;-7.6
250;CAMB3;-7.65
251;LPSB3;-7.69
252;BGIP3;-7.76
253;JFEN3;-7.92
254;AGXY3;-7.98
255;SCAR3;-8.14
256;RAPT3;-8.32
257;PATI3;-8.33
258;AURE3;-8.45
259;VALE3;-8.64
260;MGEL4;-8.77
261;KEPL3;-8.96
262;EALT3;-8.99
263;OSXB3;-9.44
264;INEP4;-9.63
265;EMAE4;-9.66
266;MRSA5B;-9.68
267;ALPA3;-9.77
268;TXRX3;-9.82
269;LAVV3;-9.82
270;PTBL3;-9.94
271;TOKY3;-9.94
272;IGTI3;-10.0
273;CEDO3;-10.0
274;ROMI3;-10.06
275;TELB4;-10.24
276;BRBI11;-10.28
277;TPIS3;-10.85
278;EVEN3;-10.87
279;EZTC3;-10.87
280;CEBR3;-10.9
281;GGPS3;-10.96
282;WLMM4;-10.98
283;BSLI4;-10.98
284;POMO4;-11.02
285;MOVI3;-11.1
286;BSLI3;-11.12
287;BMEB3;-11.16
288;FHER3;-11.17
289;OFSA3;-11.19
290;CTKA4;-11.47
291;SBFG3;-11.68
292;RENT3;-11.79
293;MELK3;-11.84
294;COGN3;-11.89
295;HBOR3;-11.98
296;CAML3;-12.07
297;ENMT3;-12.08
298;MRSA6B;-12.18
299;MTSA4;-12.39
300;GMAT3;-12.43
301;RIAA3;-12.44
302;AMAR3;-12.52
303;UCAS3;-12.65
304;POSI3;-12.72
305;FIQE3;-12.87
306;EALT4;-13.12
307;MDIA3;-13.34
308;CSNA3;-13.35
309;CEAB3;-13.39
310;AMER3;-13.54
311;PLAS3;-13.55
312;RPAD3;-13.65
313;EUCA3;-13.88
314;INEP3;-13.99
315;SIMH3;-14.28
316;HAPV3;-14.61
317;GEPA3;-14.65
318;MSPA4;-14.95
319;MSPA3;-14.99
320;RNEW3;-15.1
321;AERI3;-15.14
322;MTRE3;-15.34
323;ENMT4;-15.52
324;NATU3;-15.62
325;FESA3;-15.64
326;LJQQ3;-15.72
327;SMTO3;-15.82
328;USIM5;-16.33
329;AZZA3;-16.47
330;TELB3;-16.82
331;PLPL3;-17.08
332;LUPA3;-17.23
333;YDUQ3;-17.25
334;RECV3;-17.28
335;RNEW4;-17.43
336;POMO3;-17.57
337;CSUD3;-17.73
338;SLCE3;-17.77
339;JSLG3;-17.94
340;PDGR3;-18.03
341;SEQL3;-18.48
342;BIOM3;-19.08
343;PRIO3;-19.37
344;AURA33;-19.55
345;BALM4;-19.66
346;USIM3;-20.58
347;EUCA4;-20.74
348;BDLL3;-20.91
349;BPAC3;-21.58
350;CVCB3;-21.65
351;BLAU3;-21.88
352;BMEB4;-21.97
353;AZEV3;-23.83
354;MRVE3;-23.88
355;ALLD3;-23.94
356;QUAL3;-24.62
357;LUXM4;-25.15
358;HBRE3;-25.2
359;CEED3;-26.08
360;PGMN3;-26.51
361;FIEI3;-28.0
362;CRPG6;-28.12
363;MGLU3;-28.72
364;ATED3;-29.16
365;JALL3;-31.31
366;PMAM3;-31.44
367;CRPG5;-32.34
368;EQPA5;-32.87
369;ARND3;-33.69
370;VSTE3;-34.01
371;CTAX3;-34.36
372;RAIZ4;-34.56
373;ANIM3;-35.41
374;RSUL4;-36.63
375;EPAR3;-38.43
376;AVLL3;-38.53
377;AZTE3;-44.87
378;VVEO3;-45.78
379;MEAL3;-46.06
380;BRKM3;-47.86
381;BHIA3;-52.56
382;RPMG3;-53.98
383;TCSA3;-54.89
384;ESTR4;-54.94
385;AZEV4;-57.5
386;BRKM5;-62.94
387;ONCO3;-64.2
388;IFCM3;-70.74
389;VIVR3;-71.13
390;OIBR4;-102.33
391;GFSA3;-107.44
