;Papel;Total_Acumulado
0;AZEV3;65.93
1;CEDO4;42.41
2;RCSL4;42.07
3;SNSY5;29.31
4;PMAM3;28.6
5;PDTC3;28.52
6;CMIN3;28.14
7;AMER3;25.54
8;DOTZ3;22.29
9;CSNA3;18.2
10;VAMO3;14.79
11;UGPA3;14.42
12;GGBR4;14.27
13;HBOR3;14.22
14;ARML3;13.89
15;VBBR3;13.22
16;OSXB3;12.97
17;GGBR3;12.89
18;GOAU4;12.83
19;PINE3;12.34
20;COCE5;12.06
21;GOAU3;11.94
22;TECN3;11.5
23;LIGT3;11.3
24;PINE4;10.66
25;TUPY3;10.65
26;RAPT4;10.5
27;AMOB3;10.41
28;RCSL3;10.38
29;BRAV3;10.25
30;B3SA3;10.06
31;MGLU3;9.71
32;ESPA3;9.64
33;MLAS3;9.55
34;SEQL3;9.52
35;GMAT3;9.42
36;FLRY3;9.38
37;CVCB3;9.07
38;VVEO3;8.78
39;CSED3;8.74
40;SANB11;8.46
41;OFSA3;8.42
42;FRAS3;8.36
43;CMIG3;8.23
44;PETR3;8.06
45;PNVL3;7.77
46;MYPK3;7.3
47;PETR4;7.21
48;BBSE3;6.82
49;ENGI4;6.69
50;PSSA3;6.63
51;DASA3;6.56
52;RECV3;6.51
53;JSLG3;6.46
54;UNIP6;6.45
55;JHSF3;6.43
56;AHEB3;6.33
57;MATD3;6.31
58;VLID3;6.28
59;PTBL3;6.21
60;BBAS3;5.7
61;DXCO3;5.58
62;BBDC3;5.52
63;KLBN3;5.44
64;RAPT3;5.39
65;BBDC4;5.38
66;VITT3;5.32
67;SUZB3;5.29
68;BMIN4;5.28
69;MTSA4;5.18
70;INTB3;5.18
71;SANB4;5.17
72;DEXP3;5.16
73;HAPV3;5.09
74;KLBN11;5.02
75;KLBN4;4.91
76;BEES4;4.78
77;RAIL3;4.61
78;CSAN3;4.6
79;AUAU3;4.6
80;HBRE3;4.59
81;FESA4;4.51
82;MBRF3;4.49
83;EMBJ3;4.43
84;TOTS3;4.17
85;PRNR3;4.13
86;TRAD3;4.04
87;HYPE3;4.0
88;NATU3;3.82
89;EQPA3;3.73
90;LAND3;3.68
91;RADL3;3.68
92;HAGA3;3.61
93;UNIP3;3.46
94;UNIP5;3.46
95;AMAR3;3.37
96;USIM5;3.36
97;CEBR6;3.3
98;AALR3;3.24
99;DEXP4;3.18
100;ABEV3;3.16
101;MNPR3;3.07
102;TGMA3;3.05
103;RANI3;2.96
104;SIMH3;2.87
105;AGRO3;2.86
106;LPSB3;2.84
107;ENGI11;2.78
108;BPAC11;2.7
109;OBTC3;2.67
110;BOBR4;2.6
111;AERI3;2.56
112;ETER3;2.55
113;CMIG4;2.51
114;CLSC4;2.49
115;WEGE3;2.46
116;CSMG3;2.45
117;IGTI11;2.41
118;HAGA4;2.38
119;ITSA3;2.36
120;ALPK3;2.35
121;BMOB3;2.2
122;ITSA4;2.2
123;LREN3;2.16
124;DOHL4;2.13
125;PEAB4;2.09
126;AMBP3;2.05
127;SHOW3;2.05
128;AFLT3;1.94
129;VULC3;1.9
130;TASA4;1.89
131;TOKY3;1.87
132;ALUP4;1.87
133;BEES3;1.86
134;SMFT3;1.78
135;BNBR3;1.77
136;DESK3;1.74
137;ALUP3;1.69
138;ITUB3;1.63
139;CBAV3;1.59
140;LJQQ3;1.57
141;PCAR3;1.54
142;MILS3;1.37
143;CPFE3;1.34
144;PRIO3;1.3
145;OIBR3;1.28
146;ALOS3;1.21
147;BRST3;1.19
148;ITUB4;1.18
149;ALUP11;1.17
150;BRSR6;1.14
151;ENEV3;1.1
152;SAPR4;1.09
153;USIM3;1.07
154;KEPL3;1.07
155;CAMB3;0.92
156;MULT3;0.86
157;JALL3;0.81
158;PEAB3;0.78
159;WHRL4;0.78
160;RNEW4;0.75
161;SAPR3;0.65
162;LOGN3;0.63
163;JOPA3;0.62
164;NORD3;0.55
165;MOTV3;0.48
166;CPLE3;0.4
167;BRSR3;0.37
168;ENGI3;0.35
169;SCAR3;0.35
170;BMKS3;0.27
171;SAPR11;0.24
172;SLCE3;0.23
173;BRKM5;0.18
