;Date;Close;High;Low;Open;Volume;Retornos
0;2024-05-08;16302.759765625;16341.650390625;16226.0703125;16226.0703125;4530190000;
1;2024-05-09;16346.259765625;16362.7900390625;16241.98046875;16323.740234375;4505120000;0.27
2;2024-05-10;16340.8701171875;16437.390625;16293.51953125;16389.01953125;4402110000;-0.03
3;2024-05-13;16388.240234375;16407.05078125;16334.8603515625;16400.310546875;4452750000;0.29
4;2024-05-14;16511.1796875;16526.26953125;16386.4296875;16391.16015625;7270240000;0.75
5;2024-05-15;16742.390625;16749.740234375;16544.08984375;16601.140625;8538990000;1.4
6;2024-05-16;16698.3203125;16797.830078125;16693.44921875;16738.109375;11932600000;-0.26
7;2024-05-17;16685.970703125;16726.41015625;16613.83984375;16708.490234375;9587280000;-0.07
8;2024-05-20;16794.869140625;16823.830078125;16695.689453125;16702.01953125;6861320000;0.65
9;2024-05-21;16832.619140625;16839.01953125;16719.970703125;16736.099609375;6245090000;0.22
10;2024-05-22;16801.5390625;16855.26953125;16712.08984375;16839.01953125;7277340000;-0.18
11;2024-05-23;16736.029296875;16996.390625;16678.369140625;16996.390625;7752800000;-0.39
12;2024-05-24;16920.7890625;16947.80078125;16771.580078125;16786.7890625;5836040000;1.1
13;2024-05-28;17019.880859375;17032.66015625;16917.509765625;16988.310546875;6293380000;0.59
14;2024-05-29;16920.580078125;16989.599609375;16873.970703125;16879.349609375;6652480000;-0.58
15;2024-05-30;16737.080078125;16900.4609375;16690.359375;16878.630859375;6659290000;-1.08
16;2024-05-31;16735.01953125;16789.26953125;16445.5390625;16771.900390625;6674090000;-0.01
17;2024-06-03;16828.669921875;16909.890625;16646.4296875;16865.69921875;5422040000;0.56
18;2024-06-04;16857.05078125;16891.869140625;16750.390625;16823.880859375;4917350000;0.17
19;2024-06-05;17187.900390625;17187.919921875;16955.560546875;16974.48046875;5325000000;1.96
20;2024-06-06;17173.119140625;17235.73046875;17123.58984375;17204.869140625;4960580000;-0.09
21;2024-06-07;17133.130859375;17229.310546875;17090.0390625;17124.140625;4755650000;-0.23
22;2024-06-10;17192.529296875;17213.44921875;17057.33984375;17083.44921875;5207110000;0.35
23;2024-06-11;17343.55078125;17345.05078125;17107.990234375;17160.419921875;5009220000;0.88
24;2024-06-12;17608.439453125;17725.390625;17490.640625;17502.150390625;5560630000;1.53
25;2024-06-13;17667.560546875;17741.80078125;17566.3203125;17715.26953125;4916020000;0.34
26;2024-06-14;17688.880859375;17693.4296875;17590.80078125;17621.1796875;4973820000;0.12
