Date;Close;High;Low;Open;Volume
2025-03-17;37396.51953125;37563.26953125;37377.55078125;37453.828125;120300000
2025-03-18;37845.421875;38004.19921875;37822.87109375;37868.5703125;133500000
2025-03-19;37751.87890625;38128.578125;37751.87890625;37839.390625;116800000
2025-03-21;37677.05859375;37968.01953125;37619.37109375;37619.37109375;181800000
2025-03-24;37608.48828125;37841.6796875;37608.48828125;37841.6796875;101600000
2025-03-25;37780.5390625;38115.6484375;37686.26171875;37953.1484375;107300000
2025-03-26;38027.2890625;38220.69140625;37873.28125;38106.66015625;117100000
2025-03-27;37799.96875;37859.05859375;37556.75;37750.66015625;140000000
2025-03-28;37120.328125;37359.94921875;36864.9296875;37357.51953125;133200000
2025-03-31;35617.55859375;36440.1796875;35541.71875;36440.1796875;168400000
2025-04-01;35624.48046875;36052.5390625;35537.859375;35961.19140625;123600000
2025-04-02;35725.87109375;35778.8984375;35426.328125;35751.01953125;128700000
2025-04-03;34735.9296875;35044.73046875;34102.0;35041.671875;195800000
2025-04-04;33780.578125;34320.109375;33259.76171875;34304.66015625;227600000
2025-04-07;31136.580078125;33158.87109375;30792.740234375;33154.96875;266700000
2025-04-08;33012.578125;33257.16015625;31703.689453125;31729.109375;191900000
2025-04-09;31714.029296875;32565.83984375;31258.1796875;32529.23046875;199300000
2025-04-10;34609.0;34639.390625;32320.66015625;32321.2109375;201600000
2025-04-11;33585.578125;33953.2890625;32626.580078125;33951.25;182600000
2025-04-14;33982.359375;34325.58984375;33887.69921875;34006.37109375;118800000
2025-04-15;34267.5390625;34459.0;34266.30859375;34349.01171875;113800000
2025-04-16;33920.3984375;34329.26953125;33658.46875;34249.8203125;115600000
2025-04-17;34377.6015625;34379.12890625;33931.53125;33987.01171875;111200000
2025-04-18;34730.28125;34758.96875;34224.5703125;34353.87890625;102000000
2025-04-21;34279.921875;34610.6015625;34216.98046875;34556.23046875;96400000
2025-04-22;34220.6015625;34340.5703125;34109.8515625;34111.140625;99400000
2025-04-23;34868.62890625;35142.12109375;34682.28125;34787.9296875;133400000
2025-04-24;35039.1484375;35287.94921875;34960.6484375;35194.7109375;137100000
2025-04-25;35705.73828125;35835.28125;35337.98046875;35387.671875;134700000
2025-04-28;35839.98828125;36075.26171875;35773.48828125;35962.80078125;132400000
2025-04-30;36045.37890625;36056.51953125;35793.328125;35946.87890625;167100000
2025-05-01;36452.30078125;36544.1484375;36040.05078125;36197.0390625;131600000
2025-05-02;36830.69140625;36976.51171875;36606.578125;36636.55078125;141000000
2025-05-07;36779.66015625;36942.37890625;36731.390625;36903.66015625;156300000
2025-05-08;36928.62890625;36977.3515625;36606.7109375;36863.37890625;137300000
2025-05-09;37503.328125;37557.41015625;37219.03125;37332.5703125;201400000
2025-05-12;37644.26171875;37726.44140625;37417.390625;37697.28125;142900000
2025-05-13;38183.26171875;38494.05859375;38124.19921875;38149.53125;177400000
2025-05-14;38128.12890625;38325.87890625;37851.80078125;38199.03125;152100000
2025-05-15;37755.51171875;37876.83984375;37633.359375;37832.359375;134800000
2025-05-16;37753.71875;37786.4296875;37479.2109375;37748.578125;128100000
2025-05-19;37498.62890625;37656.23046875;37445.9296875;37572.359375;107600000
2025-05-20;37529.48828125;37921.80859375;37455.69921875;37723.6015625;125800000
2025-05-21;37298.98046875;37659.94140625;37298.98046875;37590.1484375;121300000
2025-05-22;36985.87109375;37100.44921875;36855.828125;36931.890625;110900000
2025-05-23;37160.46875;37373.91015625;37111.62890625;37161.73828125;105300000
2025-05-26;37531.53125;37531.53125;37167.01171875;37209.26171875;89900000
2025-05-27;37724.109375;37769.05078125;37411.6796875;37523.37109375;86200000
2025-05-28;37722.3984375;38178.73046875;37709.7109375;38094.7890625;122600000
2025-05-29;38432.98046875;38454.0703125;38035.3203125;38046.96875;133200000
2025-05-30;37965.1015625;38114.46875;37748.171875;37912.48828125;204300000
2025-06-02;37470.671875;37651.1796875;37320.71875;37651.1796875;109600000
2025-06-03;37446.80859375;37729.44921875;37446.80859375;37598.30859375;109300000
2025-06-04;37747.44921875;37868.421875;37672.46875;37686.66015625;106700000
2025-06-05;37554.48828125;37732.87890625;37527.87890625;37590.390625;113800000
2025-06-06;37741.609375;37756.1484375;37590.421875;37590.44140625;98100000
2025-06-09;38088.5703125;38178.01171875;38018.21875;38028.7109375;85700000
2025-06-10;38211.51171875;38495.69921875;38139.1015625;38278.171875;106000000
2025-06-11;38421.19140625;38529.640625;38288.28125;38431.1015625;109300000
2025-06-12;38173.08984375;38407.5703125;38102.05078125;38324.9296875;104500000
2025-06-13;37834.25;38141.58984375;37540.19921875;38130.25;143500000
2025-06-16;38311.328125;38342.51953125;38055.51953125;38056.859375;104700000
2025-06-17;38536.73828125;38581.25;38333.3515625;38366.6796875;103600000
2025-06-18;38885.1484375;38885.1484375;38364.16015625;38364.16015625;110000000
